response_id	cause	cause_no	cause_sep	maximum_response_one_cause	type	group_cause	code_cause	mistake	mistake_no	mistake_sep	maximum_response_one_type	group_type	code_type
R_1FnQHiAFu95KLEA	experimenter error --did not recode items correctly---despite having a data checker	1	experimenter error --did not recode items correctly---despite having a data checker	yes	serious	risking human error	experimenter error	Data were not coded properly for a study variable, which led to 3 minor retractions	1	Data were not coded properly for a study variable, which led to 3 minor retractions	yes	data coding error	value coding error
R_1FqSTPQf3FjsXjM	Inconsistent Rating Scales	1	Inconsistent Rating Scales	yes	recurring	bad or lack of standards	inconsistent measurement	Data not re-coded	1	Data not re-coded	yes	data coding error	value coding error
R_1FzFMxxfXX2SLGw	experimenter error	1	experimenter error	yes	recurring	risking human error	experimenter error	Confusion about which files - e.g., naming files in correctly, confusion about which files correspond to which condition	1	Confusion about which files - e.g., naming files in correctly	no	ambiguous naming/defining of data	non-transparent file naming
R_1FzFMxxfXX2SLGw	experimenter error	1	experimenter error	yes	recurring	risking human error	experimenter error	Confusion about which files - e.g., naming files in correctly, confusion about which files correspond to which condition	2	confusion about which files correspond to which condition	no	ambiguous naming/defining of data	non-transparent file naming
R_1g6hYU8eXreCTSC	Inappropriate communication in the research team. Insufficient pre-experiment communication.	1	Inappropriate communication in the research team.	no	serious	miscommunication	miscommunication	Inappropriate labelling of participants leading to confusion when aggregating data from different sources	1	Inappropriate labelling of participants leading to confusion when aggregating data from different sources	yes	bad connection of data points	mixing up participants; connecting data to participant
R_1g6hYU8eXreCTSC	Inappropriate communication in the research team. Insufficient pre-experiment communication.	2	Insufficient pre-experiment communication.	no	serious	miscommunication	miscommunication	Inappropriate labelling of participants leading to confusion when aggregating data from different sources	1	Inappropriate labelling of participants leading to confusion when aggregating data from different sources	yes	bad connection of data points	mixing up participants; connecting data to participant
R_1g86ziif9LCszbc	Poor data management/study design.	1	Poor data management	no	recurring	bad or lack of standards	data management error	Lack of variable validation allowing intended numeric variable fields to contain text, resulting in the variable to be formatted as character instead of numeric.	1	Lack of variable validation allowing intended numeric variable fields to contain text, resulting in the variable to be formatted as character instead of numeric.	yes	oversight in study design or measurement	no variable validation, wrong value class
R_1GWgjyjQjIpBIew	Sloppiness	1	Sloppiness	yes	recurring	carelessness	sloppiness	often the data collection is handled by students, as part of their curriculum. In my experience many data mistakes are made here, for example wrong numbering of subjects (e.g., duplicate); parts of data that are missing for unknown reasons, etc.  I only discover this once the data set is handled over to me (as supervisor) when I want to use the data for publication.	1	often the data collection is handled by students, as part of their curriculum. In my experience many data mistakes are made here, for example wrong numbering of subjects (e.g., duplicate);	no	ambiguous naming/defining of data	ambiguous participant identifier
R_1GWgjyjQjIpBIew	Sloppiness	1	Sloppiness	yes	recurring	carelessness	sloppiness	often the data collection is handled by students, as part of their curriculum. In my experience many data mistakes are made here, for example wrong numbering of subjects (e.g., duplicate); parts of data that are missing for unknown reasons, etc.  I only discover this once the data set is handled over to me (as supervisor) when I want to use the data for publication.	2	parts of data that are missing for unknown reasons, etc. I only discover this once the data set is handled over to me (as supervisor) when I want to use the data for publication.	no	loss of materials/documentation/data	missing data
R_1gwrKmk8l9dBdpR	being in a hurry	1	being in a hurry	yes	serious	time management issue	being in a hurry	improper reverse of negatively worded items	1	improper reverse of negatively worded items	yes	data coding error	value coding error
R_1IH7qhVEGwzF6pZ	To be in hurry.	1	To be in hurry.	yes	recurring	time management issue	being in a hurry	Mistakes when we calculate factors.	1	Mistakes when we calculate factors.	yes	wrong data processing/analysis	wrong analysis
R_1IlTZYBSAO0Dcuy	Not thinking ahead and writing a data management plan.	1	Not thinking ahead and writing a data management plan.	yes	recurring	bad or lack of planning	insufficient planning	Uninformative variable names combined with a low quality codebook.	1	Uninformative variable names combined with a low quality codebook.	yes	ambiguous naming/defining of data	non-transparent variable naming
R_1IlTZYBSAO0Dcuy	Sloppiness by the person in charge of data cleaning, and lack of discussion on the data management process prior to data collection.	1	Sloppiness by the person in charge of data cleaning	no	serious	carelessness	sloppiness	Physically deleting data from from participants not eligible for our study (rather than typing code to remove them), and not saving original raw data.	1	Physically deleting data from from participants not eligible for our study (rather than typing code to remove them), and not saving original raw data.	yes	loss of materials/documentation/data	deleting data
R_1ImjMmhDv5BB0tL	Overlooking errors.	1	Overlooking errors.	yes	recurring	carelessness	oversight	Programming errors in code (we use MATLAB) for analyzing data.	1	Programming errors in code (we use MATLAB) for analyzing data.	yes	programming error	program coding error
R_1IXK61gu891fM53	insufficient paranoia	1	insufficient paranoia	yes	recurring	inattention	lack of vigilance	can't remember one, other than temporarily losing a dataset or results set	1	can't remember one, other than temporarily losing a dataset or results set	yes	loss of materials/documentation/data	data loss
R_1jvKqTl2Ij19jke	lack of attention	1	lack of attention	yes	recurring	inattention	inattention	inversion of condition labels during processing	1	inversion of condition labels during processing	yes	ambiguous naming/defining of data	mixing up variable labels
R_1K7lVatqDC1d3dz	hick-up with equipment/device-user interface	1	hick-up with equipment/device-user interface	yes	recurring	technical issue	technical failure	data loss due to storage error	1	data loss due to storage error	yes	technical/infrastructural problem	technical failure
R_1K7lVatqDC1d3dz	Excessively large organization with different people at different sites performing part of the experiment.	1	Excessively large organization with different people at different sites performing part of the experiment.	yes	serious	miscommunication	miscommunication	A contracted external CRO messed up two experimental groups.	1	A contracted external CRO messed up two experimental groups.	yes	participant allocation error	mixing up conditions
R_1K8Ralb7H385hcB	Not following a pipeline of actions to take from data acquisition to data sharing.	1	Not following a pipeline of actions to take from data acquisition to data sharing.	yes	recurring	carelessness	not following protocol	Security issues (e.g., sharing confidential information via email, instead of anonymizing participants)	1	Security issues (e.g., sharing confidential information via email, instead of anonymizing participants)	yes	violation in ethics	sharing confidential information
R_1kY9lz7ULI6kPb3	Failure to appreciate the importance of backing up your data.	1	Failure to appreciate the importance of backing up your data.	yes	recurring	lack of knowledge/experience	being unaware of the potentials of the negative outcomes	Nope!  I am a data ninja! This is probably no help to your study. I obsess about my data.  I took this survey because I have data catastrophes.  Before using qaulltrics, I used my own servers to collect data and I was hacked destroying months of data.  I also had a hard drive crash and nooooooo backup of my data so then I eneded up losing years of data.	1	Nope!  I am a data ninja! This is probably no help to your study. I obsess about my data.  I took this survey because I have data catastrophes.  Before using qaulltrics, I used my own servers to collect data and I was hacked destroying months of data.	no	loss of materials/documentation/data	loosing data, hacked storage
R_1kY9lz7ULI6kPb3	Failure to appreciate the importance of backing up your data.	1	Failure to appreciate the importance of backing up your data.	yes	recurring	lack of knowledge/experience	being unaware of the potentials of the negative outcomes	Nope!  I am a data ninja! This is probably no help to your study. I obsess about my data.  I took this survey because I have data catastrophes.  Before using qaulltrics, I used my own servers to collect data and I was hacked destroying months of data.  I also had a hard drive crash and nooooooo backup of my data so then I eneded up losing years of data.	2	I also had a hard drive crash and nooooooo backup of my data so then I eneded up losing years of data.	no	technical/infrastructural problem	technical failure
R_1lAjGmRwoW52vY9	no tools provided by the institutions, no interest in this topic in the management	1	no tools provided by the institutions,	no	serious	technical issue	lack of proper tools	unstructured back-up (every researcher has data from his/her experiment on a personal disk) and not well secured data collected with questionnaires (i.e., physical material)	1	unstructured back-up (every researcher has data from his/her experiment on a personal disk) and not well secured data collected with questionnaires (i.e., physical material)	yes	loss of materials/documentation/data	failure to backup
R_1lAjGmRwoW52vY9	no tools provided by the institutions, no interest in this topic in the management	2	no interest in this topic in the management	no	serious	carelessness	lack of motivation	unstructured back-up (every researcher has data from his/her experiment on a personal disk) and not well secured data collected with questionnaires (i.e., physical material)	1	unstructured back-up (every researcher has data from his/her experiment on a personal disk) and not well secured data collected with questionnaires (i.e., physical material)	yes	loss of materials/documentation/data	failure to backup
R_1LBzXSxZUeQ0CZr	Different users having different knowledge and understanding of the variables	1	Different users having different knowledge and understanding of the variables	yes	recurring	miscommunication	miscommunication	Problems interpreting variable names	1	Problems interpreting variable names	yes	ambiguous naming/defining of data	ambiguous variable naming
R_1LBzXSxZUeQ0CZr	Poor communication about data storage. Poor labelling of files	1	Poor communication about data storage.	no	serious	miscommunication	miscommunication	Mislaid imaging data resulting in data loss for several years until rediscovery	1	Mislaid imaging data resulting in data loss for several years until rediscovery	yes	loss of materials/documentation/data	failure to backup
R_1Lez5WNMDX1hRUJ	Different people working in a dataset	1	Different people working in a dataset	yes	recurring	project management issue	too many team members working on one task	Mistakes in some codes of a dataset	1	Mistakes in some codes of a dataset	yes	data coding error	value coding error
R_1lhqYV1QwEPPpZy	time pressure and workload (e.g., too many different projects)	1	time pressure (e.g., too many different projects)	no	serious	time management issue	time pressure	working on the wrong data set	1	working on the wrong data set	yes	version control error	using the wrong version of data
R_1lhqYV1QwEPPpZy	time pressure and workload (e.g., too many different projects)	2	workload (e.g., too many different projects)	no	serious	time management issue	too much workload	working on the wrong data set	1	working on the wrong data set	yes	version control error	using the wrong version of data
R_1LNc6THhR7JwDJ5	Lack of attention to detail.	1	Lack of attention to detail.	yes	serious	inattention	lack of attention	Someone on my data team forgot to bring the surveys for the study for subjects to fill out (or forgot to ask subjects to fill them out) - so instead we had to email them to fill it out resulting in a reduction in the number of people who responded.	1	Someone on my data team forgot to bring the surveys for the study for subjects to fill out (or forgot to ask subjects to fill them out) - so instead we had to email them to fill it out resulting in a reduction in the number of people who responded.	yes	data input error	forgot to bring the surveys to data collection
R_1LXOUF7PqQkhz6o	Lack of training and oversight of students on need for consistent coding criteria.	1	Lack of training of students on need for consistent coding criteria.	no	recurring	bad skill management	lack of training	Misspecified codes for variable conditions.	1	Misspecified codes for variable conditions.	yes	data coding error	value coding error
R_1LXOUF7PqQkhz6o	Lack of training and oversight of students on need for consistent coding criteria.	2	Lack of oversight of students on need for consistent coding criteria.	no	recurring	project management issue	lack of oversight	Misspecified codes for variable conditions.	1	Misspecified codes for variable conditions.	yes	data coding error	value coding error
R_1LXOUF7PqQkhz6o	Research assistant did not follow protocol (used participant initials instead of participant number).	1	Research assistant did not follow protocol (used participant initials instead of participant number).	yes	serious	carelessness	not following protocol	Inconsistent participant numbering.	1	Inconsistent participant numbering.	yes	ambiguous naming/defining of data	ambiguous participant identifier
R_1lz69PsdTmTnVVj	Poor planning and not consulting with a statistician/psychometrician/data analyst specialist beforehand	1	Poor planning and	no	serious	bad or lack of planning	poor planning	A longitudinal study I was brought on to had not created unique IDs for participants in order to ensure data collected across years could be joined.	1	A longitudinal study I was brought on to had not created unique IDs for participants in order to ensure data collected across years could be joined.	yes	bad connection of data points	missing to create participant identifiers
R_1lz69PsdTmTnVVj	Poor planning and not consulting with a statistician/psychometrician/data analyst specialist beforehand	2	"not consulting with a statistician/psychometrician/data analyst specialist beforehand
"	no	serious	miscommunication	lack of consultation	A longitudinal study I was brought on to had not created unique IDs for participants in order to ensure data collected across years could be joined.	1	A longitudinal study I was brought on to had not created unique IDs for participants in order to ensure data collected across years could be joined.	yes	bad connection of data points	missing to create participant identifiers
R_1mKI2PUxRHLULTJ	the project took 1.5 years to collect data and was passed on from one student and lab manager to another. institutional knowledge was not always provided to the replacement.	1	the project took 1.5 years to collect data and was passed on from one student and lab manager to another. institutional knowledge was not always provided to the replacement.	yes	serious	miscommunication	miscommunication	mislabelled and poorly structured data from a complex project.	1	mislabelled and poorly structured data from a complex project.	yes	ambiguous naming/defining of data	non-transparent variable naming
R_1myhPq5ghONho9x	being inattentive because of the complexity of data analyses	1	being inattentive because of the complexity of data analyses	yes	recurring	inattention	inattention	wrong coding of variables	1	wrong coding of variables	yes	data coding error	value coding error
R_1myhPq5ghONho9x	inattentiveness and misinformation in a publication of colleagues	1	inattentiveness and	no	serious	inattention	inattention	misclassification of  two countries in crossnational comparison of large N countries dataset	1	misclassification of  two countries in crossnational comparison of large N countries dataset	yes	data coding error	misclassification of values
R_1myhPq5ghONho9x	inattentiveness and misinformation in a publication of colleagues	2	misinformation in a publication of colleagues	no	serious	miscommunication	misinformation	misclassification of  two countries in crossnational comparison of large N countries dataset	1	misclassification of  two countries in crossnational comparison of large N countries dataset	yes	data coding error	misclassification of values
R_1NCbBfTdX4Jcm6q	Software or databases which require copy and paste.	1	Software or databases which require copy and paste.	yes	recurring	inattention	copy and paste error	Transposition errors from copy and paste between sources.	1	Transposition errors from copy and paste between sources.	yes	data transfer error	copy paste error
R_1NDGa4iJhjM1zX9	Multiple people working on the project.	1	Multiple people working on the project.	yes	recurring	project management issue	too many team members working on one task	Change in scoring for the same items used in multiple studies.	1	Change in scoring for the same items used in multiple studies.	yes	version control error	using the wrong version
R_1nZmLTBp6dPXqgm	unsupervised PhD student's data	1	unsupervised PhD student's data	yes	recurring	project management issue	lack of supervision	"""wrong"" calculations"	1	"""wrong"" calculations"	yes	wrong data processing/analysis	wrong analysis
R_1nZmLTBp6dPXqgm	Especially when the topic of research is new more background research is needed. Reading more literature would have been useful.	1	Especially when the topic of research is new more background research is needed. Reading more literature would have been useful.	yes	serious	lack of knowledge/experience	inexperience	uncorrect calculations of some parameters	1	uncorrect calculations of some parameters	yes	wrong data processing/analysis	wrong analysis
R_1o0l1vb0QVWOutj	Simple mental error in coding.	1	Simple mental error in coding.	yes	recurring	physical and mental constraints	mental error	Mistake in programming of an experiment, so that not all conditions were presented to all subjects.	1	Mistake in programming of an experiment, so that not all conditions were presented to all subjects.	yes	programming error	mistake in programming the data collection code, mixing up conditions
R_1o7utbGjr0CiW5p	Not paying careful attention.	1	Not paying careful attention.	yes	recurring	inattention	inattention	Coded a subject's data with an incorrect code number.	1	Coded a subject's data with an incorrect code number.	yes	data input error	data entry error
R_1OB3foIsQJfflaa	Unclear. Copying and pasting the wrong information or typos.	1	Unclear. Copying and pasting the wrong information or typos.	yes	recurring	inattention	copy and paste error	An error in a table in a published article	1	An error in a table in a published article	yes	wrong reporting	error in published table
R_1OB3foIsQJfflaa	Lack of foreseeing this as an issue and then lack of supervision of research assistant/project manager, who did not understand the importance of it.	2	lack of supervision of research assistant/project manager, who did not understand the importance of it.	no	serious	project management issue	lack of supervision	Data were not collected at post-intervention for participants who did not fully complete an online intervention (everyone was meant to provide data consistent with intention to treat)	1	Data were not collected at post-intervention for participants who did not fully complete an online intervention (everyone was meant to provide data consistent with intention to treat)	yes	oversight in study design or measurement	not collecting all the data
R_1OCdfz7knYYZ9MF	Not enough knowledge of the data and the analyses techniques (which were new to most of us).	1	Not enough knowledge of the data and the analyses techniques (which were new to most of us).	yes	serious	lack of knowledge/experience	inexperience	A wrong pre-processing of the data.	1	A wrong pre-processing of the data.	yes	wrong data processing/analysis	mistake in data processing
R_1ODLj4FHdxhK3G1	New PhD students did not know the established work group standards	1	New PhD students did not know the established work group standards	yes	recurring	lack of knowledge/experience	inexperience	Uninformative variable names, unidentifiable whether already recoded, calculating sums instead of means, doing this based on column numbers instead of variable names... etc.	1	Uninformative variable names	no	ambiguous naming/defining of data	ambiguous variable naming
R_1ODLj4FHdxhK3G1	New PhD students did not know the established work group standards	1	New PhD students did not know the established work group standards	yes	recurring	lack of knowledge/experience	inexperience	Uninformative variable names, unidentifiable whether already recoded, calculating sums instead of means, doing this based on column numbers instead of variable names... etc.	2	unidentifiable whether already recoded	no	bad connection of data points	unable to track if data is recorded
R_1ODLj4FHdxhK3G1	New PhD students did not know the established work group standards	1	New PhD students did not know the established work group standards	yes	recurring	lack of knowledge/experience	inexperience	Uninformative variable names, unidentifiable whether already recoded, calculating sums instead of means, doing this based on column numbers instead of variable names... etc.	3	calculating sums instead of means, doing this based on column numbers instead of variable names... etc.	no	wrong data processing/analysis	calculating wrong statistic
R_1oi2EOZ5uJxYlCL	Corrections of input errors lead to different versions of the data set. Researches not always updated their data	1	Corrections of input errors lead to different versions of the data set.	no	recurring	bad or lack of standards	creating different versions	Cooperating researches use different versions of the same data-set	1	Cooperating researches use different versions of the same data-set	yes	version control error	using the wrong version of data
R_1ojdoHkyRAEhaO9	Not looking ahead	1	Not looking ahead	yes	recurring	bad or lack of planning	insufficient planning	Use uninformative variable names	1	Use uninformative variable names	yes	ambiguous naming/defining of data	ambiguous variable naming
R_1ojdoHkyRAEhaO9	Not being careful	1	Not being careful	yes	serious	carelessness	not being careful	Mislabeled columns when moving data between excel sheets; did not notice for a couple of months (data were not submitted for publication yet); had to rewrite part of manuscript and re-do analysis	1	Mislabeled columns when moving data between excel sheets; did not notice for a couple of months (data were not submitted for publication yet); had to rewrite part of manuscript and re-do analysis	yes	ambiguous naming/defining of data	mislabelling columns
R_1OkPHcZJmExTE2S	tiredness or carelessness	1	tiredness	no	recurring	physical and mental constraints	tiredness	typo	1	typo	yes	data input error	typo
R_1OkPHcZJmExTE2S	tiredness or carelessness	2	carelessness	no	recurring	carelessness	carelessness	typo	1	typo	yes	data input error	typo
R_1Or7tDijbW5NQ1e	Lack of attention	1	Lack of attention	yes	recurring	inattention	inattention	Using non-current database	1	Using non-current database	yes	version control error	using the wrong version of data
R_1Or7tDijbW5NQ1e	Lack of attention	1	Lack of attention	yes	serious	inattention	inattention	Using non-current database	1	Using non-current database	yes	version control error	using the wrong version of data
R_1pRrkSmdJGmTwHk	Conversion errors/problems with statistical software.	1	Conversion errors/problems with statistical software.	yes	serious	technical issue	software error	Data from old projects lost because old SPSS files will not open. Data was not stored in another format.	1	Data from old projects lost because old SPSS files will not open. Data was not stored in another format.	yes	data or file organisation error	storing data in wrong format
R_1qgGU0J3OX0g6t9	reaction time was coded incorrectly on protocol	1	reaction time was coded incorrectly on protocol	yes	serious	bad or lack of standards	error in the protocol	analyses had to be re-done	1	analyses had to be re-done	yes	wrong data processing/analysis	wrong analysis
R_1QJxQZXirFtXONG	due to technical/software problems	1	due to technical/software problems	yes	recurring	technical issue	technical malfunction; software error	lost data	1	lost data	yes	loss of materials/documentation/data	data loss
R_1QJxQZXirFtXONG	we forgot to safe the data before the PC was killed by a technician	1	we forgot to safe the data before the PC was killed by a technician	yes	serious	physical and mental constraints	forgetfulness	we also lost complete data sets after responsible researcher left univ	1	we also lost complete data sets after responsible researcher left univ	yes	loss of materials/documentation/data	failure to share data with team members
R_1qWnEsHwB47T5gC	The PI (= I) had not introduced rules for naming variables and saving and documenting project data.	1	The PI (= I) had not introduced rules for naming variables and saving and documenting project data.	yes	recurring	bad or lack of standards	lack of standardised procedure	Use of uninformative variable names; no consistent file structure for different subprojects.	1	Use of uninformative variable names;	no	ambiguous naming/defining of data	ambiguous variable naming
R_1qWnEsHwB47T5gC	The PI (= I) had not introduced rules for naming variables and saving and documenting project data.	1	The PI (= I) had not introduced rules for naming variables and saving and documenting project data.	yes	recurring	bad or lack of standards	lack of standardised procedure	Use of uninformative variable names; no consistent file structure for different subprojects.	2	no consistent file structure for different subprojects.	no	data or file organisation error	inconsistent file structure
R_1qWnEsHwB47T5gC	1. Not enough information was given at the outset. 2. In such cases, two coders should always code independently and the dataset should then be searched for discrepancies. 3. Not enough control at the right moment.	1	1. Not enough information was given at the outset.	no	serious	lack of knowledge/experience	not enough information	In a study where results had to be annotated and coded, the coder made a number of seriour mistakes that were noticed too late.	1	In a study where results had to be annotated and coded, the coder made a number of seriour mistakes that were noticed too late.	yes	data coding error	value coding error
R_1qWnEsHwB47T5gC	1. Not enough information was given at the outset. 2. In such cases, two coders should always code independently and the dataset should then be searched for discrepancies. 3. Not enough control at the right moment.	3	3. Not enough control at the right moment.	no	serious	lack of control	not enough control	In a study where results had to be annotated and coded, the coder made a number of seriour mistakes that were noticed too late.	1	In a study where results had to be annotated and coded, the coder made a number of seriour mistakes that were noticed too late.	yes	data coding error	value coding error
