response_id	years	field
R_2V85hhvhCukcKS9	10	other
R_3s7iyh922xBWmba	10	experimental and cognitive psychology
R_1M4JynyqFgfbEGn	18	social psychology
R_2xYjxG2sdLotM8Q	38	other
R_Q6a2dBgrDtQZrcl	6	personality psychology
R_23eJfXyDulGeJUx	15	developmental and educational psychology
R_OBy6N3n9kcEUbmx	9	clinical psychology
R_2afAwJhFERuWpcR	15	applied psychology
R_25RcV6aMECnyYyF	16	developmental and educational psychology
R_1C7oJP4CkRa3cdP	20	other
R_yD8d1A59bQGBOut	10	developmental and educational psychology
R_R4b2NHauEWrdgcN	15	applied psychology
R_2vZVaf4kmem95MD	40	applied psychology
R_1ojdoHkyRAEhaO9	7	experimental and cognitive psychology
R_1FzFMxxfXX2SLGw	10	experimental and cognitive psychology
R_1kTbPJmOD0m8h6r	12	other
R_qITgjpy8nUlimv7	21	developmental and educational psychology
R_2ONZImZtC8mhCrA	5	clinical psychology
R_2agYT2RkPZaarIL	45	other
R_33lN4aBOD0tfqwg	10	other
R_2RVBEeR4DZhBco5	7	social psychology
R_2aQPnJKQNgJw2Ob	17	other
R_1QLOiVySy2bKLTZ	22	social psychology
R_2XhPhn1YeASQHAr	10	applied psychology
R_pscJ1L4obDNvx3H	40	personality psychology
R_2YQViBTzxB4Z58d	17	experimental and cognitive psychology
R_3G7c4213rSP4bPF	20	other
R_XiYRBKDZ1f0f0wV	10	clinical psychology
R_1LXOUF7PqQkhz6o	25	developmental and educational psychology
R_3lrEYOs4D0F0s0k	13	clinical psychology
R_3PbElbVvAPqPtkC	20	other
R_1mKI2PUxRHLULTJ	13	social psychology
R_3RlLuQSE5pu1tb0	12	social psychology
R_2doLrFMsPU9gioB	30	methodology and statistics
R_uwilEnZKlzMWNLH	10	other
R_1lhqYV1QwEPPpZy	8	applied psychology
R_1dyHBENaRUWZjBd	9	experimental and cognitive psychology
R_2VmXtXlfGpTVyxw	41	neurophysiology and physiological psychology
R_XYUxOqaUOdv9F97	18	personality psychology
R_1KoS03TB4Dmwx8K	27	other
R_2xEjkBHMLVAdlpz	35	applied psychology
R_OcBfzKXUA2Vg1mV	40	applied psychology
R_2Wxs9NL5pTh2Ko0	20	other
R_eYdELbJBuvjhdyF	10	experimental and cognitive psychology
R_2EEnIEQa9QlsXtt	15	developmental and educational psychology
R_1IH7qhVEGwzF6pZ	18	social psychology
R_YRpTUYsPnCHJ2U1	15	other
R_1FwvnH84InncNXX	15	social psychology
R_26mVWrTn2jxXvOy	8	experimental and cognitive psychology
R_ZyPIaTnZlEqj2PT	18	other
R_3EupOPAfblnLBPk	32	methodology and statistics
R_1IlTZYBSAO0Dcuy	17	social psychology
R_2Yrmw7uMu8U6eEA	20	experimental and cognitive psychology
R_2VpQNBQ0y3Xk4v1	20	developmental and educational psychology
R_1qgGU0J3OX0g6t9	10	other
R_2EGYmDTj3LV7rUU	28	other
R_33qjViTvNv9H48m	12	experimental and cognitive psychology
R_3lKPtjrvge3kjlW	40	experimental and cognitive psychology
R_3ssjvVtm5kqPBor	10	experimental and cognitive psychology
R_3gTq4TA8Trl2ZHf	24	social psychology
R_DSGTNrt5b3NfEyd	8	other
R_2czHmrjciqTkBt0	15	neurophysiology and physiological psychology
R_1NDGa4iJhjM1zX9	38	other
R_OHDG36aZkVyuXAJ	14	developmental and educational psychology
R_3fjxxi7YlurfKXO	36	applied psychology
R_pDGuvxLRGbALOtH	25	neurophysiology and physiological psychology
R_2uCVsIhbczMricX	19	social psychology
R_BG2zCrSq72cu5oJ	19	developmental and educational psychology
R_PULxBT05Q47IOmR	15	applied psychology
R_2TRUjQ7kYqmtIno	15	developmental and educational psychology
R_3saEuW4TTviBwnM	32	neurophysiology and physiological psychology
R_usJmD25Zml44ef7	31	other
R_3qR5qywuGiliJsm	15	social psychology
R_3j27GQZJCc95DpV	35	other
R_1GEpvVXQjiA6JFC	15	other
R_1ZdEcLWKTBdeOgV	6	social psychology
R_24AdUWCIaQLvyCw	30	other
R_2EggCQnejEtHW3a	13	social psychology
R_1kY9lz7ULI6kPb3	15	experimental and cognitive psychology
R_cCsCmJ2M9PGyP8R	50	experimental and cognitive psychology
R_2BgSfuqikIO1v0a	14	experimental and cognitive psychology
R_3MrPmrUA0iU0QKQ	10	developmental and educational psychology
R_6hDIMFdjLBO9MOd	10	social psychology
R_2us0vBwhzkTkLir	15	experimental and cognitive psychology
R_2QVQCBFhAeeJNZP	20	experimental and cognitive psychology
R_3kjMa6nu9SI2Zxt	10	methodology and statistics
R_3rJuaVQjfJOizzO	7	experimental and cognitive psychology
R_RDng1vjQz0Eut2x	40	clinical psychology
R_1dMSnCIjM6WCRyg	20	applied psychology
R_1fkEC9uIzUqHPXF	22	methodology and statistics
R_Ugcj0Hs9IX1A3WV	10	social psychology
R_3jZ1VC6ejnLzmYa	12	applied psychology
R_yDdfJsIfeCY3yRr	6	social psychology
R_3Pp3aZ3NKVDVBPb	30	methodology and statistics
R_2dSg2D5VTNB7RVY	8	social psychology
R_2QXVuTKkK53THL2	31	applied psychology
R_xaBv50AriU5pPt7	3	other
R_2SBjtXj9EjzI7Sn	40	other
R_AmI4PaDaAItn0MF	15	methodology and statistics
R_1EKvVZl7B5pr465	34	other
R_28FWEYSvglYwL9F	10	applied psychology
R_2EzS06GIwQj0lQn	13	clinical psychology
R_1FqSTPQf3FjsXjM	20	developmental and educational psychology
R_T1kUZzmLbVaqMQp	20	social psychology
R_2s1ktoIv8TbR7va	3	experimental and cognitive psychology
R_AGrmutGJFICE93z	26	experimental and cognitive psychology
R_3szfXpJiLetcwwr	20	neurophysiology and physiological psychology
R_WDKxkIWKqWPUbqV	35	social psychology
R_1pRrkSmdJGmTwHk	12	developmental and educational psychology
R_31N0JcnckZmHXuH	7	clinical psychology
R_T5iKcDfWBpqUOaJ	8	personality psychology
R_2U9jvXCLvYdgF4v	8	other
R_3CWadSWEbwUhhrs	27	personality psychology
R_1Kp6yZnGSG4gEcP	24	experimental and cognitive psychology
R_1ohTkjECbK7PyOm	15	other
R_1OkPHcZJmExTE2S	18	other
R_1mW0ThB9AoMJITt	35	other
R_1jvKqTl2Ij19jke	25	experimental and cognitive psychology
R_3JgdVz92UzIXsDf	10	experimental and cognitive psychology
R_Ajw5jmJ8M7DobyF	30	clinical psychology
R_2zHk3lrt2viQjzY	11	personality psychology
R_1i2NaZKfSEk0NAo	33	developmental and educational psychology
R_2VQJaAMQ7x7b0Vc	18	experimental and cognitive psychology
R_3pgaQNfj5tISZ0r	15	other
R_1Kx6uWGscVutS3f	8	social psychology
R_vSpnniXC9QK5jj3	50	other
R_22EynRiZfQKWOM7	20	other
R_2cu4Vcaq8fXrGGw	15	social psychology
R_OvXfiWtDSp3WRdD	15	methodology and statistics
R_vCDw2trrlQggWnD	43	social psychology
R_1FnQHiAFu95KLEA	31	developmental and educational psychology
R_2ay4ISLXNFlfXiA	32	developmental and educational psychology
R_exlSjtrcVMPpPkl	10	clinical psychology
R_3lFbOeEkr2aGW1f	32	clinical psychology
R_2tM3kyffGsiC0lA	50	developmental and educational psychology
R_24jZ54FYuSFoono	10	clinical psychology
R_2YKRrPH6SwOg1i9	4	experimental and cognitive psychology
R_2aKnSakmSAQuXYg	13	methodology and statistics
R_6gLIVQF1l9WfwFH	40	developmental and educational psychology
R_2WVyCoeuAAHCNin	23	developmental and educational psychology
R_AFdMpLX9YukUDqV	15	clinical psychology
R_3Pq7FOazfc0hLft	31	methodology and statistics
R_302hgWPu7XX10Ur	7	other
R_3fAw2UE7epkUpRF	15	other
R_3jeZvxEXWjMiPoU	8	experimental and cognitive psychology
R_2awtub9gT0lm0Nq	14	experimental and cognitive psychology
R_3s5IM3bGbNtc4XU	25	other
R_73C5WonwTfcN8Wt	12	experimental and cognitive psychology
R_29tEljEKBrsztMe	10	social psychology
R_1C8fB8CBFHe5SbN	50	experimental and cognitive psychology
R_3fHPNDhuPCvBI5t	18	developmental and educational psychology
R_vq2t8wRHyyhk10J	10	other
R_SH3w71pRCZDwotH	5	personality psychology
R_3fW2vvpojJLV3ZS	20	other
R_1NCbBfTdX4Jcm6q	22	developmental and educational psychology
R_1g6hYU8eXreCTSC	25	clinical psychology
R_ysSpq9fCGv43WI9	7	social psychology
R_vTAtDgS8N64qWDn	10	experimental and cognitive psychology
R_3M0uW4vbFXE4kvx	14	clinical psychology
R_d9XxjKNfZKBlcv7	10	neurophysiology and physiological psychology
R_3fAULoP2522oOyB	15	other
R_1gpx3ioVAlVTipo	10	other
R_3NDG6QfrooWuJHa	19	experimental and cognitive psychology
R_0i9ZGQEYBdbMe1r	20	experimental and cognitive psychology
R_2f97NKM11tYyR5P	20	experimental and cognitive psychology
R_vktbxXQAdWGQUmJ	10	neurophysiology and physiological psychology
R_3jfk9WUBB1C9rE0	27	other
R_u7y4awKmx0P9uMx	17	other
R_1ImjMmhDv5BB0tL	27	experimental and cognitive psychology
R_1rwuSrjs7gQ6lcy	20	experimental and cognitive psychology
R_ZJlgxWYq9ryKVJ7	20	personality psychology
R_1OCdfz7knYYZ9MF	10	other
R_3Gs4GQj61sS2krY	20	social psychology
R_10H7jaE3hqPEC59	50	applied psychology
R_UW9udpehJoHvjeV	10	experimental and cognitive psychology
R_W2NaMKUGZou4QDv	20	experimental and cognitive psychology
R_3R4baXz3l9QdAPM	12	other
R_2Ve7LLcoPdCtYvA	15	neurophysiology and physiological psychology
R_3DjBdzkuQENmiq9	16	neurophysiology and physiological psychology
R_Y6sggRDaiYKcxP3	3	experimental and cognitive psychology
R_3HnSEV00T3RGWzi	8	other
R_bCncU5uFNDBQAdr	7	neurophysiology and physiological psychology
R_XLNMXHwqdiwAG7D	35	neurophysiology and physiological psychology
R_2OGsptCGC66lVpU	6	experimental and cognitive psychology
R_2yfNEamm9FvTD4O	20	other
R_1myhPq5ghONho9x	30	other
R_3KK0Lq3IYGIcJXW	9	developmental and educational psychology
R_1f1ptLmJabcd2gt	15	neurophysiology and physiological psychology
R_ByOF9nbo28ZJhG9	25	social psychology
R_1Lez5WNMDX1hRUJ	10	developmental and educational psychology
R_DCZvMltMaiLK0zD	10	developmental and educational psychology
R_24OvWIXid68ghSc	3	social psychology
R_28GI4y8PGiLchXU	13	other
R_QaFTHFdsxfpvsFb	4	social psychology
R_12ovEFWl7OzSTn7	12	experimental and cognitive psychology
R_2WCr8uf7CKPkEXG	15	developmental and educational psychology
R_vGhe9SFx67Tm8md	15	neurophysiology and physiological psychology
R_1q8MrESM6Soe0YW	20	neurophysiology and physiological psychology
R_1gwrKmk8l9dBdpR	25	personality psychology
R_roMs84O8u4uODHb	7	experimental and cognitive psychology
R_1163fpcUwH7iUdJ	13	other
R_1eru08S1SGWl5sm	10	applied psychology
R_2pXHxkLf2ltxzDW	12	developmental and educational psychology
R_240gExq9GupfN2a	10	social psychology
R_27s7Eu21Kt5yIT0	14	other
R_2ZKX9MFhEoJ5EsP	5	clinical psychology
R_3EKfYkim9TNrorw	9	applied psychology
R_bCNgup74QHnWVKp	20	applied psychology
R_3kGGCsyUfakWVUl	47	social psychology
R_2VEKMPKkOYROq4e	20	methodology and statistics
R_2RQVxhHSV8Q7y24	13	experimental and cognitive psychology
R_3PHWLvpIcXFFKwW	12	neurophysiology and physiological psychology
R_OlZPqe0dnO5809z	17	applied psychology
R_2YrWWMvbQaoXT8U	30	experimental and cognitive psychology
R_2v92FujMnTNUKtU	8	experimental and cognitive psychology
R_cOwnko1L9iV7hWV	15	methodology and statistics
R_Tn1zCiJl48M49bP	39	methodology and statistics
R_3lQFyqvkeqxEGrv	16	personality psychology
R_cIpsWQTCtqyVUd3	20	applied psychology
R_2E3SqExkJaw5KMM	58	neurophysiology and physiological psychology
R_3n5YF1P3zkjw6mc	20	experimental and cognitive psychology
R_2tLFnGE5wJ0UxSs	12	clinical psychology
R_3iIFj59dgB5EXPO	27	applied psychology
R_1IXK61gu891fM53	50	social psychology
R_3ObQwLaOYCfdTA5	25	neurophysiology and physiological psychology
R_3PYR1LMIJhMu0dH	8	other
R_3hyCgqMpettYA1x	13	social psychology
R_3lMjXKnwsOJomFW	42	personality psychology
R_2U0jyqZlTh8B9Kk	35	experimental and cognitive psychology
R_2wu8pRf0QuCSjtC	25	experimental and cognitive psychology
R_2f9fC66h2IIZs1w	9	experimental and cognitive psychology
R_9QE69SV6ZqszWjT	27	other
R_31XxYTrGO7hkkqE	10	experimental and cognitive psychology
R_06DkavezrMGKffj	5	applied psychology
R_1FgF6lRVQZUd4dW	12	social psychology
R_1lB26n6FmxVjcjF	10	social psychology
R_1f8IXSbHxMdw6pC	1	other
R_1NwBZ6uZyWVD4r1	35	other
R_3NQyiNXjL1vSMQs	3	other
R_uyxOp5bl3Heyi5P	40	other
R_2QJpoM0DXM2EnBw	10	social psychology
R_pN6MH6N2QB5EWkN	9	neurophysiology and physiological psychology
R_RwbZAYqdAdCWJpL	10	developmental and educational psychology
R_1f7yeRvfde3epEo	15	experimental and cognitive psychology
R_3qlI1oXGPLbeopZ	30	applied psychology
R_SJNhx4IBeQ1eZu9	42	clinical psychology
R_2q9Ql7h5CKuPKN0	25	neurophysiology and physiological psychology
R_SHwFOwZ6VkkfpPr	10	methodology and statistics
R_2QopNHjyyr0Mqmt	30	neurophysiology and physiological psychology
R_u3udJvSlp9H0lYR	8	clinical psychology
R_UmqU7Ly1qrMBjHP	20	other
R_3s6svosVBZhcLjp	31	neurophysiology and physiological psychology
R_3EK0TrKycm0yB5b	23	social psychology
R_1lz69PsdTmTnVVj	5	methodology and statistics
R_1C9qNC1dUt7ZiSE	10	developmental and educational psychology
R_1DzEEG1QzkdWLdl	11	other
R_2B8trxy4O95LIjg	20	experimental and cognitive psychology
R_1LBzXSxZUeQ0CZr	20	clinical psychology
R_28ZpvpJ7r1GU67H	5	clinical psychology
R_3HtqACEHt1G9A41	25	developmental and educational psychology
R_1g86ziif9LCszbc	10	other
R_Asx9afieZL39PhL	24	experimental and cognitive psychology
R_2eOxrEvCxEutKdg	10	clinical psychology
R_3rZAis4XlhhtCIC	8	methodology and statistics
R_2VmBlknbIlY3gij	6	social psychology
R_3J4c4rpnbPrwloU	20	personality psychology
R_38UJ0Ze2LPz2C1b	5	other
R_3fPi4q2MtOopLwb	25	other
R_2VqpVBYSI1pLkvH	20	other
R_1LbdeE1TkgHwlf0	9	social psychology
R_2b2hwMGWs1zscoE	19	clinical psychology
R_1jTgRy9bu3qIAQT	46	clinical psychology
R_ZKoWiUDZBNjI1kl	10	social psychology
R_XojQnylYueRx31f	5	other
R_1MQWERjeI1GSADq	2	experimental and cognitive psychology
R_1kTSdgoR3ATiihw	10	methodology and statistics
R_1lAjGmRwoW52vY9	7	applied psychology
R_12kZ5E4TIFs2wbK	30	experimental and cognitive psychology
R_2ARO4v2Lk45N6OG	30	developmental and educational psychology
R_2S2MjnRg4NsWUiX	6	other
R_d5bHbCJFKEtSdcB	1	social psychology
R_T1L5jxO15Adwh0d	28	applied psychology
R_3MxiNSZMv5T1z4X	8	social psychology
R_zTomGWKEQc3Ne8h	24	developmental and educational psychology
R_3PpfaE6kx9z6Gdn	20	other
R_3L6niGuAekVeaXx	13	experimental and cognitive psychology
R_2tiiMYZYEfHjyYN	8	social psychology
R_1EibulGREp2Awdg	4	social psychology
R_ZmXnCTgu01NJWAV	13	social psychology
R_1PYqrwTWH43MQ4b	14	other
R_qyVu3WJ4rXTojBf	10	clinical psychology
R_3q9lNyzTYS3Wwfu	12	experimental and cognitive psychology
R_wQKtnSahMtTdwZP	14	clinical psychology
R_2pLz7xMojRnoxaR	6	applied psychology
R_e2QJYA7HDLHM0QV	6	social psychology
R_30qQDg8DretpwYi	7	experimental and cognitive psychology
R_2Y4AUWvkpjNoWMj	4	experimental and cognitive psychology
R_3kwgl80bqny911T	20	personality psychology
R_339EykMm32hLYqR	6	applied psychology
R_2BbuTGCx18uGQHF	18	social psychology
R_1OB3foIsQJfflaa	12	clinical psychology
R_6QYEgZeTJnngKZj	7	methodology and statistics
R_3D85dU8d9bWZJPh	12	developmental and educational psychology
R_2YeLYCNeAEarPbX	15	other
R_a9Gz8zHhb9u2pW1	4	experimental and cognitive psychology
R_238HFUYOk87Upxk	27	applied psychology
R_qyZXW5SQf5lG4Ol	2	social psychology
R_ZdxANIAeQf93MkN	15	clinical psychology
R_30iBM9IxcA9r8sY	22	clinical psychology
R_2XhZupfT3JtBBeo	21	neurophysiology and physiological psychology
R_4YsljcjsHBXYfSx	3	applied psychology
R_3gYOmNFTOaQXpvg	18	methodology and statistics
R_3Pntu1ocvaXxAON	15	other
R_1DTQz85ICC3MW9k	9	other
R_DzXT4qsbkrvDVDP	30	neurophysiology and physiological psychology
R_2uHSLuGwWn8PInP	20	applied psychology
R_POu1cEcaePOzhkt	12	neurophysiology and physiological psychology
R_1LifDMLl5WpopDp	8	other
R_2rBzqM7U57tGlVk	13	other
R_240mxsPP2K7qvrD	30	other
R_1GWgjyjQjIpBIew	25	experimental and cognitive psychology
R_AEvIrQSSmJP5wFb	10	other
R_2dLSHG3yGKzKecQ	18	applied psychology
R_2e295rrs3RwuezQ	8	neurophysiology and physiological psychology
R_2dvcIJA7IFmsu14	15	other
R_1UeEmajLZ4T4TwR	4	experimental and cognitive psychology
R_2bN2CmBCvy0RUPJ	6	applied psychology
R_2eQCIvKgmCxnQis	10	methodology and statistics
R_1fd7fjBC84Nf1XI	20	other
R_77kUEfBZkO5ZyOl	14	social psychology
R_cBI2DIvDQbW5cDD	2	clinical psychology
R_1K8Ralb7H385hcB	7	neurophysiology and physiological psychology
R_2U5GjHtbKZYkmMX	12	experimental and cognitive psychology
R_2thgLa4jntEMBiq	9	personality psychology
R_3sv4uN3gphG6Pxv	10	social psychology
R_CZELpbmkR2H9uz7	45	experimental and cognitive psychology
R_p0BJ8JCn92K9IaJ	50	applied psychology
R_2rZ2DTpbcWFIEhG	5	experimental and cognitive psychology
R_uyQjDVLfMF1DjEJ	40	clinical psychology
R_1mVqGcXzn9RTmbh	28	methodology and statistics
R_ZJATnXkWyr4rKWl	13	social psychology
R_2bOijjUlRMWYs2t	22	methodology and statistics
R_xf1mZKJUgYbss6J	35	other
R_Ub6KK5sJLnRBQBj	20	other
R_sbMzGYvocQNch7X	15	experimental and cognitive psychology
R_SCp4SDJW7H7SgNz	15	other
R_3MJUSLr2OcEQ11l	30	neurophysiology and physiological psychology
R_2fg0p9dQFeyFqr6	24	social psychology
R_qJFDhrxLT2tTZ5v	25	neurophysiology and physiological psychology
R_p3M2Ir2HhdW3gTD	16	applied psychology
R_1rqy1rVzOKTinKa	19	other
R_3IT6ZXx2MztRRGc	44	clinical psychology
R_cYFPvH5xI8jDLOh	23	developmental and educational psychology
R_11gukLDI1B8MFre	30	clinical psychology
R_1d4iz3m2nqcDwm0	20	other
R_e5USP07muEESOKB	11	other
R_2rwGx3tHGSfKZmT	13	developmental and educational psychology
R_2wMmMiikRn9F6qX	12	experimental and cognitive psychology
R_1Or7tDijbW5NQ1e	20	personality psychology
R_23f99S8tbBeZcmr	10	experimental and cognitive psychology
R_1kMINu0tVdNVrjQ	14	other
R_1dzgIml0qeTOy3z	20	methodology and statistics
R_2dT8e8Ru3SR801H	10	developmental and educational psychology
R_1EZ15sr0mldmdJS	30	clinical psychology
R_2XbwfGL9OmGNpNx	11	clinical psychology
R_1oi2EOZ5uJxYlCL	30	other
R_2xKa98jPFbLuzjs	10	other
R_cuv0b8aL16OZV5f	7	clinical psychology
R_0rFImCR89hEJax3	20	social psychology
R_1gi7in2zvTaVHpj	34	clinical psychology
R_12tYv2Y5nec53EF	6	experimental and cognitive psychology
R_Oa2svKJHachQHnP	15	clinical psychology
R_3iqkqyCtuHBhFsN	16	developmental and educational psychology
R_2PnFe0m2znDlqh0	15	applied psychology
R_2SeF9B5dnR5QZ1N	30	experimental and cognitive psychology
R_2PchCq8UnKbYzmr	10	neurophysiology and physiological psychology
R_Bybv9JqSnv0Hern	10	clinical psychology
R_2xWedLepVORUb2s	29	clinical psychology
R_1ditQMNo8bzXokM	17	applied psychology
R_2E6UbxqHIZGHdcc	3	other
R_1dLyeBiPezAXaav	30	applied psychology
R_3Eo3YsFvO2vplXR	48	neurophysiology and physiological psychology
R_2roxxflIoGavKkS	35	methodology and statistics
R_XR4vuDYVTZUdDxf	13	experimental and cognitive psychology
R_2Ejl6F6HzHMaous	17	personality psychology
R_2coTxGpiZoEAjV9	20	other
R_3gYp4TFBsLfhLvH	25	neurophysiology and physiological psychology
R_1obR2FYKvFuxCjp	18	other
R_3hhX5mXtAv6AIHA	8	other
R_2uQIn0onTQYseK1	35	developmental and educational psychology
R_2OTKjDgl6AvVwvh	7	experimental and cognitive psychology
R_2U4pgn1GCmJuGaU	19	developmental and educational psychology
R_3qlduMb6TmuzWVI	50	applied psychology
R_2cth4XQgNMWuwGv	15	methodology and statistics
R_27BdmSNc3E6ZlFf	17	experimental and cognitive psychology
R_1o0l1vb0QVWOutj	16	experimental and cognitive psychology
R_1K7lVatqDC1d3dz	18	other
R_3EJQO3OBaZ6CZKY	25	clinical psychology
R_4Z9S8WkR6ezQJ7H	13	neurophysiology and physiological psychology
R_1K26DA5M0mERwZH	35	experimental and cognitive psychology
R_2yg8jYMAU5WqMfg	5	personality psychology
R_DBlXUQLPEwonUSB	20	developmental and educational psychology
R_3lMoowEYi5yWYMA	30	other
R_3hngidIEckW7lKF	8	applied psychology
R_1ogVGCkvyaVYrta	15	applied psychology
R_1hLr7MYgQpK05AT	17	applied psychology
R_1IhH5uWbd7fWbq1	15	other
R_3dGuyqX1cMJFz7i	20	other
R_3foClSs4q55ssEp	46	other
R_10uWnIrva7R5dgS	4	methodology and statistics
R_7PVRV8S0OqzQTnz	10	methodology and statistics
R_1nZmLTBp6dPXqgm	20	applied psychology
R_Cfzi2YLDaPWFnRT	10	social psychology
R_3KGCgGY4I8KXp24	2	other
R_2dlHcPXBYfhftFW	28	experimental and cognitive psychology
R_wRyMeFjM4H8I52h	12	developmental and educational psychology
R_3PHKJQqRQle1gb0	41	other
R_3hgej8gmajD0d9j	30	developmental and educational psychology
R_2bQpSx7HPHcLyoX	25	personality psychology
R_6hV0lkImqJ9lbCV	40	methodology and statistics
R_3qvvLPHkBxw52vg	18	social psychology
R_2fiypF20DbX0IU0	25	clinical psychology
R_2duJO8zk4AgeXgg	10	social psychology
R_1qWnEsHwB47T5gC	18	experimental and cognitive psychology
R_3FPW5UUfKKmHIzM	18	methodology and statistics
R_2zjVTdbw0kClOqk	18	clinical psychology
R_T6OrGQxMHJekFCF	15	other
R_1CKGCablLVpWzNT	30	methodology and statistics
R_2yfG7EjmzWsyWxx	10	developmental and educational psychology
R_1LNc6THhR7JwDJ5	7	other
R_2WGQonc2eGviLKq	15	experimental and cognitive psychology
R_3fuztQ0HcuQmyVK	35	methodology and statistics
R_qJHLDJdVTdBowI9	28	experimental and cognitive psychology
R_3MxuXev3SJ36Py0	8	applied psychology
R_1rH1NztEvUbUmp0	15	other
R_2WJC3PKuf5TvxjC	14	methodology and statistics
R_Xp37cWl6slWgFWN	12	other
R_22ms4BKg4b2PqVr	7	other
R_x8Z2fY3NuG06l69	11	other
R_YPHfNIaeRchw0PT	20	other
R_1HemYlCts4kwav2	10	clinical psychology
R_2EBoQ5pteGRidTo	16	other
R_0ibVXbAiuoWoMWR	9	other
R_3EKM0va9ntRVGxm	35	other
R_4Jx85V7Q7juO0rD	18	experimental and cognitive psychology
R_vOfSDKH9m5bsxQl	5	applied psychology
R_1eV2on20y9CkUQr	NA	NA
