response_id	type	mistake	question	rating
R_2aQPnJKQNgJw2Ob	recurring	Corruption of datasets due to errors in transcription, merging, etc.	frequency	Moderate
R_2aQPnJKQNgJw2Ob	recurring	Corruption of datasets due to errors in transcription, merging, etc.	serious	Minor
R_1QLOiVySy2bKLTZ	recurring	"Miscoding of a variable -- e.g., 1 to 7 coded as ""more"" with higher numbers but was actually ""less"""	frequency	Low
R_1QLOiVySy2bKLTZ	recurring	"Miscoding of a variable -- e.g., 1 to 7 coded as ""more"" with higher numbers but was actually ""less"""	serious	Moderate
R_2XhPhn1YeASQHAr	recurring	"version control and/or frequent changes to surveys leading to messy data sets; combining ""identical"" data sets that aren't actually identical"	frequency	Low
R_2XhPhn1YeASQHAr	recurring	"version control and/or frequent changes to surveys leading to messy data sets; combining ""identical"" data sets that aren't actually identical"	serious	Minor
R_2YQViBTzxB4Z58d	recurring	Failure to programme response-collection aspect of the task properly, or other programming errors.	frequency	Low
R_2YQViBTzxB4Z58d	recurring	Failure to programme response-collection aspect of the task properly, or other programming errors.	serious	Minor
R_3G7c4213rSP4bPF	recurring	Applying a statistical model to a wrong/incomplete part of the data	frequency	Low
R_3G7c4213rSP4bPF	recurring	Applying a statistical model to a wrong/incomplete part of the data	serious	Moderate
R_XiYRBKDZ1f0f0wV	recurring	Ordinal variables were coded in the incorrect direction	frequency	Moderate
R_XiYRBKDZ1f0f0wV	recurring	Ordinal variables were coded in the incorrect direction	serious	Minor
R_1LXOUF7PqQkhz6o	recurring	Misspecified codes for variable conditions.	frequency	Low
R_1LXOUF7PqQkhz6o	recurring	Misspecified codes for variable conditions.	serious	Minor
R_3lrEYOs4D0F0s0k	recurring	1. We used uninformative variable names that made it hard to re-use the dataset. 2. Frame deletion error. A row was deleted and all datapoints moved up one so that experimental groups and datapoints no longer matched. The mistake was not spotted in time and a conference abstract was published with erroneous results, although the actual conference presentation contained corrected analyses and disclosure of the mistake. 3. Failure to retain data at screening for a critical baseline variable for some participants	frequency	Low
R_3lrEYOs4D0F0s0k	recurring	1. We used uninformative variable names that made it hard to re-use the dataset. 2. Frame deletion error. A row was deleted and all datapoints moved up one so that experimental groups and datapoints no longer matched. The mistake was not spotted in time and a conference abstract was published with erroneous results, although the actual conference presentation contained corrected analyses and disclosure of the mistake. 3. Failure to retain data at screening for a critical baseline variable for some participants	serious	Moderate
R_3PbElbVvAPqPtkC	recurring	Punching the data wrongly	frequency	Low
R_3PbElbVvAPqPtkC	recurring	Punching the data wrongly	serious	Minor
R_1mKI2PUxRHLULTJ	recurring	uninformative labels for variables is the top frequent one; working off the wrong version of the dataset, and only realizing it after weeks of performing analyses is the second more frequent one.	frequency	Low
R_1mKI2PUxRHLULTJ	recurring	uninformative labels for variables is the top frequent one; working off the wrong version of the dataset, and only realizing it after weeks of performing analyses is the second more frequent one.	serious	Moderate
R_3RlLuQSE5pu1tb0	recurring	Being uncertain of variables due to naming	frequency	Low
R_3RlLuQSE5pu1tb0	recurring	Being uncertain of variables due to naming	serious	Minor
R_2doLrFMsPU9gioB	recurring	Over-write one form of the data over another. Have never lost the original (thirty years did, so had to re-type from paper copies).	frequency	Low
R_2doLrFMsPU9gioB	recurring	Over-write one form of the data over another. Have never lost the original (thirty years did, so had to re-type from paper copies).	serious	Minor
R_1dyHBENaRUWZjBd	recurring	Recently, despite pre-testing and piloting an online study, when some participants took the survey, errors occurred and thus we lost some fraction of the data	frequency	Low
R_1dyHBENaRUWZjBd	recurring	Recently, despite pre-testing and piloting an online study, when some participants took the survey, errors occurred and thus we lost some fraction of the data	serious	Minor
R_2VmXtXlfGpTVyxw	recurring	Misleading cut-paste from one file to another.	frequency	Very Low
R_2VmXtXlfGpTVyxw	recurring	Misleading cut-paste from one file to another.	serious	Insignificant
R_XYUxOqaUOdv9F97	recurring	Programming mistakes in survey set-up (eg, not including a item, having a typo in an item, setting quaktrics/inquisit to allow missing data)	frequency	Low
R_XYUxOqaUOdv9F97	recurring	Programming mistakes in survey set-up (eg, not including a item, having a typo in an item, setting quaktrics/inquisit to allow missing data)	serious	Minor
R_1KoS03TB4Dmwx8K	recurring	Journal transposed numbers in a manuscript table.  We didn't catch it during proofing.	frequency	Very Low
R_1KoS03TB4Dmwx8K	recurring	Journal transposed numbers in a manuscript table.  We didn't catch it during proofing.	serious	Major
R_2xEjkBHMLVAdlpz	recurring	We have the data in a spreadsheet and when a co-author updated the spreadsheet he failed to copy the formulas for all the data.  Thus more than half the data was undercounted.  Fortunately, it was a replication study and when the results turned out different from the original study, we went through all the data very carefully to check for errors.	frequency	Low
R_2xEjkBHMLVAdlpz	recurring	We have the data in a spreadsheet and when a co-author updated the spreadsheet he failed to copy the formulas for all the data.  Thus more than half the data was undercounted.  Fortunately, it was a replication study and when the results turned out different from the original study, we went through all the data very carefully to check for errors.	serious	Minor
R_OcBfzKXUA2Vg1mV	recurring	"Assistants keyed in the wrong numbers randomly.  Required rekeying the data.   RedCap did not have Research Assistant as ""on project"" so did not input the right ID number code.   Confusion in combining data sets from different sources.   Different sites had different ways of defining the same contructs making it difficult to combine data witout extensive re-coding.   Had longitudinal data in old software programs and it didn't translate easily to new programs."	frequency	Low
R_OcBfzKXUA2Vg1mV	recurring	"Assistants keyed in the wrong numbers randomly.  Required rekeying the data.   RedCap did not have Research Assistant as ""on project"" so did not input the right ID number code.   Confusion in combining data sets from different sources.   Different sites had different ways of defining the same contructs making it difficult to combine data witout extensive re-coding.   Had longitudinal data in old software programs and it didn't translate easily to new programs."	serious	Minor
R_2Wxs9NL5pTh2Ko0	recurring	Lack of clarity on the meaning of variables makes them hard to interpret later.	frequency	Low
R_2Wxs9NL5pTh2Ko0	recurring	Lack of clarity on the meaning of variables makes them hard to interpret later.	serious	Insignificant
R_eYdELbJBuvjhdyF	recurring	misscheduling participants	frequency	Low
R_eYdELbJBuvjhdyF	recurring	misscheduling participants	serious	Moderate
R_2EEnIEQa9QlsXtt	recurring	out of these mentioned above I believe that the most typical is data mislabelling or several recodes that - after some time - make the proper replication of analyses difficult. Of course R scripts or jasp / jamovi help, but with spss - even using syntax, this is a serious problem.	frequency	Very Low
R_2EEnIEQa9QlsXtt	recurring	out of these mentioned above I believe that the most typical is data mislabelling or several recodes that - after some time - make the proper replication of analyses difficult. Of course R scripts or jasp / jamovi help, but with spss - even using syntax, this is a serious problem.	serious	Minor
R_1IH7qhVEGwzF6pZ	recurring	Mistakes when we calculate factors.	frequency	Low
R_1IH7qhVEGwzF6pZ	recurring	Mistakes when we calculate factors.	serious	Moderate
R_YRpTUYsPnCHJ2U1	recurring	A variable is transformed or recoded inappropriately.	frequency	Moderate
R_YRpTUYsPnCHJ2U1	recurring	A variable is transformed or recoded inappropriately.	serious	Moderate
R_1FwvnH84InncNXX	recurring	We mostly run into problems with Qualtrics. For example, we will program a questionnaire to be on a 7-point scale and the program will put it on a 15-point scale. Or, questions will be programmed in a set order and Qualtrics will change the order that the questions are presented.	frequency	Very Low
R_1FwvnH84InncNXX	recurring	We mostly run into problems with Qualtrics. For example, we will program a questionnaire to be on a 7-point scale and the program will put it on a 15-point scale. Or, questions will be programmed in a set order and Qualtrics will change the order that the questions are presented.	serious	Moderate
R_26mVWrTn2jxXvOy	recurring	Copy-pasting from programs without getting all needed columns/participants	frequency	Moderate
R_26mVWrTn2jxXvOy	recurring	Copy-pasting from programs without getting all needed columns/participants	serious	Minor
R_3EupOPAfblnLBPk	recurring	Improper recodes and related syntax errors	frequency	Low
R_3EupOPAfblnLBPk	recurring	Improper recodes and related syntax errors	serious	Minor
R_1IlTZYBSAO0Dcuy	recurring	Uninformative variable names combined with a low quality codebook.	frequency	Moderate
R_1IlTZYBSAO0Dcuy	recurring	Uninformative variable names combined with a low quality codebook.	serious	Minor
R_2Yrmw7uMu8U6eEA	recurring	Failure to register (or correctly register) participant data	frequency	Low
R_2Yrmw7uMu8U6eEA	recurring	Failure to register (or correctly register) participant data	serious	Minor
R_2VpQNBQ0y3Xk4v1	recurring	Scale was coded wrongly (e.g. high value meant low score)	frequency	Low
R_2VpQNBQ0y3Xk4v1	recurring	Scale was coded wrongly (e.g. high value meant low score)	serious	Minor
R_1qgGU0J3OX0g6t9	recurring	missing data incorrectly labeled as 0.	frequency	Very Low
R_1qgGU0J3OX0g6t9	recurring	missing data incorrectly labeled as 0.	serious	Minor
R_2EGYmDTj3LV7rUU	recurring	Some mistake in stimulus presentation through specialized software (e.g., Psychtoolbox) leads us to discard data from several participants before we realize the mistake	frequency	Very Low
R_2EGYmDTj3LV7rUU	recurring	Some mistake in stimulus presentation through specialized software (e.g., Psychtoolbox) leads us to discard data from several participants before we realize the mistake	serious	Minor
R_33qjViTvNv9H48m	recurring	Difficult to track the evolution of the data from the source dataset.	frequency	Moderate
R_33qjViTvNv9H48m	recurring	Difficult to track the evolution of the data from the source dataset.	serious	Minor
R_3lKPtjrvge3kjlW	recurring	equipment failure led to data loss, but I don't think that fits in your definition.  I cannot think of any data-related mistakes comparable to your examples.	frequency	Low
R_3lKPtjrvge3kjlW	recurring	equipment failure led to data loss, but I don't think that fits in your definition.  I cannot think of any data-related mistakes comparable to your examples.	serious	Minor
R_3ssjvVtm5kqPBor	recurring	Research assistants changed data file name to reflect the participant number that was meant to be given rather than actually entered in the software.	frequency	Low
R_3ssjvVtm5kqPBor	recurring	Research assistants changed data file name to reflect the participant number that was meant to be given rather than actually entered in the software.	serious	Minor
R_3gTq4TA8Trl2ZHf	recurring	Mistake in translation from survey raw data to computerized data	frequency	Low
R_3gTq4TA8Trl2ZHf	recurring	Mistake in translation from survey raw data to computerized data	serious	Minor
R_DSGTNrt5b3NfEyd	recurring	Most commonly we face name|ID duplication due to the same participant being evaluated more than once; also, I've built our database on excel and more often people working on it mix up all kinds of formulas despite lock strategies, which lead me to check it every time I have to analyze something.	frequency	Low
R_DSGTNrt5b3NfEyd	recurring	Most commonly we face name|ID duplication due to the same participant being evaluated more than once; also, I've built our database on excel and more often people working on it mix up all kinds of formulas despite lock strategies, which lead me to check it every time I have to analyze something.	serious	Moderate
R_2czHmrjciqTkBt0	recurring	Loss of participants' responses, overwritten across experiments/sessions	frequency	Low
R_2czHmrjciqTkBt0	recurring	Loss of participants' responses, overwritten across experiments/sessions	serious	Minor
R_1NDGa4iJhjM1zX9	recurring	Change in scoring for the same items used in multiple studies.	frequency	Moderate
R_1NDGa4iJhjM1zX9	recurring	Change in scoring for the same items used in multiple studies.	serious	Moderate
R_OHDG36aZkVyuXAJ	recurring	Data scanning errors led to missing values, or substantial time validating values against paper-documented responses	frequency	Low
R_OHDG36aZkVyuXAJ	recurring	Data scanning errors led to missing values, or substantial time validating values against paper-documented responses	serious	Moderate
R_pDGuvxLRGbALOtH	recurring	technical errors that were not detected in time due to inexperience of researchers	frequency	High
R_pDGuvxLRGbALOtH	recurring	technical errors that were not detected in time due to inexperience of researchers	serious	Minor
R_2uCVsIhbczMricX	recurring	The online battery was not an accurate representation of the survey we needed (wrong or misleading variable names, a condition being dropped, etc.)	frequency	Low
R_2uCVsIhbczMricX	recurring	The online battery was not an accurate representation of the survey we needed (wrong or misleading variable names, a condition being dropped, etc.)	serious	Minor
R_BG2zCrSq72cu5oJ	recurring	Multiple people worked on the same data set at the same time which resulted in two different files each with some of the data processed.	frequency	Low
R_BG2zCrSq72cu5oJ	recurring	Multiple people worked on the same data set at the same time which resulted in two different files each with some of the data processed.	serious	Minor
R_PULxBT05Q47IOmR	recurring	Forgetting to save output into my data analyses logbook, although I print hard copies for a folder.	frequency	Low
R_PULxBT05Q47IOmR	recurring	Forgetting to save output into my data analyses logbook, although I print hard copies for a folder.	serious	Minor
R_2TRUjQ7kYqmtIno	recurring	multiple versions of data files leading to using incorrect variables naming and transformations without documentation	frequency	High
R_2TRUjQ7kYqmtIno	recurring	multiple versions of data files leading to using incorrect variables naming and transformations without documentation	serious	Moderate
R_3saEuW4TTviBwnM	recurring	File was lost or corrupted	frequency	Moderate
R_3saEuW4TTviBwnM	recurring	File was lost or corrupted	serious	Moderate
R_usJmD25Zml44ef7	recurring	Use of wrong data set	frequency	Moderate
R_usJmD25Zml44ef7	recurring	Use of wrong data set	serious	Minor
R_3qR5qywuGiliJsm	recurring	Not labeling things well. Go back to the project years later and can't figure out what the different variables were.	frequency	Low
R_3qR5qywuGiliJsm	recurring	Not labeling things well. Go back to the project years later and can't figure out what the different variables were.	serious	Minor
R_3j27GQZJCc95DpV	recurring	No back up	frequency	Moderate
R_3j27GQZJCc95DpV	recurring	No back up	serious	Major
R_1GEpvVXQjiA6JFC	recurring	"Unclear labels and ""wrong"" or unclear reference category in econometric analysis"	frequency	Low
R_1GEpvVXQjiA6JFC	recurring	"Unclear labels and ""wrong"" or unclear reference category in econometric analysis"	serious	Minor
R_1ZdEcLWKTBdeOgV	recurring	Administering the wrong survey to participants (i.e., participants received baseline survey at follow-up or participants in one condition received survey meant for participants in another condition).	frequency	Moderate
R_1ZdEcLWKTBdeOgV	recurring	Administering the wrong survey to participants (i.e., participants received baseline survey at follow-up or participants in one condition received survey meant for participants in another condition).	serious	Moderate
R_24AdUWCIaQLvyCw	recurring	mis classification of some microscopy photos	frequency	Very Low
R_24AdUWCIaQLvyCw	recurring	mis classification of some microscopy photos	serious	Minor
R_2EggCQnejEtHW3a	recurring	Uninformative variable names making it difficult to re-acclimate with the data after significant passage of time.	frequency	Low
R_2EggCQnejEtHW3a	recurring	Uninformative variable names making it difficult to re-acclimate with the data after significant passage of time.	serious	Minor
R_1kY9lz7ULI6kPb3	recurring	Nope!  I am a data ninja! This is probably no help to your study. I obsess about my data.  I took this survey because I have data catastrophes.  Before using qaulltrics, I used my own servers to collect data and I was hacked destroying months of data.  I also had a hard drive crash and nooooooo backup of my data so then I eneded up losing years of data.	frequency	Moderate
R_1kY9lz7ULI6kPb3	recurring	Nope!  I am a data ninja! This is probably no help to your study. I obsess about my data.  I took this survey because I have data catastrophes.  Before using qaulltrics, I used my own servers to collect data and I was hacked destroying months of data.  I also had a hard drive crash and nooooooo backup of my data so then I eneded up losing years of data.	serious	Extreme
R_cCsCmJ2M9PGyP8R	recurring	software errors, could be corrected	frequency	Low
R_cCsCmJ2M9PGyP8R	recurring	software errors, could be corrected	serious	Moderate
R_2BgSfuqikIO1v0a	recurring	Transposition errors in pasting data from different spreadsheets	frequency	Moderate
R_2BgSfuqikIO1v0a	recurring	Transposition errors in pasting data from different spreadsheets	serious	Moderate
R_6hDIMFdjLBO9MOd	recurring	Different participant ID numbers across phases of a project made it very difficult and time consuming to put them back together again.	frequency	Low
R_6hDIMFdjLBO9MOd	recurring	Different participant ID numbers across phases of a project made it very difficult and time consuming to put them back together again.	serious	Moderate
R_2QVQCBFhAeeJNZP	recurring	Mistakes at the recording stage - e.g. failure to pre-calibrate equipment, so that meaningful dependent measures cannot be extracted - failure to match stimulus list to data output files.	frequency	Low
R_2QVQCBFhAeeJNZP	recurring	Mistakes at the recording stage - e.g. failure to pre-calibrate equipment, so that meaningful dependent measures cannot be extracted - failure to match stimulus list to data output files.	serious	Moderate
R_3kjMa6nu9SI2Zxt	recurring	An investigator gives me (the statistician) a large, usually observational, dataset with poorly documented variable coding schemes or undocumented exclusion criteria. In analyzing the data, I initially make assumptions about the variable definitions that turn out to be incorrect when I discuss my uncertainties with the investigators.	frequency	Moderate
R_3kjMa6nu9SI2Zxt	recurring	An investigator gives me (the statistician) a large, usually observational, dataset with poorly documented variable coding schemes or undocumented exclusion criteria. In analyzing the data, I initially make assumptions about the variable definitions that turn out to be incorrect when I discuss my uncertainties with the investigators.	serious	Minor
R_3rJuaVQjfJOizzO	recurring	Uninformative variables that do not help in reassessing the code (or codes with no comments).	frequency	Moderate
R_3rJuaVQjfJOizzO	recurring	Uninformative variables that do not help in reassessing the code (or codes with no comments).	serious	Minor
R_RDng1vjQz0Eut2x	recurring	Miscoding a variable with a wrong value that is not detected in quality control processes we set up like double entry. But then is found later when examining for outliers or trying to explain analytical results.	frequency	High
R_RDng1vjQz0Eut2x	recurring	Miscoding a variable with a wrong value that is not detected in quality control processes we set up like double entry. But then is found later when examining for outliers or trying to explain analytical results.	serious	Moderate
R_1fkEC9uIzUqHPXF	recurring	Incorrect randomization of participants to conditions.	frequency	Low
R_1fkEC9uIzUqHPXF	recurring	Incorrect randomization of participants to conditions.	serious	Moderate
R_Ugcj0Hs9IX1A3WV	recurring	Not labeling variables or response values in data file	frequency	Very High
