response_id	mistake	mistake_no	mistake_sep	maximum_response_one_type	type	group_type	code_type
R_1ditQMNo8bzXokM	Published a supplemental online file alongside an article that was incomplete (claimed to report all possible interactions among a set of variables, but erroneously excluded ~11% of them).	1	Published a supplemental online file alongside an article that was incomplete (claimed to report all possible interactions among a set of variables, but erroneously excluded ~11% of them).	yes	serious	wrong reporting	publishing incomplete results
R_1dLyeBiPezAXaav	Computer generated data contained bad data because of programming error.	1	Computer generated data contained bad data because of programming error.	yes	recurring	programming error	program coding error
R_1dLyeBiPezAXaav	Had to rerun analyses because the generated data were incorrect (Monte Carlo studies).	1	Had to rerun analyses because the generated data were incorrect (Monte Carlo studies).	yes	serious	programming error	incorrect generated data
R_1dyHBENaRUWZjBd	Recently, despite pre-testing and piloting an online study, when some participants took the survey, errors occurred and thus we lost some fraction of the data	1	Recently, despite pre-testing and piloting an online study, when some participants took the survey, errors occurred and thus we lost some fraction of the data	yes	recurring	technical/infrastructural problem	software failure
R_1dyHBENaRUWZjBd	In a developmental study, the randomization was set up incorrectly, such that some participants were saw conditions multiple times erroneously. We lost ~10 participants worth of data as a result.	1	In a developmental study, the randomization was set up incorrectly, such that some participants were saw conditions multiple times erroneously. We lost ~10 participants worth of data as a result.	yes	serious	participant allocation error	wrong randomization of the study
R_1DzEEG1QzkdWLdl	Data was coded wrong and we needed to manually recode the dataset.	1	Data was coded wrong and we needed to manually recode the dataset.	yes	recurring	data coding error	value coding error
R_1EKvVZl7B5pr465	Absence of a numerical data in a case of population sample	1	Absence of a numerical data in a case of population sample	yes	serious	data or file organisation error	wrong value class
R_1eru08S1SGWl5sm	reversed the coding of a scale	1	reversed the coding of a scale	yes	recurring	data coding error	reversed coding of scale
R_1eru08S1SGWl5sm	data was not stored and the computer which had the data crashed so we lossed the data	1	data was not stored and the computer which had the data crashed so we lossed the data	yes	serious	technical/infrastructural problem	technical failure
R_1EZ15sr0mldmdJS	"Coding in online survey system that was created by a market research firm was unclear.  For example, 0 zero times was coded as ""1"" and 1 time was coded as ""2"".  Who does that???"	1	"Coding in online survey system that was created by a market research firm was unclear.  For example, 0 zero times was coded as ""1"" and 1 time was coded as ""2"".  Who does that???"	yes	recurring	data coding error	value coding error
R_1EZ15sr0mldmdJS	Lost data from a participant in a longitudinal study	1	Lost data from a participant in a longitudinal study	yes	serious	loss of materials/documentation/data	data loss
R_1f1ptLmJabcd2gt	incorrect input data, mismatch between subjects and his data because of wrong copy and paste. numbers added as text	1	incorrect input data, mismatch between subjects and his data because of wrong copy and paste.	no	recurring	bad connection of data points	mixing up subjects, failure to connect data to participant
R_1f1ptLmJabcd2gt	error in merging two dataset	1	error in merging two dataset	yes	serious	data selection/merging error	wrong data merging
R_1f1ptLmJabcd2gt	incorrect input data, mismatch between subjects and his data because of wrong copy and paste. numbers added as text	2	numbers added as text	no	recurring	data or file organisation error	wrong value class
R_1fd7fjBC84Nf1XI	Computers crashing without a data base backup (twice). software programs with bugs.	1	Computers crashing without a data base backup (twice).	no	recurring	technical/infrastructural problem	technical failure
R_1fd7fjBC84Nf1XI	computer crashing without a dataset backup	1	computer crashing without a dataset backup	yes	serious	technical/infrastructural problem	technical failure
R_1fd7fjBC84Nf1XI	Computers crashing without a data base backup (twice). software programs with bugs.	2	software programs with bugs.	no	recurring	programming error	program coding error
R_1FgF6lRVQZUd4dW	Coding and scoring errors on for self-report or standardized assessment instruments.	1	Coding and scoring errors on for self-report or standardized assessment instruments.	yes	recurring	data coding error	value coding error
R_1FgF6lRVQZUd4dW	A colleague supplied a data set containing the wrong population of participants. I had to start from scratch on a completed manuscript.	1	A colleague supplied a data set containing the wrong population of participants. I had to start from scratch on a completed manuscript.	yes	serious	data selection/merging error	analyzing the wrong variable
R_1fkEC9uIzUqHPXF	Incorrect randomization of participants to conditions.	1	Incorrect randomization of participants to conditions.	yes	recurring	participant allocation error	wrong randomization of the study
R_1fkEC9uIzUqHPXF	PhD student leaves the field, deletes dropbox account with all data and code. Some of it was backed up, some wasn't.	1	PhD student leaves the field, deletes dropbox account with all data and code. Some of it was backed up, some wasn't.	yes	serious	loss of materials/documentation/data	failure to backup
R_1FnQHiAFu95KLEA	questions were dropped by a standard questionnaire	1	questions were dropped by a standard questionnaire	yes	recurring	oversight in study design or measurement	not including items in a questionnaire
R_1FnQHiAFu95KLEA	Data were not coded properly for a study variable, which led to 3 minor retractions	1	Data were not coded properly for a study variable, which led to 3 minor retractions	yes	serious	data coding error	value coding error
R_1FqSTPQf3FjsXjM	Data not re-coded	1	Data not re-coded	yes	recurring	data coding error	value coding error
R_1Fsku9bfzuOnHlW	Over riding current files by old ones	1	Over riding current files by old ones	yes	recurring	version control error	overwriting files
R_1Fsku9bfzuOnHlW	Losing a full project	1	Losing a full project	yes	serious	loss of materials/documentation/data	losing a full project
R_1FwvnH84InncNXX	We mostly run into problems with Qualtrics. For example, we will program a questionnaire to be on a 7-point scale and the program will put it on a 15-point scale. Or, questions will be programmed in a set order and Qualtrics will change the order that the questions are presented.	1	We mostly run into problems with Qualtrics. For example, we will program a questionnaire to be on a 7-point scale and the program will put it on a 15-point scale.	no	recurring	wrong software or hardware settings	wrong software settings
R_1FwvnH84InncNXX	I have a certain way of dummy coding in that the experimental condition is coded as a zero while the control condition is coded as a one. A graduate student who I work with prefers the opposite. This has caused some problems.	1	I have a certain way of dummy coding in that the experimental condition is coded as a zero while the control condition is coded as a one. A graduate student who I work with prefers the opposite. This has caused some problems.	yes	serious	data coding error	value coding error
R_1FwvnH84InncNXX	We mostly run into problems with Qualtrics. For example, we will program a questionnaire to be on a 7-point scale and the program will put it on a 15-point scale. Or, questions will be programmed in a set order and Qualtrics will change the order that the questions are presented.	2	We mostly run into problems with Qualtrics. Questions will be programmed in a set order and Qualtrics will change the order that the questions are presented.	no	recurring	technical/infrastructural problem	software failure
R_1FzFMxxfXX2SLGw	Confusion about which files - e.g., naming files in correctly, confusion about which files correspond to which condition	1	Confusion about which files - e.g., naming files in correctly	no	recurring	ambiguous naming/defining of data	non-transparent file naming
R_1FzFMxxfXX2SLGw	Failed to have stimulus presentation software record one of the dependent variables of interest	1	Failed to have stimulus presentation software record one of the dependent variables of interest	yes	serious	wrong software or hardware settings	wrong software settings
R_1FzFMxxfXX2SLGw	Confusion about which files - e.g., naming files in correctly, confusion about which files correspond to which condition	2	confusion about which files correspond to which condition	no	recurring	ambiguous naming/defining of data	non-transparent file naming
R_1g0dAm4HvOZLwXc	The only identified one is collecting survey data on an online platform where some responses overwrote earlier responses in the same survey. This was with qualtrics, the platform you used, by including several times the same block in the survey flow...	1	The only identified one is collecting survey data on an online platform where some responses overwrote earlier responses in the same survey. This was with qualtrics, the platform you used, by including several times the same block in the survey flow...	yes	recurring	wrong software or hardware settings	wrong software settings
R_1g6hYU8eXreCTSC	Confusion on details of measurement when different experimenters conducted the experiment	1	Confusion on details of measurement when different experimenters conducted the experiment	yes	recurring	deviation from the protocol	ambiguous data collection protocol; not following protocol
R_1g6hYU8eXreCTSC	Inappropriate labelling of participants leading to confusion when aggregating data from different sources	1	Inappropriate labelling of participants leading to confusion when aggregating data from different sources	yes	serious	bad connection of data points	mixing up participants; connecting data to participant
R_1g86ziif9LCszbc	Lack of variable validation allowing intended numeric variable fields to contain text, resulting in the variable to be formatted as character instead of numeric.	1	Lack of variable validation allowing intended numeric variable fields to contain text, resulting in the variable to be formatted as character instead of numeric.	yes	recurring	oversight in study design or measurement	no variable validation, wrong value class
R_1g86ziif9LCszbc	Code written to classify disease location, behavior, and extent was incorrect.	1	Code written to classify disease location, behavior, and extent was incorrect.	yes	serious	programming error	program coding error
R_1GEpvVXQjiA6JFC	"Unclear labels and ""wrong"" or unclear reference category in econometric analysis"	1	Unclear labels in econometric analysis	no	recurring	ambiguous naming/defining of data	non-transparent variable naming
R_1GEpvVXQjiA6JFC	"Unclear labels and ""wrong"" or unclear reference category in econometric analysis"	2	"""wrong"" or unclear reference category in econometric analysis"	no	recurring	ambiguous naming/defining of data	wrong category name
R_1gpx3ioVAlVTipo	I see the biggest risk in the first phase when you (often alone, would be better to be two so that one or the other might notice mistakes more easily) prepare the data for analysis; e.g. preparations/calculations of variables with large data sets. I find this a difficult and time consuming task, with potential for human errors. We try to document the steps and use syntaxes, but still, I find it difficult to document in such a way that it would be easy enough to retrace all steps in complex cases. Also, the work load and stress increase the risk for mistakes.	1	I see the biggest risk in the first phase when you (often alone, would be better to be two so that one or the other might notice mistakes more easily) prepare the data for analysis; e.g. preparations/calculations of variables with large data sets. I find this a difficult and time consuming task, with potential for human errors. We try to document the steps and use syntaxes, but still, I find it difficult to document in such a way that it would be easy enough to retrace all steps in complex cases. Also, the work load and stress increase the risk for mistakes.	yes	recurring	wrong data processing/analysis	data processing error
R_1gpx3ioVAlVTipo	A research assistant collecting the data used by mistake cut-copy instead of copy-paste from the data file to her USB stick, which she then succeeded to put in the washing machine together with her jeans, resulting in significant loss of data. As a result, we haven't published data from that project.	1	A research assistant collecting the data used by mistake cut-copy instead of copy-paste from the data file to her USB stick, which she then succeeded to put in the washing machine together with her jeans, resulting in significant loss of data. As a result, we haven't published data from that project.	yes	serious	loss of materials/documentation/data	failure to backup
R_1GWgjyjQjIpBIew	often the data collection is handled by students, as part of their curriculum. In my experience many data mistakes are made here, for example wrong numbering of subjects (e.g., duplicate); parts of data that are missing for unknown reasons, etc.  I only discover this once the data set is handled over to me (as supervisor) when I want to use the data for publication.	1	often the data collection is handled by students, as part of their curriculum. In my experience many data mistakes are made here, for example wrong numbering of subjects (e.g., duplicate);	no	recurring	ambiguous naming/defining of data	ambiguous participant identifier
R_1GWgjyjQjIpBIew	often the data collection is handled by students, as part of their curriculum. In my experience many data mistakes are made here, for example wrong numbering of subjects (e.g., duplicate); parts of data that are missing for unknown reasons, etc.  I only discover this once the data set is handled over to me (as supervisor) when I want to use the data for publication.	2	parts of data that are missing for unknown reasons, etc. I only discover this once the data set is handled over to me (as supervisor) when I want to use the data for publication.	no	recurring	loss of materials/documentation/data	missing data
R_1gwrKmk8l9dBdpR	Uninformative labels which prevented using old datasets, Reverse scoring items more than one times and difficult to find out the original data	1	Uninformative labels which prevented using old datasets.	no	recurring	ambiguous naming/defining of data	non transparent file naming
R_1gwrKmk8l9dBdpR	improper reverse of negatively worded items	1	improper reverse of negatively worded items	yes	serious	data coding error	value coding error
R_1gwrKmk8l9dBdpR	Uninformative labels which prevented using old datasets, Reverse scoring items more than one times and difficult to find out the original data	2	Reverse scoring items more than one times and difficult to find out the original data	no	recurring	data coding error	mistake in reverse coding items
R_1HemYlCts4kwav2	Wrong data input, wrong identifier for data file	1	Wrong data input,	no	recurring	data input error	data entry error
R_1HemYlCts4kwav2	a file was updated with an old version of a paradigm and we had to exclude the complete run from the analysis, because we just realized after recording	1	a file was updated with an old version of a paradigm and we had to exclude the complete run from the analysis, because we just realized after recording	yes	serious	version control error	using the wrong version
R_1HemYlCts4kwav2	Wrong data input, wrong identifier for data file	2	wrong identifier for data file	no	recurring	ambiguous naming/defining of data	using wrong data identifier
R_1hLr7MYgQpK05AT	decimal point goes to the wrong way.	1	decimal point goes to the wrong way.	yes	recurring	data input error	writing the decimal point at the wrong place
R_1IH7qhVEGwzF6pZ	Mistakes when we calculate factors.	1	Mistakes when we calculate factors.	yes	recurring	wrong data processing/analysis	wrong analysis
R_1IH7qhVEGwzF6pZ	The code assigned to participants was a bit confusing.	1	The code assigned to participants was a bit confusing.	yes	serious	ambiguous naming/defining of data	ambiguous participant identifier
R_1IlTZYBSAO0Dcuy	Uninformative variable names combined with a low quality codebook.	1	Uninformative variable names combined with a low quality codebook.	yes	recurring	ambiguous naming/defining of data	non-transparent variable naming
R_1IlTZYBSAO0Dcuy	Physically deleting data from from participants not eligible for our study (rather than typing code to remove them), and not saving original raw data.	1	Physically deleting data from from participants not eligible for our study (rather than typing code to remove them), and not saving original raw data.	yes	serious	loss of materials/documentation/data	deleting data
R_1ImjMmhDv5BB0tL	Programming errors in code (we use MATLAB) for analyzing data.	1	Programming errors in code (we use MATLAB) for analyzing data.	yes	recurring	programming error	program coding error
R_1IWT6B2ocVRIEy7	Plotting	1	Plotting	yes	recurring	wrong reporting	plotting mistake
R_1IXK61gu891fM53	can't remember one, other than temporarily losing a dataset or results set	1	can't remember one, other than temporarily losing a dataset or results set	yes	recurring	loss of materials/documentation/data	data loss
R_1jTgRy9bu3qIAQT	There was a data error inputting the wrong information for one of the variables	1	There was a data error inputting the wrong information for one of the variables	yes	recurring	data input error	value input error
R_1jTgRy9bu3qIAQT	Incorrect use of syntax to make new variables	1	Incorrect use of syntax to make new variables	yes	serious	programming error	program coding error
R_1jvKqTl2Ij19jke	inversion of condition labels during processing	1	inversion of condition labels during processing	yes	recurring	ambiguous naming/defining of data	mixing up variable labels
R_1K7lVatqDC1d3dz	data loss due to storage error	1	data loss due to storage error	yes	recurring	technical/infrastructural problem	technical failure
R_1K7lVatqDC1d3dz	A contracted external CRO messed up two experimental groups.	1	A contracted external CRO messed up two experimental groups.	yes	serious	participant allocation error	mixing up conditions
R_1K8Ralb7H385hcB	Security issues (e.g., sharing confidential information via email, instead of anonymizing participants)	1	Security issues (e.g., sharing confidential information via email, instead of anonymizing participants)	yes	recurring	violation in ethics	sharing confidential information
R_1kMINu0tVdNVrjQ	The most common error is tracking down versions data files, ensuring that the most up-to-date file is being analyzed or shared.	1	The most common error is tracking down versions data files, ensuring that the most up-to-date file is being analyzed or shared.	yes	recurring	version control error	using the wrong version of data
R_1KoS03TB4Dmwx8K	Journal transposed numbers in a manuscript table.  We didn't catch it during proofing.	1	Journal transposed numbers in a manuscript table.  We didn't catch it during proofing.	yes	recurring	wrong reporting	not catching mistake during proofing
R_1Kp6yZnGSG4gEcP	corruption of data files	1	corruption of data files	yes	recurring	wrong data processing/analysis	corruption of data files
R_1Kp6yZnGSG4gEcP	corruption of data files	1	corruption of data files	yes	serious	wrong data processing/analysis	corruption of data files
R_1kTbPJmOD0m8h6r	Copy from worksheets to eCRF	1	Copy from worksheets to eCRF	yes	recurring	data transfer error	copy paste error
R_1kTbPJmOD0m8h6r	Old version of database	1	Old version of database	yes	serious	version control error	using the wrong version of data
R_1kTSdgoR3ATiihw	I would guess the most frequent cases are never detected.  I have noticed common mistakes in either (a) joining data or (b) random number generation (RNG).	1	I would guess the most frequent cases are never detected.  I have noticed common mistakes in either (a) joining data	no	recurring	data selection/merging error	wrong data merging
R_1kTSdgoR3ATiihw	I would guess the most frequent cases are never detected.  I have noticed common mistakes in either (a) joining data or (b) random number generation (RNG).	2	I would guess the most frequent cases are never detected. I have noticed common mistakes in (b) random number generation (RNG).	no	recurring	programming error	mistake in random number generation
R_1Kx6uWGscVutS3f	Multiple versions of a data file were kept and it took hours to later identify the final copy with all information.	1	Multiple versions of a data file were kept and it took hours to later identify the final copy with all information.	yes	recurring	ambiguous naming/defining of data	non-transparent datafile naming
R_1kY9lz7ULI6kPb3	Nope!  I am a data ninja! This is probably no help to your study. I obsess about my data.  I took this survey because I have data catastrophes.  Before using qaulltrics, I used my own servers to collect data and I was hacked destroying months of data.  I also had a hard drive crash and nooooooo backup of my data so then I eneded up losing years of data.	1	Nope!  I am a data ninja! This is probably no help to your study. I obsess about my data.  I took this survey because I have data catastrophes.  Before using qaulltrics, I used my own servers to collect data and I was hacked destroying months of data.	no	recurring	loss of materials/documentation/data	loosing data, hacked storage
R_1kY9lz7ULI6kPb3	Nope!  I am a data ninja! This is probably no help to your study. I obsess about my data.  I took this survey because I have data catastrophes.  Before using qaulltrics, I used my own servers to collect data and I was hacked destroying months of data.  I also had a hard drive crash and nooooooo backup of my data so then I eneded up losing years of data.	2	I also had a hard drive crash and nooooooo backup of my data so then I eneded up losing years of data.	no	recurring	technical/infrastructural problem	technical failure
R_1lAjGmRwoW52vY9	*not clear variable labeling *poor data back-up *access to the same computer by different researchers without knowing about each other *no participant scheduling software	1	*not clear variable labeling	no	recurring	ambiguous naming/defining of data	ambiguous variable naming
R_1lAjGmRwoW52vY9	unstructured back-up (every researcher has data from his/her experiment on a personal disk) and not well secured data collected with questionnaires (i.e., physical material)	1	unstructured back-up (every researcher has data from his/her experiment on a personal disk) and not well secured data collected with questionnaires (i.e., physical material)	yes	serious	loss of materials/documentation/data	failure to backup
R_1lAjGmRwoW52vY9	*not clear variable labeling *poor data back-up *access to the same computer by different researchers without knowing about each other *no participant scheduling software	2	*poor data back-up	no	recurring	loss of materials/documentation/data	failure to backup
R_1lAjGmRwoW52vY9	*not clear variable labeling *poor data back-up *access to the same computer by different researchers without knowing about each other *no participant scheduling software	4	*no participant scheduling software	no	recurring	participant allocation error	mistake in scheduling data collection
R_1LBzXSxZUeQ0CZr	Problems interpreting variable names	1	Problems interpreting variable names	yes	recurring	ambiguous naming/defining of data	ambiguous variable naming
R_1LBzXSxZUeQ0CZr	Mislaid imaging data resulting in data loss for several years until rediscovery	1	Mislaid imaging data resulting in data loss for several years until rediscovery	yes	serious	loss of materials/documentation/data	failure to backup
R_1Lez5WNMDX1hRUJ	Mistakes in some codes of a dataset	1	Mistakes in some codes of a dataset	yes	recurring	data coding error	value coding error
R_1lhqYV1QwEPPpZy	working on the wrong data set	1	working on the wrong data set	yes	serious	version control error	using the wrong version of data
R_1LNc6THhR7JwDJ5	Losing code used to run analyses because of a system crash or using informative label names.	1	Losing code used to run analyses because of a system crash	no	recurring	loss of materials/documentation/data	failure to backup
R_1LNc6THhR7JwDJ5	Someone on my data team forgot to bring the surveys for the study for subjects to fill out (or forgot to ask subjects to fill them out) - so instead we had to email them to fill it out resulting in a reduction in the number of people who responded.	1	Someone on my data team forgot to bring the surveys for the study for subjects to fill out (or forgot to ask subjects to fill them out) - so instead we had to email them to fill it out resulting in a reduction in the number of people who responded.	yes	serious	data input error	forgot to bring the surveys to data collection
R_1LNc6THhR7JwDJ5	Losing code used to run analyses because of a system crash or using informative label names.	2	using informative label names.	no	recurring	ambiguous naming/defining of data	ambiguous variable naming
R_1LXOUF7PqQkhz6o	Misspecified codes for variable conditions.	1	Misspecified codes for variable conditions.	yes	recurring	data coding error	value coding error
R_1LXOUF7PqQkhz6o	Inconsistent participant numbering.	1	Inconsistent participant numbering.	yes	serious	ambiguous naming/defining of data	ambiguous participant identifier
R_1lz69PsdTmTnVVj	A longitudinal study I was brought on to had not created unique IDs for participants in order to ensure data collected across years could be joined.	1	A longitudinal study I was brought on to had not created unique IDs for participants in order to ensure data collected across years could be joined.	yes	serious	bad connection of data points	missing to create participant identifiers
R_1mKI2PUxRHLULTJ	uninformative labels for variables is the top frequent one; working off the wrong version of the dataset, and only realizing it after weeks of performing analyses is the second more frequent one.	1	uninformative labels for variables is the top frequent one	no	recurring	ambiguous naming/defining of data	non-transparent variable naming
R_1mKI2PUxRHLULTJ	mislabelled and poorly structured data from a complex project.	1	mislabelled and poorly structured data from a complex project.	yes	serious	ambiguous naming/defining of data	non-transparent variable naming
R_1mKI2PUxRHLULTJ	uninformative labels for variables is the top frequent one; working off the wrong version of the dataset, and only realizing it after weeks of performing analyses is the second more frequent one.	2	working off the wrong version of the dataset, and only realizing it after weeks of performing analyses is the second more frequent one.	no	recurring	version control error	using the wrong version of data
R_1mVqGcXzn9RTmbh	Working on the wrong data file.	1	Working on the wrong data file.	yes	recurring	version control error	using the wrong version of data
R_1mW0ThB9AoMJITt	I harvest data from a variety of published (typically online) sources, and sometimes the original data get disconnected from the working data sets that I use for modeling.	1	I harvest data from a variety of published (typically online) sources, and sometimes the original data get disconnected from the working data sets that I use for modeling.	yes	recurring	version control error	overwriting data
R_1myhPq5ghONho9x	wrong coding of variables	1	wrong coding of variables	yes	recurring	data coding error	value coding error
R_1myhPq5ghONho9x	misclassification of  two countries in crossnational comparison of large N countries dataset	1	misclassification of  two countries in crossnational comparison of large N countries dataset	yes	serious	data coding error	misclassification of values
R_1NCbBfTdX4Jcm6q	Transposition errors from copy and paste between sources.	1	Transposition errors from copy and paste between sources.	yes	recurring	data transfer error	copy paste error
R_1NDGa4iJhjM1zX9	Change in scoring for the same items used in multiple studies.	1	Change in scoring for the same items used in multiple studies.	yes	recurring	version control error	using the wrong version
R_1NDGa4iJhjM1zX9	Use of different versions of an instrument in files that were to be merged.	1	Use of different versions of an instrument in files that were to be merged.	yes	serious	data selection/merging error	wrong data merging
R_1nZmLTBp6dPXqgm	"""wrong"" calculations"	1	"""wrong"" calculations"	yes	recurring	wrong data processing/analysis	wrong analysis
R_1nZmLTBp6dPXqgm	uncorrect calculations of some parameters	1	uncorrect calculations of some parameters	yes	serious	wrong data processing/analysis	wrong analysis
R_1o0l1vb0QVWOutj	Mistake in programming of an experiment, so that not all conditions were presented to all subjects.	1	Mistake in programming of an experiment, so that not all conditions were presented to all subjects.	yes	recurring	programming error	mistake in programming the data collection code, mixing up conditions
R_1o7utbGjr0CiW5p	Coded a subject's data with an incorrect code number.	1	Coded a subject's data with an incorrect code number.	yes	recurring	data input error	data entry error
R_1o7utbGjr0CiW5p	The axes on a graph were incorrectly labeled in a publication.	1	The axes on a graph were incorrectly labeled in a publication.	yes	serious	wrong reporting	mixed up axis labels
R_1OB3foIsQJfflaa	An error in a table in a published article	1	An error in a table in a published article	yes	recurring	wrong reporting	error in published table
R_1OB3foIsQJfflaa	Data were not collected at post-intervention for participants who did not fully complete an online intervention (everyone was meant to provide data consistent with intention to treat)	1	Data were not collected at post-intervention for participants who did not fully complete an online intervention (everyone was meant to provide data consistent with intention to treat)	yes	serious	oversight in study design or measurement	not collecting all the data
R_1OCdfz7knYYZ9MF	Use of wrong datasets happened last year.	1	Use of wrong datasets happened last year.	yes	recurring	version control error	using the wrong version of data
R_1OCdfz7knYYZ9MF	A wrong pre-processing of the data.	1	A wrong pre-processing of the data.	yes	serious	wrong data processing/analysis	mistake in data processing
R_1ODLj4FHdxhK3G1	Uninformative variable names, unidentifiable whether already recoded, calculating sums instead of means, doing this based on column numbers instead of variable names... etc.	1	Uninformative variable names	no	recurring	ambiguous naming/defining of data	ambiguous variable naming
R_1ODLj4FHdxhK3G1	One Data-Prep Step falsely deleted a third of the cases of interest	1	One Data-Prep Step falsely deleted a third of the cases of interest	yes	serious	loss of materials/documentation/data	deleting data
R_1ODLj4FHdxhK3G1	Uninformative variable names, unidentifiable whether already recoded, calculating sums instead of means, doing this based on column numbers instead of variable names... etc.	2	unidentifiable whether already recoded	no	recurring	bad connection of data points	unable to track if data is recorded
R_1ODLj4FHdxhK3G1	Uninformative variable names, unidentifiable whether already recoded, calculating sums instead of means, doing this based on column numbers instead of variable names... etc.	3	calculating sums instead of means, doing this based on column numbers instead of variable names... etc.	no	recurring	wrong data processing/analysis	calculating wrong statistic
R_1ogVGCkvyaVYrta	recode of wrong item within a questionnaire (survey research - item should have been reflected)	1	recode of wrong item within a questionnaire (survey research - item should have been reflected)	yes	recurring	data coding error	recoding the wrong item
R_1oi2EOZ5uJxYlCL	Cooperating researches use different versions of the same data-set	1	Cooperating researches use different versions of the same data-set	yes	recurring	version control error	using the wrong version of data
