response_id	general_frequency	recurring_story	recurring_cause	recurring_frequency	recurring_serious	recurring_outcome	serious_story	serious_cause	serious_serious	serious_outcome	field	years
R_1Fsku9bfzuOnHlW	Low	Over riding current files by old ones	File naming mistakes	Moderate	Minor	Both time lost and Lord of frustration	Losing a full project	We still don't know. Maybe lack of backups	Extreme	The project was scrapped	other	27
R_31cTpd46NEwANvI	Very Low	typos	human error. But our normal process of cross checking detects such errors.	Very Low	Insignificant	time loss	same as above	same	Insignificant	time loss	clinical psychology	47
R_2AF6qvxadkDoTSW	High	NA	NA	NA	NA	NA	NA	NA	NA	NA	methodology and statistics	1
R_XQWU5837JcirPJD	High	We realized that we had been working on the wrong version of a dataset.	confusion over e-mails	Low	Minor	time loss	the one mentioned before	the reason mentioned before	Minor	time loss	developmental and educational psychology	14
R_beZArZ7io7gtZKh	Low	I do a lot of data reduction and summary in Excel. On occasion, Excel formulas are applied incorrectly or get copied incorrectly.	Researcher fatigue or unwillingness to double-check the accuracy of formulas.	Low	Minor	time loss	I've learned to double- and triple-check the data. For instance, before every dataset I'm writing up for publication I re-analyze the data from scratch.	N/A	NA	NA	experimental and cognitive psychology	18
R_T4VDquP5brp47AZ	Very Low	Data coding variables were mixed up, and to be sure of no mistakes, we had to have RAs recode all of the data.	RA accidentally changed the variable name in excel spreadsheet	Very Low	Moderate	time loss	My fellow grad-student forget to collect gender data and had to throw out an entire term's worth of data.	Lack of attention to detail in Qualtrics survey design	Moderate	time loss	social psychology	5
R_1ODLj4FHdxhK3G1	Low	Uninformative variable names, unidentifiable whether already recoded, calculating sums instead of means, doing this based on column numbers instead of variable names... etc.	New PhD students did not know the established work group standards	Low	Minor	All except of second	One Data-Prep Step falsely deleted a third of the cases of interest	Stupid dummy variable	Moderate	All except of second	personality psychology	5
R_31oXJfKSNMz4pNg	Low	Turning on the “select data” function in SPSS and forgetting to turn it off when analysing the full data set	Carelessness and forgetfulness	Low	Minor	erroneous conclusion	Reported descriptive results in a published table that were for a subset of data instead of full sample	Forgetting to turn off the “select data” filter in SPSS	Minor	erroneous conclusion	social psychology	20
R_1o7utbGjr0CiW5p	Very Low	Coded a subject's data with an incorrect code number.	Not paying careful attention.	Very Low	Minor	time loss	The axes on a graph were incorrectly labeled in a publication.	We did not carefully proof the manuscript before submission. We were able to correct the error in a subsequent errata note in the next issue.	Moderate	frustration	experimental and cognitive psychology	32
R_2YSaYiPeTrGttp8	Moderate	Error in the analysis code.	Programming bugs	Moderate	Minor	time loss	RA had been inputting data by hand incorrectly and this all had to be redone.	Improperly training RA	Moderate	time loss	other	10
R_0Jku2nGizREQbhn	Very Low	Confusing variable labels	Te	Moderate	Moderate	time loss	Computer not recording data diluting data collection	Programing error	Moderate	frustration	social psychology	30
R_2TzanZPigM2xVuV	Very Low	I have only had one mistake -- 25 years ago. Long story (of course), once I learned about the mistake, I threw away the data and collected it properly.	New to PhD students, I gave too much discretion to a student. Once I figured out what happened, I threw away the data away and started over. Lesson learned.	Very Low	Major	time loss	None	NA	NA	NA	other	35
R_2at1V67diUQvkc1	Low	Poor variable naming. Mistakes in converting wide to long data formats due to using copy and paste.	Poor understanding of data collection and management processes.	Low	Minor	time loss	Longitudinal data collected with no way of linking repeated measures to individual participants.	Inexperienced researchers at a not-for-profit organisation.	Extreme	Unable to use the data	clinical psychology	10
R_1QJxQZXirFtXONG	Moderate	lost data	due to technical/software problems	Low	Major	time loss	we also lost complete data sets after responsible researcher left univ	we forgot to safe the data before the PC was killed by a technician	Major	frustration	experimental and cognitive psychology	25
R_b7t6V0jFlrRqXzr	Low	I cannot remember any that had consequences	NA	Very Low	Insignificant	frustration	NA	NA	NA	NA	social psychology	10
R_3qr2ZreTjyLiVlU	Low	Incorrect values were entered when transferring data from paper-pencil survey into SPSS files.	Human error.	Moderate	Moderate	frustration	N/A	N/A	NA	NA	developmental and educational psychology	8
R_3ej0du4jNp47nCF	Low	The data-related mistakes are often very different: from missing to code a relevant variable to errors in a script. In the vast majority of cases the errors are detected during the piloting period and are corrected for the final experiment.	In almost all cases this happens when projects are handled by Master students or first year PhD students. A much more specified protocol, and in written form, of how to prepare an experimental paradigm, the different aspect to double check before running and while running the subjects would avoid these errors.	Low	Minor	time loss	A post-doc researcher in the team did errors at several stages of a complex project combining different imaging techniques (order of the protocol, analysis that were used for the second stage of the protocol, etc.).	The post-doc was expert in the main technique used but not on the topic and on the other imaging technique used. He was trained on the new technique for a few subjects but more supervision would have been necessary through the whole process due to these reasons.	Major	frustration	experimental and cognitive psychology	15
R_cI8mWxOvlaSvaSZ	Very Low	Coding manual being hard to decipher, or getting lost	little time taken to document variables properly	Very Low	Minor	time loss	same as above	NA	Minor	time loss	other	12
R_2wBKpgElsyjBV0b	Low	incomplete copying from spreadsheet into another application	carelessness	Low	Minor	frustration	did not write correct code for a project	careless data manager	Moderate	time loss	social psychology	12
R_zdpFVud5GMDjVUl	Very Low	None	N/A	Very Low	Insignificant	N/A	N/A	N/A	Insignificant	N/A	other	20
R_RxBYZwBUfiAACBP	Low	Duplicated a formula from one to another calculation file to keep reporting format constant with an error in the formula!	lack of knowledge of the application, no training or inappropriate on-the-job training	Low	Moderate	time loss	level of expression of RNAm erroneous	NA	Moderate	time loss	neurophysiology and physiological psychology	8
R_sKV54jfDQ68Jx05	Very Low	Conflated correlation	Unintentional neglect	Very Low	Moderate	erroneous conclusion	Conflated correlation	Unintentional neglect	Moderate	erroneous conclusion	experimental and cognitive psychology	29
R_1g0dAm4HvOZLwXc	Very Low	The only identified one is collecting survey data on an online platform where some responses overwrote earlier responses in the same survey. This was with qualtrics, the platform you used, by including several times the same block in the survey flow...	NA	Very Low	Insignificant	financial loss	NA	NA	NA	NA	experimental and cognitive psychology	14
R_RgJqa1XTk8Aexax	Low	a missing item in a scale	unattentive copying of the questions	Low	Moderate	difficulty in publishing the results	forgot to include a scale in the questionnaire	lack of attention when copying the scales	Moderate	time loss	social psychology	9
R_3sb7E8EQLjHDtj6	Very Low	data processing error - a dependent variable was incorrectly calculated from raw data	computer programming error	Very Low	Minor	frustration	data processing error - a dependent variable was incorrectly calculated from raw data	computer programming error	Minor	frustration	other	42
R_1IWT6B2ocVRIEy7	Very Low	Plotting	Coding error	Very Low	Insignificant	frustration	Nothing	Not applicable	Insignificant	Not applicable	experimental and cognitive psychology	16
R_30oeLXyDGAJEwhS	Moderate	"We collected data on a likert-scale from ""strongly agree= 1 to strongly agree = 7"""	Proofing/carelessness	Very Low	Moderate	time loss	A student used two different versions of a manipulation check for her dissertation and was unable to collapse them into one measure.	Carelessness	Major	erroneous conclusion	applied psychology	15
R_3KJ9fDQ34vAsAxJ	Very Low	Not immediately creating and keeping a good data manual/codebook.	Laziness/thinking we'd remember.	Low	Minor	frustration	Our data entry software re-coded missing values to a perfect score on a measure.	A really specific error with the software that we didn't know happened.	Major	We had to change a paper at the page-proof stage	developmental and educational psychology	15
R_339JiVn0BrXV8jw	Very Low	NA	NA	Very Low	Minor	time loss	Grammar	Not a native English speaker	Minor	time loss	social psychology	5
R_2V85hhvhCukcKS9	Low	Data got lost when changing to new hardware.	Bad organizing of the back-up files.	Low	Minor	time loss	Do not remember any serious incident.	NA	NA	NA	other	10
R_3s7iyh922xBWmba	Low	Data lost	Equipment failure	Very Low	Major	time loss	NA	NA	NA	NA	experimental and cognitive psychology	10
R_1M4JynyqFgfbEGn	Very Low	NA	NA	Very Low	Insignificant	NA	NA	NA	Insignificant	NA	social psychology	18
R_2xYjxG2sdLotM8Q	Low	Mainly old versions substitute new versions of codes of papers.	Not careful enough	Low	Minor	time loss	same	same	Minor	time loss	other	38
R_Q6a2dBgrDtQZrcl	Low	Downloading data from Qualtrics that gets rearranged and difficult to read in the SPSS file. We need to check it manually because mistakes are often made that have impacted analysis.	Unclear method that Qualtrics uses for arranging databases, and improperly labeled questions	Moderate	Minor	frustration	We were test-retesting a measure, and found no effect whatsoever, so we gave up on it. A year later the PhD candidate realized it was because she forgot to reverse code half the retest and the data came out beautiful.	Reverse coding error	Major	erroneous conclusion	personality psychology	6
R_23eJfXyDulGeJUx	Low	A student failed to include how some variables were dummy coded, leading another student to make wrong assumptions	Students not being thorough in making their data dictionaries.	Moderate	Minor	time loss	Students failed to return coded variables when they finish their project	Students leaving	Moderate	frustration	developmental and educational psychology	15
R_OBy6N3n9kcEUbmx	Low	Working on outdated dataset, realize that a variable was incorrecrly coded after performing statistical analyses...	Lapse of concentration	Very Low	Minor	time loss	To the extent I now, neither me nor my research colleagues have performed serious mistakes in data management.	NA	NA	NA	clinical psychology	9
R_2afAwJhFERuWpcR	Very Low	Rare, but mismatching participants from two different data collection sessions or two different surveys (e.g., a pre-survey and one during an experimental session).	Multiple researchers or poor identification scheme.	Very Low	Minor	time loss	We had multiple participant teams with the same tracking number from the same day and had to go back to the raw experimental materials to figure out which was which.  No big deal, except we had already started analyses and had to redo everything.	Tracking numbers being updated on one log but not in the other.	Minor	time loss	applied psychology	15
R_25RcV6aMECnyYyF	Low	Simple entry error.	RAs confused about how to enter data.	Moderate	Insignificant	frustration	I can't think of a serious one.	See above.	Insignificant	frustration	developmental and educational psychology	16
R_1C7oJP4CkRa3cdP	Low	Programming errors in experimental software for treatments.	Not enough testing.	Low	Moderate	financial loss	Programming errors	Insufficient testing	Moderate	financial loss	other	20
R_yD8d1A59bQGBOut	Moderate	Different people wher working on different versions of the same data set to do analyses.	We did not keep a version controlled master of the data set.	Low	Moderate	frustration	We did analyses on a data-set with an dependent variable that was not correctly calculated from raw eye-tracking data.	A  misstake when raw data was turned into the dependent variable.	Moderate	frustration	developmental and educational psychology	10
R_R4b2NHauEWrdgcN	Very Low	results initially misinterpreted due to lack of clarity in how the scale was coded	bad data key	Very Low	Minor	time loss	NA	NA	NA	NA	applied psychology	15
R_2vZVaf4kmem95MD	Low	Data collectors not recording all the information that data forms requested.	Poor training/supervision after training (aka quality control)	Moderate	Moderate	Missing data	NA	NA	NA	NA	applied psychology	40
R_1ojdoHkyRAEhaO9	Moderate	Use uninformative variable names	Not looking ahead	Moderate	Minor	time loss	Mislabeled columns when moving data between excel sheets; did not notice for a couple of months (data were not submitted for publication yet); had to rewrite part of manuscript and re-do analysis	Not being careful	Moderate	time loss	experimental and cognitive psychology	7
R_1FzFMxxfXX2SLGw	Low	Confusion about which files - e.g., naming files in correctly, confusion about which files correspond to which condition	experimenter error	Low	Minor	time loss	Failed to have stimulus presentation software record one of the dependent variables of interest	Failing to check data carefully enough	Extreme	time loss	experimental and cognitive psychology	10
R_1kTbPJmOD0m8h6r	Very Low	Copy from worksheets to eCRF	Time	Low	Minor	time loss	Old version of database	Coding of data Name	Moderate	frustration	other	12
R_qITgjpy8nUlimv7	Low	In a very complex, multi-year, multi-setting project, with large data sets kept in different locations, it became cumbersome and confusing to comprehend and access the relevant data for particular analyses.	The complexity of the project and data, emergent nature of the project, and our failure as researchers to have an a-priori systematic plan for data management.	Low	Moderate	time loss	The use of the wrong variables in an analysis.	Complexity of the data set and inexperience of the student working on the analysis.	Minor	time loss	developmental and educational psychology	21
R_2ONZImZtC8mhCrA	Low	data being incorrectly copied from one database to another	no centralized read-only database; copying and pasting errors	Low	Minor	time loss	NA	NA	Insignificant	NA	clinical psychology	5
R_2agYT2RkPZaarIL	Very Low	Occasional mis-transcriptions (of language data), but we double-check on these when we check reliability	Inattention (and inexperience) on the part of the transcriber	Very Low	Minor	time loss	mis-coding of data that required re-coding and re-analysis	inattention	Minor	time loss	other	45
R_33lN4aBOD0tfqwg	Very Low	Tracking status of participants (i.e., lost to follow up vs. declined to continue)	Not anticipating the need for differentiating between types of data loss	Low	Minor	time loss	Same	As above	Minor	time loss	other	10
R_2RVBEeR4DZhBco5	Very Low	I recoded the items wrong	One time it was due to carelessness, and another time, it was due to the scale using an anchor that goes from positive value to negative value, which is not what I am used to	Very Low	Minor	frustration	I recoded the items for my variable wrong, leading to the opposite direction of the relationship	Carelessness	Minor	frustration	social psychology	7
R_2aQPnJKQNgJw2Ob	High	Corruption of datasets due to errors in transcription, merging, etc.	Coding errors	Moderate	Minor	time loss	Failure to properly map census areas to postal codes led to a false conclusion that was included in a grant submission and almost published, before we caught the error.	Technical details of the system to assign postal codes and census areas in Canada, of which our team was unaware.	Major	erroneous conclusion	other	17
R_1QLOiVySy2bKLTZ	Low	"Miscoding of a variable -- e.g., 1 to 7 coded as ""more"" with higher numbers but was actually ""less"""	human error in scripting and translation of output to codebook	Low	Moderate	"I want to select all options but ""financial"". If you want most important outcome then, ""erroneous conclusion"""	Miscoding of a variable leading to an erroneous conclusion.	Human error translating output to coding.	Moderate	erroneous conclusion	social psychology	22
R_2XhPhn1YeASQHAr	Moderate	"version control and/or frequent changes to surveys leading to messy data sets; combining ""identical"" data sets that aren't actually identical"	too many stakeholders	Low	Minor	time loss	NA	NA	NA	NA	applied psychology	10
R_pscJ1L4obDNvx3H	Very Low	NA	NA	Very Low	Minor	time loss	NA	NA	Insignificant	time loss	personality psychology	40
R_2YQViBTzxB4Z58d	Low	Failure to programme response-collection aspect of the task properly, or other programming errors.	Human error, not enough beta testing due to schedule challenges.	Low	Minor	time loss	About 24 participants tested with no data collected.	programming error	Moderate	time loss	experimental and cognitive psychology	17
R_3G7c4213rSP4bPF	Low	Applying a statistical model to a wrong/incomplete part of the data	improper subsetting by, e.g., using the wrong level(s) for splitting a data frame	Low	Moderate	time loss	improper saving of results from text processing scripts	stupidity/negligence, I guess, not planning ahead enough	Major	time loss	other	20
R_XiYRBKDZ1f0f0wV	Moderate	Ordinal variables were coded in the incorrect direction	RA did not use prior data processing scripts as a template	Moderate	Minor	time loss	We failed to include 25% of items in a scale for a study.	RA wasn't carefully attending to the document containing the item bank when creating the new survey. PI didn't double check the survey carefully enough.	Moderate	time loss	clinical psychology	10
R_1LXOUF7PqQkhz6o	Low	Misspecified codes for variable conditions.	Lack of training and oversight of students on need for consistent coding criteria.	Low	Minor	time loss	Inconsistent participant numbering.	Research assistant did not follow protocol (used participant initials instead of participant number).	Minor	time loss	developmental and educational psychology	25
R_3lrEYOs4D0F0s0k	Low	1. We used uninformative variable names that made it hard to re-use the dataset. 2. Frame deletion error. A row was deleted and all datapoints moved up one so that experimental groups and datapoints no longer matched. The mistake was not spotted in time and a conference abstract was published with erroneous results, although the actual conference presentation contained corrected analyses and disclosure of the mistake. 3. Failure to retain data at screening for a critical baseline variable for some participants	1. Lack of experience of the researcher (usually a masters or dosctoral student) who was not acquainted with the need for clear labelling of variables and who did not follow instructions consistently on correct labelling  2. Frame deletion error was just a simple cut and paste mistake. 3. Lack of supervision of data collection or insufficient monitoring of good data retention practices (i.e. I should have overseen this data collection more directly)	Low	Moderate	erroneous conclusion	Point 3 above (failure to retain critical baseline variable data during screening)	See above	Moderate	frustration	clinical psychology	13
R_3PbElbVvAPqPtkC	Low	Punching the data wrongly	Could have been  that thar punched data were not checked	Low	Minor	time loss	NA	NA	NA	NA	other	20
R_1mKI2PUxRHLULTJ	Moderate	uninformative labels for variables is the top frequent one; working off the wrong version of the dataset, and only realizing it after weeks of performing analyses is the second more frequent one.	laziness and lack of systematicity. or more systemic: lack of good infrastructure that would prevent such errors - they chiefly occur when working on large-scale longitudinal datasets.	Low	Moderate	time loss	mislabelled and poorly structured data from a complex project.	the project took 1.5 years to collect data and was passed on from one student and lab manager to another. institutional knowledge was not always provided to the replacement.	Moderate	time loss	social psychology	13
R_3RlLuQSE5pu1tb0	Low	Being uncertain of variables due to naming	Idiosyncratic naming schemes	Low	Minor	time loss	No record of source of data, no idea where it was from	No documentation	Minor	frustration	social psychology	12
R_2doLrFMsPU9gioB	Low	Over-write one form of the data over another. Have never lost the original (thirty years did, so had to re-type from paper copies).	Indexing data objects.	Low	Minor	time loss	A couple where there is a day loss of coding. Re-writing the coding likely improves it.	LaTeX	Insignificant	time loss	methodology and statistics	30
R_uwilEnZKlzMWNLH	High	NA	Data management.	High	Moderate	time loss	Data management	Human error	Major	time loss	other	10
R_1lhqYV1QwEPPpZy	Low	NA	NA	Low	Minor	frustration	working on the wrong data set	time pressure and workload (e.g., too many different projects)	Minor	time loss	applied psychology	8
R_1dyHBENaRUWZjBd	Moderate	Recently, despite pre-testing and piloting an online study, when some participants took the survey, errors occurred and thus we lost some fraction of the data	Incomplete piloting/testing	Low	Minor	financial loss	In a developmental study, the randomization was set up incorrectly, such that some participants were saw conditions multiple times erroneously. We lost ~10 participants worth of data as a result.	Error in how the randomization procedure was implemented	Moderate	time loss	experimental and cognitive psychology	9
R_2VmXtXlfGpTVyxw	Very Low	Misleading cut-paste from one file to another.	Overly automatic thinking.	Very Low	Insignificant	time loss	Misleading cut-paste from one file to another.	Overly automatic thinking.	Insignificant	time loss	neurophysiology and physiological psychology	41
R_XYUxOqaUOdv9F97	Low	Programming mistakes in survey set-up (eg, not including a item, having a typo in an item, setting quaktrics/inquisit to allow missing data)	User error	Low	Minor	Lower quality data = less certainty about conclusion (analysis can still go ahead but the error must be acknowledged and so gre findings are less reliable). Also? We need to admit to errors in the paper and it is embarrassing	Published a scoring key that contained errors.	User error/typos.	Moderate	I don’t know how many people used the scale before we realised and corrected. It would be less reliable (4/42 items were incorrectly scored), potentially reading to Tyoe II erroe	personality psychology	18
R_1KoS03TB4Dmwx8K	Very Low	Journal transposed numbers in a manuscript table.  We didn't catch it during proofing.	Looking between documents made it easy to see that the right number was there, but not that it was in the wrong cell.	Very Low	Major	having an Erratum you hope people will consult.	same as above	NA	NA	NA	other	27
R_2xEjkBHMLVAdlpz	Low	We have the data in a spreadsheet and when a co-author updated the spreadsheet he failed to copy the formulas for all the data.  Thus more than half the data was undercounted.  Fortunately, it was a replication study and when the results turned out different from the original study, we went through all the data very carefully to check for errors.	spreadsheet editing error	Low	Minor	time loss	see the one above	spreadsheet error	Minor	time loss	applied psychology	35
R_OcBfzKXUA2Vg1mV	Low	"Assistants keyed in the wrong numbers randomly.  Required rekeying the data.   RedCap did not have Research Assistant as ""on project"" so did not input the right ID number code.   Confusion in combining data sets from different sources.   Different sites had different ways of defining the same contructs making it difficult to combine data witout extensive re-coding.   Had longitudinal data in old software programs and it didn't translate easily to new programs."	Oh, as you see there were several.  Usually human error.	Low	Minor	time loss	None really serious in the last 5 years.	NA	Insignificant	NA	applied psychology	40
R_2Wxs9NL5pTh2Ko0	Low	Lack of clarity on the meaning of variables makes them hard to interpret later.	Lack of quality control	Low	Insignificant	frustration	We were provided with an incorrect weighting variable by a third party	Inexperienced new project member at the supplier	Major	time loss	other	20
R_eYdELbJBuvjhdyF	Low	misscheduling participants	Management error	Low	Moderate	time loss	Software error- data not collected	Programmer error and lack of proper checking before project start	Moderate	time loss	experimental and cognitive psychology	10
R_2EEnIEQa9QlsXtt	Very Low	out of these mentioned above I believe that the most typical is data mislabelling or several recodes that - after some time - make the proper replication of analyses difficult. Of course R scripts or jasp / jamovi help, but with spss - even using syntax, this is a serious problem.	Well, call it exploration	Very Low	Minor	frustration	Fortunately none	---	Insignificant	ddd	developmental and educational psychology	15
R_1IH7qhVEGwzF6pZ	Low	Mistakes when we calculate factors.	To be in hurry.	Low	Moderate	time loss	The code assigned to participants was a bit confusing.	The researcher did not thing on creating a good code.	Major	erroneous conclusion	social psychology	18
R_YRpTUYsPnCHJ2U1	Moderate	A variable is transformed or recoded inappropriately.	No protocol of data manipulations was followed. No written notes.	Moderate	Moderate	frustration	Same as previous example.	NA	Moderate	time loss	other	15
R_1FwvnH84InncNXX	Low	We mostly run into problems with Qualtrics. For example, we will program a questionnaire to be on a 7-point scale and the program will put it on a 15-point scale. Or, questions will be programmed in a set order and Qualtrics will change the order that the questions are presented.	No clue. We never analyze the scale data when this happens and often re-run the study by some other means (e.g., Prolific and/or in-person).	Very Low	Moderate	I would say that all of the above are applicable to a certain extent.	I have a certain way of dummy coding in that the experimental condition is coded as a zero while the control condition is coded as a one. A graduate student who I work with prefers the opposite. This has caused some problems.	We are always quick to check with each other on coding. Nothing serious has happened - that is, no paper has been published or presented to affect interpretation.	Minor	erroneous conclusion	social psychology	15
R_26mVWrTn2jxXvOy	Low	Copy-pasting from programs without getting all needed columns/participants	Programs not interfacing well (eg data collection programs not easily importing to data analysis programs)	Moderate	Minor	time loss	Error in trial counts on a study, ran ~8 participants before error was found	Incorrect math on the trial counts	Moderate	financial loss	experimental and cognitive psychology	8
R_ZyPIaTnZlEqj2PT	Very Low	NA	NA	Very Low	Minor	time loss	NA	NA	NA	NA	other	18
R_3EupOPAfblnLBPk	Low	Improper recodes and related syntax errors	Misinformation provided by the agency that supplied the data	Low	Minor	time loss	Same as above.	Agency personnel did not fully communicate the definitions of specific fields and codes.	Minor	time loss	methodology and statistics	32
R_1IlTZYBSAO0Dcuy	Low	Uninformative variable names combined with a low quality codebook.	Not thinking ahead and writing a data management plan.	Moderate	Minor	Time loss and frustration when returning to data set a few years later.	Physically deleting data from from participants not eligible for our study (rather than typing code to remove them), and not saving original raw data.	Sloppiness by the person in charge of data cleaning, and lack of discussion on the data management process prior to data collection.	Major	Could not use the data collected, and needed to re-run the study (financial loss, time loss, frustration)	social psychology	17
R_2Yrmw7uMu8U6eEA	Low	Failure to register (or correctly register) participant data	A software/programming mistake	Low	Minor	time loss	Incorrect registration of participant responses	A software/programming mistake	Major	time loss	experimental and cognitive psychology	20
R_2VpQNBQ0y3Xk4v1	Low	Scale was coded wrongly (e.g. high value meant low score)	Human error that was perpetuated in future projects and which is herefore rechecked before we start analysis	Low	Minor	time loss	Broken server led to loss of data	Technical problem and inefficient backup procedures that we had back then	Moderate	Data loss	developmental and educational psychology	20
R_1qgGU0J3OX0g6t9	Very Low	missing data incorrectly labeled as 0.	NA	Very Low	Minor	time loss	analyses had to be re-done	reaction time was coded incorrectly on protocol	Minor	time loss	other	10
R_2EGYmDTj3LV7rUU	Very Low	Some mistake in stimulus presentation through specialized software (e.g., Psychtoolbox) leads us to discard data from several participants before we realize the mistake	Complexity of experimental designs, with e.g. variable timings and/or spatial locations depending on the experimental conditions.	Very Low	Minor	time loss	The one mentioned above	See above	Minor	time loss	other	28
R_33qjViTvNv9H48m	Moderate	Difficult to track the evolution of the data from the source dataset.	Poor record keeping, not using fully reproducible scripts.	Moderate	Minor	time loss	Incorrect digital form that led to incorrect data.	Poor training of staff that produced the digital form. Lack of oversight from lab director (me).	Moderate	frustration	experimental and cognitive psychology	12
R_3lKPtjrvge3kjlW	Very Low	equipment failure led to data loss, but I don't think that fits in your definition.  I cannot think of any data-related mistakes comparable to your examples.	power outage, battery ran out, electrodes pulled off of participant	Low	Minor	financial and time loss, frustration	none	NA	NA	NA	experimental and cognitive psychology	40
R_3ssjvVtm5kqPBor	Low	Research assistants changed data file name to reflect the participant number that was meant to be given rather than actually entered in the software.	They entered the wrong participant number and didn't want the PI to know.	Low	Minor	frustration	Error in formula	Error entering part of a formula in a data sheet for calculations	Major	frustration	experimental and cognitive psychology	10
R_3gTq4TA8Trl2ZHf	Low	Mistake in translation from survey raw data to computerized data	Loss of atention	Low	Minor	time loss	Error in data analysis with a erroneous dataset	Use multiple datasets	Major	erroneous conclusion	social psychology	24
R_DSGTNrt5b3NfEyd	Low	Most commonly we face name|ID duplication due to the same participant being evaluated more than once; also, I've built our database on excel and more often people working on it mix up all kinds of formulas despite lock strategies, which lead me to check it every time I have to analyze something.	Human error and limitations of excel	Low	Moderate	time loss	We often check data for validation; I think that the most serious mistake we faced was a formula error leading to strange values in one of our dependent variables. I took some time to figure out why the results were so hard to predict.	Using too many formulas for total scores, classifications and so on.	Moderate	time loss	other	8
R_2czHmrjciqTkBt0	Low	Loss of participants' responses, overwritten across experiments/sessions	NA	Low	Minor	frustration	Loss of raw MRI images	Images were not properly stored	Moderate	time loss	neurophysiology and physiological psychology	15
R_1NDGa4iJhjM1zX9	Moderate	Change in scoring for the same items used in multiple studies.	Multiple people working on the project.	Moderate	Moderate	time loss	Use of different versions of an instrument in files that were to be merged.	Multiple revisions of the instrument; use of libraries to store electronic versions	Major	time loss	other	38
R_OHDG36aZkVyuXAJ	Low	Data scanning errors led to missing values, or substantial time validating values against paper-documented responses	manual scanning of data forms into databases	Low	Moderate	time loss	NA	NA	NA	NA	developmental and educational psychology	14
R_3fjxxi7YlurfKXO	Very Low	NA	NA	Very Low	Insignificant	time loss	Thirty years after publication of field study, I wanted to re-analyze the data.  Sadly, the data were lost because of office moves.  Thus, the lost data precludes subsequent re-analyses.	The data were on tape and a floppy disk (the 5 1/4 type) and simply mis-placed during 2 office moves during this 30-35 year period.	Minor	frustration	applied psychology	36
