response_id	type	mistake	exclusion_criteria
R_2QXVuTKkK53THL2	recurring	Sorry, but all the data management mistakes that come to mind occurred over 5 years ago. I cannot think of a recent data management mistake I have made.  The most common mistakes  I used to make were mistyping when inputting data from into the computer by hand.  With MTUrk, this is no longer a problem - subjects put their data into the computer directly. I will answer the questions about this old mistake.	out of timeframe
R_2QXVuTKkK53THL2	serious	I cannot think of one.  If I made one in the last five years, it has gone undetected.	irrelevant content
R_2roxxflIoGavKkS	recurring	Not really as I'm not the person doing the data management and often am not even the person talking to the data managers.	irrelevant content
R_2roxxflIoGavKkS	serious	No, I couldn't.	irrelevant content
R_2rwGx3tHGSfKZmT	serious	See above	see above
R_2rZ2DTpbcWFIEhG	serious	NA	missing
R_2s1ktoIv8TbR7va	recurring	No project with data in the last 5 years and more. Worst mistake was loss of some outputs of elaborations on data, no loss of data themselves.	out of timeframe
R_2s1ktoIv8TbR7va	serious	The one above, more than five years ago	see above
R_2SBjtXj9EjzI7Sn	recurring	Longer than 5 years ago, but I have data I can no longer recover for use.	out of timeframe
R_2thgLa4jntEMBiq	serious	all of the above mentioned mistakes	see above
R_2tLFnGE5wJ0UxSs	serious	same as above	see above
R_2tM3kyffGsiC0lA	recurring	Not aware of any	irrelevant content
R_2tM3kyffGsiC0lA	serious	Not sure what this question is asking - wording is unclear	irrelevant content
R_2TzanZPigM2xVuV	recurring	I have only had one mistake -- 25 years ago. Long story (of course), once I learned about the mistake, I threw away the data and collected it properly.	out of timeframe
R_2TzanZPigM2xVuV	serious	None	irrelevant content
R_2uCVsIhbczMricX	serious	NA	missing
R_2uHSLuGwWn8PInP	serious	NA	missing
R_2us0vBwhzkTkLir	recurring	NA	missing
R_2us0vBwhzkTkLir	serious	NA	missing
R_2V85hhvhCukcKS9	serious	Do not remember any serious incident.	irrelevant content
R_2VEKMPKkOYROq4e	recurring	NA	missing
R_2VEKMPKkOYROq4e	serious	NA	missing
R_2VqpVBYSI1pLkvH	recurring	NA	missing
R_2VqpVBYSI1pLkvH	serious	NA	missing
R_2vZVaf4kmem95MD	serious	NA	missing
R_2WJC3PKuf5TvxjC	recurring	I do not collect data and rarely handle real data. I cannot think of any such mistakes	irrelevant content
R_2WJC3PKuf5TvxjC	serious	NA	missing
R_2XbwfGL9OmGNpNx	recurring	NA	missing
R_2XbwfGL9OmGNpNx	serious	NA	missing
R_2xEjkBHMLVAdlpz	serious	see the one above	see above
R_2XhPhn1YeASQHAr	serious	NA	missing
R_2XhZupfT3JtBBeo	serious	The above mentioned	see above
R_2xKa98jPFbLuzjs	serious	NA	missing
R_2xYjxG2sdLotM8Q	serious	same	see above
R_2yfNEamm9FvTD4O	serious	all minor	irrelevant content
R_2YrWWMvbQaoXT8U	serious	Struggling to recall one	irrelevant content
R_2zjVTdbw0kClOqk	serious	don't know	irrelevant content
R_2ZKX9MFhEoJ5EsP	serious	see above	see above
R_302hgWPu7XX10Ur	serious	Ha ha, I wouldn’t know :) Which is in itself a bad thing because we don’t learn from each other’s mistakes.	irrelevant content
R_30iBM9IxcA9r8sY	serious	Fortunately, we have not had a serious data-related mistake (knock on wood).	irrelevant content
R_31cTpd46NEwANvI	serious	same as above	see above
R_31XxYTrGO7hkkqE	recurring	I can't think of any but my project is fairly small	irrelevant content
R_31XxYTrGO7hkkqE	serious	N/a	irrelevant content
R_339JiVn0BrXV8jw	recurring	NA	missing
R_33lN4aBOD0tfqwg	serious	Same	see above
R_3dGuyqX1cMJFz7i	serious	NA	missing
R_3EKfYkim9TNrorw	serious	NA	missing
R_3EupOPAfblnLBPk	serious	Same as above.	see above
R_3fAULoP2522oOyB	serious	Same as above	see above
R_3fHPNDhuPCvBI5t	serious	no real mistake because we control every calculation more than once sometimes by different persons (four eyes detect more than two)	irrelevant content
R_3fjxxi7YlurfKXO	recurring	NA	missing
R_3foClSs4q55ssEp	serious	Failure to Aden arely descriptor be an experiment by someone who since left the olab, requiring that a cell lines that already existed needed to be remade because it was simokybinadewuately descrbed/characterized in the first place.	irrelevant content
R_3FPW5UUfKKmHIzM	recurring	NA	missing
R_3FPW5UUfKKmHIzM	serious	NA	missing
R_3gYp4TFBsLfhLvH	serious	not sure (how) this is different from the first question	irrelevant content
R_3hgej8gmajD0d9j	serious	NA	missing
R_3hhX5mXtAv6AIHA	serious	same as above	see above
R_3HnSEV00T3RGWzi	serious	Nothing really serious has happened during this time.	irrelevant content
R_3HOJBmqA8Qj5Vik	serious	NA	missing
R_3IT6ZXx2MztRRGc	serious	See above	see above
R_3J4c4rpnbPrwloU	serious	NA	missing
R_3kGGCsyUfakWVUl	serious	NA	missing
R_3kwgl80bqny911T	recurring	I have been a researcher for many years.  The last project I worked on was probably four or five years ago, and at that stage, I had considerable experience managing data, to avoid many of the mistakes that you describe.	irrelevant content
R_3kwgl80bqny911T	serious	NA	missing
R_3lKPtjrvge3kjlW	serious	none	irrelevant content
R_3lMoowEYi5yWYMA	serious	I don't understand your question. Something seems to be missing in your formulation. I just described one serious data- and file-related mistake in my team, and it did happen in the last 5 years--about two and a half years ago.	irrelevant content
R_3M0uW4vbFXE4kvx	serious	NA	missing
R_3MJUSLr2OcEQ11l	recurring	NA	missing
R_3MJUSLr2OcEQ11l	serious	NA	missing
R_3MrPmrUA0iU0QKQ	recurring	NA	missing
R_3MrPmrUA0iU0QKQ	serious	NA	missing
R_3MxuXev3SJ36Py0	serious	NA	missing
R_3PbElbVvAPqPtkC	serious	NA	missing
R_3PHKJQqRQle1gb0	serious	see above	see above
R_3Pntu1ocvaXxAON	recurring	1	irrelevant content
R_3Pntu1ocvaXxAON	serious	NA	missing
R_3Pp3aZ3NKVDVBPb	serious	As above	see above
R_3PpfaE6kx9z6Gdn	recurring	None that I can think of.	irrelevant content
R_3PpfaE6kx9z6Gdn	serious	None that I can think of	irrelevant content
R_3Pq7FOazfc0hLft	serious	NA	missing
R_3qlduMb6TmuzWVI	recurring	NA	missing
R_3qlduMb6TmuzWVI	serious	NA	missing
R_3qr2ZreTjyLiVlU	serious	N/A	irrelevant content
R_3qvvLPHkBxw52vg	recurring	NA	missing
R_3qvvLPHkBxw52vg	serious	NA	missing
R_3s6svosVBZhcLjp	recurring	None in past 5 years. Long ago we almost lost some data. We were transferring to a local storage from an intranet server using a program meant for use as a backup.  Once we had moved the data, we deleted the old copy. The new copy saw the deletion and, replicated the action on the new copy.  We caught the error and retrieved the data before a permanent loss occurred.   Another type of error was solved by using dual letter/numeric participant names... AB101,  BC102, CD103, DE104, etc.  we began this about 10 years ago.  Subsequently incorrect entries went to near zero and were easily caught.	out of timeframe
R_3s6svosVBZhcLjp	serious	None recalled in 5.  I’ve been fortunate.  Also, I am a clinician-scientist with only one project running at a time.	out of timeframe
R_3s7iyh922xBWmba	serious	NA	missing
R_3sv4uN3gphG6Pxv	recurring	NA	missing
R_3sv4uN3gphG6Pxv	serious	NA	missing
R_6hDIMFdjLBO9MOd	serious	NA	missing
R_6QYEgZeTJnngKZj	serious	None. Serious data mistakes had happened more than 5 years ago. Recently I myself control data for all teams i am involved.	irrelevant content
R_7PVRV8S0OqzQTnz	serious	No such mistake.	irrelevant content
R_8pOKqiOkWWJ7MMF	recurring	Nothing in the past 5 years, but prior to that I have lost data due to computer crashes. I have also lost data when moving University.	out of timeframe
R_8pOKqiOkWWJ7MMF	serious	NA	missing
R_AGrmutGJFICE93z	serious	See above	see above
R_Asx9afieZL39PhL	serious	Can't recall any others within the last 5 years.	out of timeframe
R_b7t6V0jFlrRqXzr	recurring	I cannot remember any that had consequences	irrelevant content
R_b7t6V0jFlrRqXzr	serious	NA	missing
R_beZArZ7io7gtZKh	serious	I've learned to double- and triple-check the data. For instance, before every dataset I'm writing up for publication I re-analyze the data from scratch.	irrelevant content
R_Bybv9JqSnv0Hern	recurring	NA	missing
R_Bybv9JqSnv0Hern	serious	NA	missing
R_ByOF9nbo28ZJhG9	serious	No serious mistakes in this period.	irrelevant content
R_cBI2DIvDQbW5cDD	recurring	NA	missing
R_cBI2DIvDQbW5cDD	serious	NA	missing
R_cCsCmJ2M9PGyP8R	serious	what is this: data management mistake caused by mistake and that mistake is caused by another mistake? is this a joke?	irrelevant content
R_Cfzi2YLDaPWFnRT	serious	This question is inaccurately phrased?	irrelevant content
R_cI8mWxOvlaSvaSZ	serious	same as above	see above
R_cYFPvH5xI8jDLOh	recurring	I do not recall any data-related mistake in the last 5 years; about 8 years ago, we made a mistake of not collecting any identification information from the subjects and had to report the data as a whole without being able to make meaningful comparisons	out of timeframe
R_cYFPvH5xI8jDLOh	serious	There was no other data-related mistake that happened in our lab in the last 5 years	irrelevant content
R_DzXT4qsbkrvDVDP	recurring	none that I know of	irrelevant content
R_DzXT4qsbkrvDVDP	serious	none	irrelevant content
R_exlSjtrcVMPpPkl	serious	NO SERIOUS MISTAKE ACKNOWLEDGED SO FAR	irrelevant content
R_OBy6N3n9kcEUbmx	serious	To the extent I now, neither me nor my research colleagues have performed serious mistakes in data management.	irrelevant content
R_OcBfzKXUA2Vg1mV	serious	None really serious in the last 5 years.	out of timeframe
R_OHDG36aZkVyuXAJ	serious	NA	missing
R_p0BJ8JCn92K9IaJ	serious	AS above	see above
R_p3M2Ir2HhdW3gTD	serious	NA	missing
R_POu1cEcaePOzhkt	serious	NA	missing
R_pscJ1L4obDNvx3H	recurring	NA	missing
R_pscJ1L4obDNvx3H	serious	NA	missing
R_PULxBT05Q47IOmR	serious	"Honestly, nothing ""serious"" comes to mind."	irrelevant content
R_qyVu3WJ4rXTojBf	serious	Undergrad ra left lab during a participant run. Ra returned and attempted to make up data. Another ra had been keeping up with data and stopped the ra from making up data. Ra fired approximately 30 minutes later (time it took for me to be informed and me to walk across campus to my lab).	irrelevant content
R_R4b2NHauEWrdgcN	serious	NA	missing
R_RLJj4PkFNDEdYit	serious	Same as above	see above
R_RwbZAYqdAdCWJpL	serious	I have fortunately not had any data mistake that was not fixed prior to publication of research or submission of grant.	irrelevant content
R_sbMzGYvocQNch7X	serious	Fortunately, I don't remember anything serious (i.e., something that changes the interpretation of the results).	irrelevant content
R_SCp4SDJW7H7SgNz	recurring	We had study design errors, but not data management errors. In any case, when there are errors we simply drop the dataset and re-run the study to collect new data. In case of secondary data, we go back to the raw data file and start over.	irrelevant content
R_SCp4SDJW7H7SgNz	serious	already did that above	irrelevant content
R_SHwFOwZ6VkkfpPr	recurring	Sometimes you have a dataset. You have a do file or syntax file. You run the command as is on the same exact data set. Filters are the same. Yet you get different results. How did I get that result the first time???	irrelevant content
R_SJNhx4IBeQ1eZu9	serious	NA	missing
R_usJmD25Zml44ef7	serious	N/A	irrelevant content
R_uwilEnZKlzMWNLH	recurring	NA	missing
R_vGhe9SFx67Tm8md	serious	That was the event about I wrote above.	see above
R_vq2t8wRHyyhk10J	recurring	NA	missing
R_vq2t8wRHyyhk10J	serious	NA	missing
R_vSpnniXC9QK5jj3	recurring	None happened in the last five years thanks to a great stat person.	out of timeframe
R_vSpnniXC9QK5jj3	serious	None	irrelevant content
R_xf1mZKJUgYbss6J	recurring	NA	missing
R_xf1mZKJUgYbss6J	serious	NA	missing
R_XojQnylYueRx31f	recurring	NA	missing
R_XojQnylYueRx31f	serious	NA	missing
R_XQWU5837JcirPJD	serious	the one mentioned before	see above
R_YPHfNIaeRchw0PT	serious	N/A	irrelevant content
R_YRpTUYsPnCHJ2U1	serious	Same as previous example.	see above
R_zdpFVud5GMDjVUl	recurring	None	irrelevant content
R_zdpFVud5GMDjVUl	serious	N/A	irrelevant content
R_ZJATnXkWyr4rKWl	recurring	NA	missing
R_ZJATnXkWyr4rKWl	serious	NA	missing
R_ZmXnCTgu01NJWAV	recurring	"I think this conflates multiple unrelated processes, and is not a helpful categorization. Errors in data collection are substantively different in errors in data storage, data management, data analysis, and data reporting. If you're going to conflate them all, that's basically the same as calling them ""errors in research."""	irrelevant content
R_ZmXnCTgu01NJWAV	serious	See above, this is not a valid construct	see above
R_zTomGWKEQc3Ne8h	serious	Probably the one I haven’t discovered yet.	irrelevant content
R_ZyPIaTnZlEqj2PT	recurring	NA	missing
R_ZyPIaTnZlEqj2PT	serious	NA	missing
