response_id	cause	cause_no	cause_sep	maximum_response_one_cause	type	group_cause	code_cause
R_1IlTZYBSAO0Dcuy	Not thinking ahead and writing a data management plan.	1	Not thinking ahead and writing a data management plan.	yes	recurring	bad or lack of planning	insufficient planning
R_1IlTZYBSAO0Dcuy	Sloppiness by the person in charge of data cleaning, and lack of discussion on the data management process prior to data collection.	1	Sloppiness by the person in charge of data cleaning	no	serious	carelessness	sloppiness
R_1ImjMmhDv5BB0tL	Overlooking errors.	1	Overlooking errors.	yes	recurring	carelessness	oversight
R_1IXK61gu891fM53	insufficient paranoia	1	insufficient paranoia	yes	recurring	inattention	lack of vigilance
R_1jvKqTl2Ij19jke	lack of attention	1	lack of attention	yes	recurring	inattention	inattention
R_1K7lVatqDC1d3dz	hick-up with equipment/device-user interface	1	hick-up with equipment/device-user interface	yes	recurring	technical issue	technical failure
R_1K7lVatqDC1d3dz	Excessively large organization with different people at different sites performing part of the experiment.	1	Excessively large organization with different people at different sites performing part of the experiment.	yes	serious	miscommunication	miscommunication
R_1K8Ralb7H385hcB	Not following a pipeline of actions to take from data acquisition to data sharing.	1	Not following a pipeline of actions to take from data acquisition to data sharing.	yes	recurring	carelessness	not following protocol
R_1kY9lz7ULI6kPb3	Failure to appreciate the importance of backing up your data.	1	Failure to appreciate the importance of backing up your data.	yes	recurring	lack of knowledge/experience	being unaware of the potentials of the negative outcomes
R_1lAjGmRwoW52vY9	*poor supervision/management *poor collaboration *no dedicated software, databases *no guidelines	1	*poor supervision/management	no	recurring	project management issue	insufficient supervision
R_1lAjGmRwoW52vY9	no tools provided by the institutions, no interest in this topic in the management	1	no tools provided by the institutions,	no	serious	technical issue	lack of proper tools
R_1lAjGmRwoW52vY9	*poor supervision/management *poor collaboration *no dedicated software, databases *no guidelines	2	*poor collaboration	no	recurring	miscommunication	poor collaboration
R_1lAjGmRwoW52vY9	no tools provided by the institutions, no interest in this topic in the management	2	no interest in this topic in the management	no	serious	carelessness	lack of motivation
R_1lAjGmRwoW52vY9	*poor supervision/management *poor collaboration *no dedicated software, databases *no guidelines	3	*no dedicated software, databases	no	recurring	technical issue	technical problem
R_1lAjGmRwoW52vY9	*poor supervision/management *poor collaboration *no dedicated software, databases *no guidelines	4	*no guidelines	no	recurring	bad or lack of standards	lack of standard procedure
R_1LBzXSxZUeQ0CZr	Different users having different knowledge and understanding of the variables	1	Different users having different knowledge and understanding of the variables	yes	recurring	miscommunication	miscommunication
R_1LBzXSxZUeQ0CZr	Poor communication about data storage. Poor labelling of files	1	Poor communication about data storage.	no	serious	miscommunication	miscommunication
R_1Lez5WNMDX1hRUJ	Different people working in a dataset	1	Different people working in a dataset	yes	recurring	project management issue	too many team members working on one task
R_1lhqYV1QwEPPpZy	time pressure and workload (e.g., too many different projects)	1	time pressure (e.g., too many different projects)	no	serious	time management issue	time pressure
R_1lhqYV1QwEPPpZy	time pressure and workload (e.g., too many different projects)	2	workload (e.g., too many different projects)	no	serious	time management issue	too much workload
R_1LNc6THhR7JwDJ5	System crash (for losing code) and Lack of sufficient forethought on variable names	1	System crash (for losing code)	no	recurring	technical issue	technical failure
R_1LNc6THhR7JwDJ5	Lack of attention to detail.	1	Lack of attention to detail.	yes	serious	inattention	lack of attention
R_1LXOUF7PqQkhz6o	Lack of training and oversight of students on need for consistent coding criteria.	1	Lack of training of students on need for consistent coding criteria.	no	recurring	bad skill management	lack of training
R_1LXOUF7PqQkhz6o	Lack of training and oversight of students on need for consistent coding criteria.	2	Lack of oversight of students on need for consistent coding criteria.	no	recurring	project management issue	lack of oversight
R_1LXOUF7PqQkhz6o	Research assistant did not follow protocol (used participant initials instead of participant number).	1	Research assistant did not follow protocol (used participant initials instead of participant number).	yes	serious	carelessness	not following protocol
R_1lz69PsdTmTnVVj	Lack of an organization system and clear job responsibilities	1	Lack of an organization system	no	recurring	project management issue	lack of organization system
R_1lz69PsdTmTnVVj	Poor planning and not consulting with a statistician/psychometrician/data analyst specialist beforehand	1	Poor planning and	no	serious	bad or lack of planning	poor planning
R_1lz69PsdTmTnVVj	Lack of an organization system and clear job responsibilities	2	Lack of clear job responsibilities	no	recurring	project management issue	Lack of clear job responsibilities
R_1lz69PsdTmTnVVj	Poor planning and not consulting with a statistician/psychometrician/data analyst specialist beforehand	2	"not consulting with a statistician/psychometrician/data analyst specialist beforehand
"	no	serious	miscommunication	lack of consultation
R_1mKI2PUxRHLULTJ	laziness and lack of systematicity. or more systemic: lack of good infrastructure that would prevent such errors - they chiefly occur when working on large-scale longitudinal datasets.	1	laziness	no	recurring	carelessness	laziness
R_1mKI2PUxRHLULTJ	the project took 1.5 years to collect data and was passed on from one student and lab manager to another. institutional knowledge was not always provided to the replacement.	1	the project took 1.5 years to collect data and was passed on from one student and lab manager to another. institutional knowledge was not always provided to the replacement.	yes	serious	miscommunication	miscommunication
R_1mKI2PUxRHLULTJ	laziness and lack of systematicity. or more systemic: lack of good infrastructure that would prevent such errors - they chiefly occur when working on large-scale longitudinal datasets.	2	and lack of systematicity	no	recurring	bad or lack of planning	lack of systematicity
R_1mKI2PUxRHLULTJ	laziness and lack of systematicity. or more systemic: lack of good infrastructure that would prevent such errors - they chiefly occur when working on large-scale longitudinal datasets.	3	lack of good infrastructure that would prevent such errors - they chiefly occur when working on large-scale longitudinal datasets.	no	recurring	bad or lack of standards	lack of standard procedure
R_1myhPq5ghONho9x	being inattentive because of the complexity of data analyses	1	being inattentive because of the complexity of data analyses	yes	recurring	inattention	inattention
R_1myhPq5ghONho9x	inattentiveness and misinformation in a publication of colleagues	1	inattentiveness and	no	serious	inattention	inattention
R_1myhPq5ghONho9x	inattentiveness and misinformation in a publication of colleagues	2	misinformation in a publication of colleagues	no	serious	miscommunication	misinformation
R_1NCbBfTdX4Jcm6q	Software or databases which require copy and paste.	1	Software or databases which require copy and paste.	yes	recurring	inattention	copy and paste error
R_1NCbBfTdX4Jcm6q	Complex: ambitious student, time pressure in project, high expectations.	1	Complex: ambitious student,	no	serious	overconfidence	overconfidence
R_1NCbBfTdX4Jcm6q	Complex: ambitious student, time pressure in project, high expectations.	2	time pressure in project,	no	serious	time management issue	time pressure
R_1NCbBfTdX4Jcm6q	Complex: ambitious student, time pressure in project, high expectations.	3	high expectations.	no	serious	overconfidence	too high expectations
R_1NDGa4iJhjM1zX9	Multiple people working on the project.	1	Multiple people working on the project.	yes	recurring	project management issue	too many team members working on one task
R_1nZmLTBp6dPXqgm	unsupervised PhD student's data	1	unsupervised PhD student's data	yes	recurring	project management issue	lack of supervision
R_1nZmLTBp6dPXqgm	Especially when the topic of research is new more background research is needed. Reading more literature would have been useful.	1	Especially when the topic of research is new more background research is needed. Reading more literature would have been useful.	yes	serious	lack of knowledge/experience	inexperience
R_1o0l1vb0QVWOutj	Simple mental error in coding.	1	Simple mental error in coding.	yes	recurring	physical and mental constraints	mental error
R_1o7utbGjr0CiW5p	Not paying careful attention.	1	Not paying careful attention.	yes	recurring	inattention	inattention
R_1OB3foIsQJfflaa	Unclear. Copying and pasting the wrong information or typos.	1	Unclear. Copying and pasting the wrong information or typos.	yes	recurring	inattention	copy and paste error
R_1OB3foIsQJfflaa	Lack of foreseeing this as an issue and then lack of supervision of research assistant/project manager, who did not understand the importance of it.	2	lack of supervision of research assistant/project manager, who did not understand the importance of it.	no	serious	project management issue	lack of supervision
R_1OCdfz7knYYZ9MF	Not enough knowledge of the data and the analyses techniques (which were new to most of us).	1	Not enough knowledge of the data and the analyses techniques (which were new to most of us).	yes	serious	lack of knowledge/experience	inexperience
R_1ODLj4FHdxhK3G1	New PhD students did not know the established work group standards	1	New PhD students did not know the established work group standards	yes	recurring	lack of knowledge/experience	inexperience
R_1oi2EOZ5uJxYlCL	Corrections of input errors lead to different versions of the data set. Researches not always updated their data	1	Corrections of input errors lead to different versions of the data set.	no	recurring	bad or lack of standards	creating different versions
R_1ojdoHkyRAEhaO9	Not looking ahead	1	Not looking ahead	yes	recurring	bad or lack of planning	insufficient planning
R_1ojdoHkyRAEhaO9	Not being careful	1	Not being careful	yes	serious	carelessness	not being careful
R_1OkPHcZJmExTE2S	tiredness or carelessness	1	tiredness	no	recurring	physical and mental constraints	tiredness
R_1OkPHcZJmExTE2S	tiredness or carelessness	2	carelessness	no	recurring	carelessness	carelessness
R_1Or7tDijbW5NQ1e	Lack of attention	1	Lack of attention	yes	recurring	inattention	inattention
R_1Or7tDijbW5NQ1e	Lack of attention	1	Lack of attention	yes	serious	inattention	inattention
R_1pRrkSmdJGmTwHk	Conversion errors/problems with statistical software.	1	Conversion errors/problems with statistical software.	yes	serious	technical issue	software error
R_1qgGU0J3OX0g6t9	reaction time was coded incorrectly on protocol	1	reaction time was coded incorrectly on protocol	yes	serious	bad or lack of standards	error in the protocol
R_1QJxQZXirFtXONG	due to technical/software problems	1	due to technical/software problems	yes	recurring	technical issue	technical malfunction; software error
R_1QJxQZXirFtXONG	we forgot to safe the data before the PC was killed by a technician	1	we forgot to safe the data before the PC was killed by a technician	yes	serious	physical and mental constraints	forgetfulness
R_1qWnEsHwB47T5gC	The PI (= I) had not introduced rules for naming variables and saving and documenting project data.	1	The PI (= I) had not introduced rules for naming variables and saving and documenting project data.	yes	recurring	bad or lack of standards	lack of standardised procedure
R_1qWnEsHwB47T5gC	1. Not enough information was given at the outset. 2. In such cases, two coders should always code independently and the dataset should then be searched for discrepancies. 3. Not enough control at the right moment.	1	1. Not enough information was given at the outset.	no	serious	lack of knowledge/experience	not enough information
R_1qWnEsHwB47T5gC	1. Not enough information was given at the outset. 2. In such cases, two coders should always code independently and the dataset should then be searched for discrepancies. 3. Not enough control at the right moment.	3	3. Not enough control at the right moment.	no	serious	lack of control	not enough control
R_1rqy1rVzOKTinKa	Inability to closely supervise all research participants (despite clear initial training)	1	Inability to closely supervise all research participants (despite clear initial training)	yes	recurring	project management issue	inability to supervise
R_1rrxPxsFGkflPpx	time pressure, laziness, failing to empathize with the next user who's unfamiliar with the data	1	time pressure	no	recurring	time management issue	time pressure
R_1rrxPxsFGkflPpx	time pressure, laziness, failing to empathize with the next user who's unfamiliar with the data	2	laziness,	no	recurring	carelessness	laziness
R_1rrxPxsFGkflPpx	time pressure, laziness, failing to empathize with the next user who's unfamiliar with the data	3	failing to empathize with the next user who's unfamiliar with the data	no	recurring	lack of knowledge/experience	inexperience
R_1rwuSrjs7gQ6lcy	Inexperience of junior researchers	1	Inexperience of junior researchers	yes	recurring	lack of knowledge/experience	inexperience
R_1rwuSrjs7gQ6lcy	copy/paste error	1	copy/paste error	yes	serious	inattention	copy paste error
R_1UeEmajLZ4T4TwR	Too many people involved in one project. Not enough transparency	1	Too many people involved in one project. Not enough transparency	yes	recurring	project management issue	too many team members working on a project
R_1UeEmajLZ4T4TwR	different people programming the same experiment	1	different people programming the same experiment	yes	serious	project management issue	too many team members working on the same task
R_1ZdEcLWKTBdeOgV	Inexperience in data collection combined with lack of resources devoted to data collection/oversight. Over-reliance on junior team member for data collection.	1	Inexperience in data collection	no	recurring	lack of knowledge/experience	inexperience
R_1ZdEcLWKTBdeOgV	Careless/lazy management of data.	1	Careless management of data.	no	serious	carelessness	carelessness
R_1ZdEcLWKTBdeOgV	Inexperience in data collection combined with lack of resources devoted to data collection/oversight. Over-reliance on junior team member for data collection.	2	lack of resources devoted to data collection/oversight.	no	recurring	project management issue	lack of oversight
R_1ZdEcLWKTBdeOgV	Careless/lazy management of data.	2	lazy management of data.	no	serious	carelessness	laziness
R_1ZdEcLWKTBdeOgV	Inexperience in data collection combined with lack of resources devoted to data collection/oversight. Over-reliance on junior team member for data collection.	3	Over-reliance on junior team member for data collection.	no	recurring	lack of knowledge/experience	inexperience
R_22EynRiZfQKWOM7	Didn't realize what information was relevant until too late - the data only became relevant when analysis was under way.	1	Didn't realize what information was relevant until too late - the data only became relevant when analysis was under way.	yes	recurring	bad or lack of planning	lack of sufficient planning
R_23eJfXyDulGeJUx	Students not being thorough in making their data dictionaries.	1	Students not being thorough in making their data dictionaries.	yes	recurring	carelessness	not being thorough
R_23f99S8tbBeZcmr	Moved labs and questionnaire file was on a computer without internet connection	1	Moved labs and questionnaire file was on a computer without internet connection	yes	recurring	technical issue	technical problem
R_24OvWIXid68ghSc	Inadequate experience, and inadequate pre-preparation of coding scheme.	1	Inadequate experience, and	no	recurring	lack of knowledge/experience	inexperience
R_24OvWIXid68ghSc	Carelessness, lack of labelling cassettes.	1	Carelessness,	no	serious	carelessness	carelessness
R_24OvWIXid68ghSc	Inadequate experience, and inadequate pre-preparation of coding scheme.	2	inadequate pre-preparation of coding scheme.	no	recurring	bad or lack of planning	insufficient planning
R_25AfsUG4wphIkYO	Failure to use sufficient foresight to anticipate the difficulty of interpreting the datafiles after the fact (or the likely need to do this).	1	Failure to use sufficient foresight to anticipate the difficulty of interpreting the datafiles after the fact (or the likely need to do this).	yes	recurring	overconfidence	failure to anticipate the difficulty of interpreting datafiles
R_25AfsUG4wphIkYO	The code for the experiment had been edited from the code used in a previous study, and an oversight in how this should be adapted for the new experiment meant that some participant responses that should not have been possible were occurring frequently.	1	The code for the experiment had been edited from the code used in a previous study, and an oversight in how this should be adapted for the new experiment meant that some participant responses that should not have been possible were occurring frequently.	yes	serious	carelessness	oversight
R_25RcV6aMECnyYyF	RAs confused about how to enter data.	1	RAs confused about how to enter data.	yes	recurring	bad skill management	insufficient training
R_27s7Eu21Kt5yIT0	There was no time to adjust the labels	1	There was no time to adjust the labels	yes	recurring	time management issue	time pressure
R_28FWEYSvglYwL9F	poor coordination of graduate students and file naming protocols	1	poor coordination of graduate students	no	recurring	project management issue	error in team management
R_28GI4y8PGiLchXU	Sloppiness	1	Sloppiness	yes	recurring	carelessness	sloppiness
R_28GI4y8PGiLchXU	Sloppiness	1	Sloppiness	yes	serious	carelessness	sloppiness
R_28ZpvpJ7r1GU67H	Several and different data sets from the same study	1	Several and different data sets from the same study	yes	recurring	too high complexity	too complex
R_28ZpvpJ7r1GU67H	inexperience of the people introducing the data in SPSS	1	inexperience of the people introducing the data in SPSS	yes	serious	lack of knowledge/experience	inexperience
R_29tEljEKBrsztMe	there are many versions of questionnaires and one often builds on existing syntax scripts that do not fit exactly.	1	there are many versions of questionnaires and one often builds on existing syntax scripts that do not fit exactly.	yes	recurring	bad or lack of standards	error in version control
R_29tEljEKBrsztMe	Well, we trusted the machine to be consistent.  On this particular questionnaire, the coding was extremely complicated, and that too caused us to overlook the problem (and of course that the reliability was just fine)	1	Well, we trusted the machine to be consistent.	no	serious	technical issue	machine malfunction
R_29tEljEKBrsztMe	Well, we trusted the machine to be consistent.  On this particular questionnaire, the coding was extremely complicated, and that too caused us to overlook the problem (and of course that the reliability was just fine)	2	On this particular questionnaire, the coding was extremely complicated, and that too caused us to overlook the problem (and of course that the reliability was just fine)	no	serious	too high complexity	too complex task
R_2afAwJhFERuWpcR	Multiple researchers or poor identification scheme.	1	Multiple researchers	no	recurring	project management issue	multiple researchers
R_2afAwJhFERuWpcR	Multiple researchers or poor identification scheme.	2	poor identification scheme.	no	recurring	bad or lack of standards	insufficiently detailed procedure
R_2agYT2RkPZaarIL	Inattention (and inexperience) on the part of the transcriber	1	Inattention (and inexperience) on the part of the transcriber	yes	recurring	inattention	inattention
R_2agYT2RkPZaarIL	inattention	1	inattention	yes	serious	inattention	inattention
R_2aKnSakmSAQuXYg	Lack of communication within a multi-person team	1	Lack of communication within a multi-person team	yes	recurring	miscommunication	miscommunication
R_2aKnSakmSAQuXYg	Pressure to complete the required workload and perceived limited supervision of duties. (Her work was checked afterward, which she wasn't anticipating would happen.)	1	Pressure to complete the required workload and	no	serious	time management issue	too big workload
R_2aKnSakmSAQuXYg	Pressure to complete the required workload and perceived limited supervision of duties. (Her work was checked afterward, which she wasn't anticipating would happen.)	2	perceived limited supervision of duties. (Her work was checked afterward, which she wasn't anticipating would happen.)	no	serious	project management issue	insufficient oversight
R_2aQPnJKQNgJw2Ob	Technical details of the system to assign postal codes and census areas in Canada, of which our team was unaware.	1	Technical details of the system to assign postal codes and census areas in Canada, of which our team was unaware.	yes	serious	lack of knowledge/experience	lack of knowledge
R_2at1V67diUQvkc1	Poor understanding of data collection and management processes.	1	Poor understanding of data collection and management processes.	yes	recurring	lack of knowledge/experience	inexperience
R_2at1V67diUQvkc1	Inexperienced researchers at a not-for-profit organisation.	1	Inexperienced researchers at a not-for-profit organisation.	yes	serious	lack of knowledge/experience	inexperience
R_2awtub9gT0lm0Nq	Unsufficient training of the encoder (Master's student)	1	Unsufficient training of the encoder (Master's student)	yes	recurring	bad skill management	lack of training
R_2ay4ISLXNFlfXiA	Carelessness, I suppose.	1	Carelessness, I suppose.	yes	recurring	carelessness	carelessness
R_2b2hwMGWs1zscoE	workload	1	workload	yes	recurring	time management issue	time pressure
R_2B8trxy4O95LIjg	Lack of coordination	1	Lack of coordination	yes	recurring	project management issue	lack of coordination
R_2B8trxy4O95LIjg	Lack of coordination	1	Lack of coordination	yes	serious	project management issue	lack of coordination
R_2BbuTGCx18uGQHF	Miscommunication among multiple researchers	1	Miscommunication among multiple researchers	yes	recurring	miscommunication	miscommunication
R_2BgSfuqikIO1v0a	Fatigue and a poor processing pipeline.	1	Fatigue	no	recurring	physical and mental constraints	fatigue
R_2BgSfuqikIO1v0a	Several people moving data files between servers manually.	1	Several people moving data files between servers manually.	yes	serious	project management issue	too many team members doing one task
R_2BgSfuqikIO1v0a	Fatigue and a poor processing pipeline.	2	poor processing pipeline.	no	recurring	bad or lack of standards	insufficient standard procedure
R_2bOijjUlRMWYs2t	Not paying attention	1	Not paying attention	yes	recurring	inattention	inattention
R_2bQpSx7HPHcLyoX	'- non-native speaker who wants to increase consistency in text	1	'- non-native speaker who wants to increase consistency in text	yes	recurring	lack of knowledge/experience	lack of knowledge
R_2bQpSx7HPHcLyoX	"different versions of the paper where we experimented with different labels (e.g., ""higher sensitivity"" vs. ""lower threshold"")"	1	"different versions of the paper where we experimented with different labels (e.g., ""higher sensitivity"" vs. ""lower threshold"")"	yes	serious	bad or lack of standards	different versions
R_2coTxGpiZoEAjV9	The big amount of parameters to handle, in recurring simulations	1	The big amount of parameters to handle, in recurring simulations	yes	recurring	too high complexity	too complex task
R_2cu4Vcaq8fXrGGw	Carelessness, lack of experience in the student, plus assumptions that it would be in the hypothesized direction	1	Carelessness,	no	serious	carelessness	carelessness
R_2cu4Vcaq8fXrGGw	Carelessness, lack of experience in the student, plus assumptions that it would be in the hypothesized direction	2	lack of experience in the student,	no	serious	lack of knowledge/experience	inexperience
R_2cu4Vcaq8fXrGGw	Carelessness, lack of experience in the student, plus assumptions that it would be in the hypothesized direction	3	plus assumptions that it would be in the hypothesized direction	no	serious	project management issue	lack of foresight
R_2czHmrjciqTkBt0	Images were not properly stored	1	Images were not properly stored	yes	serious	technical issue	error in storing
R_2dlHcPXBYfhftFW	Relying on different individuals to do as the find fit. The solution would be that one brain supervises all activities.	1	Relying on different individuals to do as the find fit. The solution would be that one brain supervises all activities.	yes	recurring	project management issue	lack of supervision
R_2dlHcPXBYfhftFW	Disobedience/stupidity?	1	Disobedience/	no	serious	project management issue	disobedience
R_2dLSHG3yGKzKecQ	Lack of communication and attention to detail.	1	Lack of communication	no	recurring	miscommunication	lack of communication
R_2dLSHG3yGKzKecQ	Lack of communication and attention to detail.	2	Lack of attention to detail.	no	recurring	inattention	lack of attention
R_2dSg2D5VTNB7RVY	No standard present across fields	1	No standard present across fields	yes	recurring	bad or lack of standards	lack of field wise standard
R_2duJO8zk4AgeXgg	sometimes lack of knowledge, sometimes we are inattentive or tired	1	sometimes lack of knowledge	no	recurring	lack of knowledge/experience	inexperience
R_2duJO8zk4AgeXgg	inattentiveness	1	inattentiveness	yes	serious	inattention	inattentiveness
R_2duJO8zk4AgeXgg	sometimes lack of knowledge, sometimes we are inattentive or tired	2	sometimes we are inattentive	no	recurring	inattention	inattention
R_2duJO8zk4AgeXgg	sometimes lack of knowledge, sometimes we are inattentive or tired	3	sometimes we are tired	no	recurring	physical and mental constraints	tiredness
R_2dvcIJA7IFmsu14	Complexity of the experimental set-up and insufficient checks prior to running.	1	Complexity of the experimental set-up and	no	serious	lack of knowledge/experience	inexperience
R_2E6UbxqHIZGHdcc	Malfunctions	1	Malfunctions	yes	recurring	technical issue	malfunction
R_2E6UbxqHIZGHdcc	Technical causes	1	Technical causes	yes	serious	technical issue	technical problem
R_2EggCQnejEtHW3a	Graduate researchers not realizing the impact of these uninformative names when initially programming studies.	1	Graduate researchers not realizing the impact of these uninformative names when initially programming studies.	yes	recurring	lack of knowledge/experience	inexperience
R_2EggCQnejEtHW3a	Insufficient mentoring on my part.	1	Insufficient mentoring on my part.	yes	serious	bad skill management	insufficient training
R_2EGYmDTj3LV7rUU	Complexity of experimental designs, with e.g. variable timings and/or spatial locations depending on the experimental conditions.	1	Complexity of experimental designs, with e.g. variable timings and/or spatial locations depending on the experimental conditions.	yes	recurring	too high complexity	too complex task
R_2Ejl6F6HzHMaous	Simply not paying attention to details and being in a rush.	1	Simply not paying attention to details	no	recurring	inattention	inattention
R_2Ejl6F6HzHMaous	Simply not paying attention to details and being in a rush.	2	being in a rush.	no	recurring	time management issue	being in a rush
R_2eQCIvKgmCxnQis	Human error and carelessness	2	carelessness	no	serious	carelessness	carelessness
R_2EzS06GIwQj0lQn	Not anticipating needs for data analysis	1	Not anticipating needs for data analysis	yes	recurring	bad or lack of planning	error in planning
R_2f9fC66h2IIZs1w	This could be attributed to a miscommunication or lack of communication between the student and promoter: the promoter did not emphasize enough the importance or failed to provide a sufficient test of this program before data collection, and/or the student failed to implement this and was unaware of his/her fault or did not warn about it in time	1	This could be attributed to a miscommunication or lack of communication between the student and promoter: the promoter did not emphasize enough the importance or failed to provide a sufficient test of this program before data collection,	no	recurring	miscommunication	miscommunication
R_2fg0p9dQFeyFqr6	Carelessness on the part of graduathe student	1	Carelessness on the part of graduathe student	yes	serious	carelessness	carelessness
R_2fiypF20DbX0IU0	Lack of communication between data managers and me (PI) in that I failed to make clear that we need to be able to go back into the data in 1 or 5 years and still be able know what's what in the dataset.	1	Lack of communication between data managers and me (PI) in that I failed to make clear that we need to be able to go back into the data in 1 or 5 years and still be able know what's what in the dataset.	yes	recurring	miscommunication	miscommunication
R_2fiypF20DbX0IU0	Not having been thorough enough in the variable specifications.	1	Not having been thorough enough in the variable specifications.	yes	serious	carelessness	not being thorough enough
