response_id	cause_type	cause	cause_no	cause_sep	code	n	group
R_1C8fB8CBFHe5SbN	serious	NA	1	missing	missing	183	missing
R_1C9qNC1dUt7ZiSE	recurring	Sloppy analysis techniques	1	Sloppy analysis techniques	wrong analysis	1	"NA"
R_1C9qNC1dUt7ZiSE	serious	NA	1	missing	missing	183	missing
R_1CKGCablLVpWzNT	recurring	LACK OF COMMUNICATION OR MISCOMMUNICATION BETWEEN IT SUPPORT PERSON AND DATA MANAGER/STATISTICIAN	1	LACK OF COMMUNICATION	miscommunication	33	miscommunication
R_1CKGCablLVpWzNT	serious	SEE REPLY TO FIRST SUCH QUESTION	1	SEE REPLY TO FIRST SUCH QUESTION	see above	37	see above
R_1CKGCablLVpWzNT	recurring	LACK OF COMMUNICATION OR MISCOMMUNICATION BETWEEN IT SUPPORT PERSON AND DATA MANAGER/STATISTICIAN	2	MISCOMMUNICATION BETWEEN IT SUPPORT PERSON AND DATA MANAGER/STATISTICIAN	miscommunication	33	miscommunication
R_1cZWGJtCZKD1ew4	recurring	incorrect SQL queries	1	incorrect SQL queries	incorrect database code	1	"NA"
R_1cZWGJtCZKD1ew4	serious	Incorrect SQL queries, failure of care by relevant staff	1	Incorrect SQL queries	error in program coding	3	"NA"
R_1cZWGJtCZKD1ew4	serious	Incorrect SQL queries, failure of care by relevant staff	2	failure of care by relevant staff	carelessness	41	carelessness
R_1d4iz3m2nqcDwm0	recurring	human error	1	human error	human error	54	"NA"
R_1d4iz3m2nqcDwm0	serious	human error	1	human error	human error	54	"NA"
R_1ditQMNo8bzXokM	recurring	Inadequate norming within the lab on acceptable forms and levels of annotation in data files	1	Inadequate norming within the lab on acceptable forms and levels of annotation in data files	lack of standard procedures	7	bad or lack of standards
R_1ditQMNo8bzXokM	serious	Human error. The document included well over 100 interactions and one set was accidentally excluded by a graduate student.	1	Human error. The document included well over 100 interactions and one set was accidentally excluded by a graduate student.	accidental mistakes	1	inattention
R_1dLyeBiPezAXaav	recurring	Failure to check the programming code sufficiently	1	Failure to check the programming code sufficiently	failure in checking	1	"NA"
R_1dLyeBiPezAXaav	serious	Programming errors.	1	Programming errors.	programming error	16	"NA"
R_1dMSnCIjM6WCRyg	recurring	NA	1	missing	missing	183	missing
R_1dMSnCIjM6WCRyg	serious	NA	1	missing	missing	183	missing
R_1DTQz85ICC3MW9k	recurring	NA	1	missing	missing	183	missing
R_1DTQz85ICC3MW9k	serious	NA	1	missing	missing	183	missing
R_1dyHBENaRUWZjBd	recurring	Incomplete piloting/testing	1	Incomplete piloting/testing	insufficient piloting	1	"NA"
R_1dyHBENaRUWZjBd	serious	Error in how the randomization procedure was implemented	1	Error in how the randomization procedure was implemented	error in randomization	1	"NA"
R_1DzEEG1QzkdWLdl	recurring	poor programming in qualtrics	1	poor programming in qualtrics	error in programming data collector	1	"NA"
R_1DzEEG1QzkdWLdl	serious	NA	1	missing	missing	183	missing
R_1dzgIml0qeTOy3z	recurring	NA	1	missing	missing	183	missing
R_1dzgIml0qeTOy3z	serious	NA	1	missing	missing	183	missing
R_1EibulGREp2Awdg	recurring	An issue when creating survey items on Qualtrics.	1	An issue when creating survey items on Qualtrics.	error during data collector program creation	1	"NA"
R_1EibulGREp2Awdg	serious	Miscommunication/ researcher error.	1	Miscommunication/	miscommunication	33	miscommunication
R_1EibulGREp2Awdg	serious	Miscommunication/ researcher error.	2	researcher error.	researcher error	3	"NA"
R_1EKvVZl7B5pr465	recurring	'=	1	'=	irrelevant content	38	irrelevant content
R_1EKvVZl7B5pr465	serious	sampler error (sample from autopsy)	1	sampler error (sample from autopsy)	error in sampling	1	"NA"
R_1eru08S1SGWl5sm	recurring	when the coding is allready done on the online questionnaire it is confusing because we might forget that the reverse coding was automatically done and we do the reverse coding again when we work on the data base	1	when the coding is allready done on the online questionnaire it is confusing because we might forget that the reverse coding was automatically done and we do the reverse coding again when we work on the data base	insufficient documentation	18	"NA"
R_1eru08S1SGWl5sm	serious	computer crash	1	computer crash	technical failure	14	technical issue
R_1eV2on20y9CkUQr	recurring	NA	1	missing	missing	183	missing
R_1eV2on20y9CkUQr	serious	NA	1	missing	missing	183	missing
R_1EZ15sr0mldmdJS	recurring	NA	1	missing	missing	183	missing
R_1EZ15sr0mldmdJS	serious	No idea; we were unable to figure out whether the data were never recorded or what	1	No idea; we were unable to figure out whether the data were never recorded or what	do not know	4	"NA"
R_1f1ptLmJabcd2gt	recurring	too many people working on the same database. inattention	1	too many people working on the same database.	too many team members working on one task	7	project management issue
R_1f1ptLmJabcd2gt	serious	low attention and care	1	low attention and care	inattention	31	inattention
R_1f1ptLmJabcd2gt	recurring	too many people working on the same database. inattention	2	inattention	inattention	31	inattention
R_1f1ptLmJabcd2gt	serious	low attention and care	2	care	insufficient information	59	insufficient information
R_1f7yeRvfde3epEo	recurring	NA	1	missing	missing	183	missing
R_1f7yeRvfde3epEo	serious	NA	1	missing	missing	183	missing
R_1f8IXSbHxMdw6pC	recurring	NA	1	missing	missing	183	missing
R_1f8IXSbHxMdw6pC	serious	NA	1	missing	missing	183	missing
R_1fd7fjBC84Nf1XI	recurring	lack of double checking routines	1	lack of double checking routines	lack of procedures for checking	1	bad or lack of standards
R_1fd7fjBC84Nf1XI	serious	No double check routine	1	No double check routine	lack of standard procedure	6	bad or lack of standards
R_1FgF6lRVQZUd4dW	recurring	Carelessness, using incorrect/outdated scoring procedure, lack of prior experience with the task, incomplete/improper training, attempting to use a 'manual' scoring method rather than using syntax.	1	Carelessness	carelessness	41	carelessness
R_1FgF6lRVQZUd4dW	recurring	Carelessness, using incorrect/outdated scoring procedure, lack of prior experience with the task, incomplete/improper training, attempting to use a 'manual' scoring method rather than using syntax.	2	using incorrect/outdated scoring procedure	using incorrect procedure	1	bad or lack of standards
R_1FgF6lRVQZUd4dW	recurring	Carelessness, using incorrect/outdated scoring procedure, lack of prior experience with the task, incomplete/improper training, attempting to use a 'manual' scoring method rather than using syntax.	3	lack of prior experience with the task	inexperience	68	lack of knowledge/experience
R_1FgF6lRVQZUd4dW	recurring	Carelessness, using incorrect/outdated scoring procedure, lack of prior experience with the task, incomplete/improper training, attempting to use a 'manual' scoring method rather than using syntax.	4	incomplete/improper training	improper training	1	bad skill management
R_1FgF6lRVQZUd4dW	recurring	Carelessness, using incorrect/outdated scoring procedure, lack of prior experience with the task, incomplete/improper training, attempting to use a 'manual' scoring method rather than using syntax.	5	attempting to use a 'manual' scoring method rather than using syntax.	manual task handling instead of code	1	risking human error
R_1FgF6lRVQZUd4dW	serious	Carelessness.	1	Carelessness.	carelessness	41	carelessness
R_1fkEC9uIzUqHPXF	recurring	Counterbalancing scheme was based on participant numbers, but the external system added a zero to the numbers, screwing everything up.	1	Counterbalancing scheme was based on participant numbers, but the external system added a zero to the numbers, screwing everything up.	insufficient information	59	insufficient information
R_1fkEC9uIzUqHPXF	serious	PhD student being overly drastic	1	PhD student being overly drastic	overly drastic	1	"NA"
R_1FnQHiAFu95KLEA	recurring	somehow all the researchers and grad students simply missed that some items were left off the Qualtrics survey	1	somehow all the researchers and grad students simply missed that some items were left off the Qualtrics survey	leaving out important items	1	"NA"
R_1FnQHiAFu95KLEA	serious	experimenter error --did not recode items correctly---despite having a data checker	1	experimenter error --did not recode items correctly---despite having a data checker	experimenter error	2	risking human error
R_1FqSTPQf3FjsXjM	recurring	Inconsistent Rating Scales	1	Inconsistent Rating Scales	inconsistent measurement	2	bad or lack of standards
R_1FqSTPQf3FjsXjM	serious	NA	1	missing	missing	183	missing
R_1Fsku9bfzuOnHlW	recurring	File naming mistakes	1	File naming mistakes	error in file naming	2	"NA"
R_1Fsku9bfzuOnHlW	serious	We still don't know. Maybe lack of backups	1	We still don't know. Maybe lack of backups	lack of backups	1	"NA"
R_1FwvnH84InncNXX	recurring	No clue. We never analyze the scale data when this happens and often re-run the study by some other means (e.g., Prolific and/or in-person).	1	No clue. We never analyze the scale data when this happens and often re-run the study by some other means (e.g., Prolific and/or in-person).	irrelevant content	38	irrelevant content
R_1FwvnH84InncNXX	serious	We are always quick to check with each other on coding. Nothing serious has happened - that is, no paper has been published or presented to affect interpretation.	1	We are always quick to check with each other on coding. Nothing serious has happened - that is, no paper has been published or presented to affect interpretation.	irrelevant content	38	irrelevant content
R_1FzFMxxfXX2SLGw	recurring	experimenter error	1	experimenter error	experimenter error	2	risking human error
R_1FzFMxxfXX2SLGw	serious	Failing to check data carefully enough	1	Failing to check data carefully enough	insufficient testing	6	"NA"
R_1g0dAm4HvOZLwXc	recurring	NA	1	missing	missing	183	missing
R_1g0dAm4HvOZLwXc	serious	NA	1	missing	missing	183	missing
R_1g6hYU8eXreCTSC	recurring	Research meeting in which the experiment was discussed	1	Research meeting in which the experiment was discussed	insufficient information	59	insufficient information
R_1g6hYU8eXreCTSC	serious	Inappropriate communication in the research team. Insufficient pre-experiment communication.	1	Inappropriate communication in the research team.	miscommunication	33	miscommunication
R_1g6hYU8eXreCTSC	serious	Inappropriate communication in the research team. Insufficient pre-experiment communication.	2	Insufficient pre-experiment communication.	miscommunication	33	miscommunication
R_1g86ziif9LCszbc	recurring	Poor data management/study design.	1	Poor data management	data management error	1	bad or lack of standards
R_1g86ziif9LCszbc	serious	Code included a variable that resulted in patients being classified incorrectly.	1	Code included a variable that resulted in patients being classified incorrectly.	insufficient information	59	insufficient information
R_1g86ziif9LCszbc	recurring	Poor data management/study design.	2	Poor study design.	poor study design	2	"NA"
R_1GEpvVXQjiA6JFC	recurring	Unclear documentation or simple coding misstakes	1	Unclear documentation	unclear documentation	1	"NA"
R_1GEpvVXQjiA6JFC	serious	NA	1	missing	missing	183	missing
R_1GEpvVXQjiA6JFC	recurring	Unclear documentation or simple coding misstakes	2	simple coding misstakes	coding mistake	1	"NA"
R_1gi7in2zvTaVHpj	recurring	NA	1	missing	missing	183	missing
R_1gi7in2zvTaVHpj	serious	NA	1	missing	missing	183	missing
R_1gpx3ioVAlVTipo	recurring	Human errors, mistakes. We often double check and thus might find the errors, however, if such errors sometimes occur, it leads me to fear whether a mistake might have happened that we have not noticed.	1	Human errors, mistakes. We often double check and thus might find the errors, however, if such errors sometimes occur, it leads me to fear whether a mistake might have happened that we have not noticed.	human error	54	"NA"
R_1gpx3ioVAlVTipo	serious	Human error	1	Human error	human error	54	"NA"
R_1GWgjyjQjIpBIew	recurring	Sloppiness	1	Sloppiness	sloppiness	10	carelessness
R_1GWgjyjQjIpBIew	serious	being too ambitious	1	being too ambitious	being too ambitious	1	overconfidence
R_1gwrKmk8l9dBdpR	recurring	attempts to save time in the short run	1	attempts to save time in the short run	taking shortcuts	1	"NA"
R_1gwrKmk8l9dBdpR	serious	being in a hurry	1	being in a hurry	being in a hurry	4	time management issue
R_1HemYlCts4kwav2	recurring	mistake from person who recorded data	1	mistake from person who recorded data	insufficient information	59	insufficient information
R_1HemYlCts4kwav2	serious	a masterstudent made the mistake	1	a masterstudent made the mistake	insufficient information	59	insufficient information
R_1hLr7MYgQpK05AT	recurring	when we enter the data at the very beginning.	1	when we enter the data at the very beginning.	error in data entry	2	"NA"
R_1hLr7MYgQpK05AT	serious	NA	1	missing	missing	183	missing
R_1i2NaZKfSEk0NAo	recurring	NA	1	missing	missing	183	missing
R_1i2NaZKfSEk0NAo	serious	NA	1	missing	missing	183	missing
R_1IH7qhVEGwzF6pZ	recurring	To be in hurry.	1	To be in hurry.	being in a hurry	4	time management issue
R_1IH7qhVEGwzF6pZ	serious	The researcher did not thing on creating a good code.	1	The researcher did not thing on creating a good code.	insufficient information	59	insufficient information
R_1IhH5uWbd7fWbq1	recurring	NA	1	missing	missing	183	missing
R_1IhH5uWbd7fWbq1	serious	NA	1	missing	missing	183	missing
R_1IlTZYBSAO0Dcuy	recurring	Not thinking ahead and writing a data management plan.	1	Not thinking ahead and writing a data management plan.	insufficient planning	6	bad or lack of planning
R_1IlTZYBSAO0Dcuy	serious	Sloppiness by the person in charge of data cleaning, and lack of discussion on the data management process prior to data collection.	1	Sloppiness by the person in charge of data cleaning	sloppiness	10	carelessness
R_1IlTZYBSAO0Dcuy	serious	Sloppiness by the person in charge of data cleaning, and lack of discussion on the data management process prior to data collection.	2	lack of discussion on the data management process prior to data collection.	lack of planning	4	"NA"
R_1ImjMmhDv5BB0tL	recurring	Overlooking errors.	1	Overlooking errors.	oversight	3	carelessness
R_1ImjMmhDv5BB0tL	serious	NA	1	missing	missing	183	missing
R_1IWT6B2ocVRIEy7	recurring	Coding error	1	Coding error	coding error	4	"NA"
R_1IWT6B2ocVRIEy7	serious	Not applicable	1	Not applicable	irrelevant content	38	irrelevant content
R_1IXK61gu891fM53	recurring	insufficient paranoia	1	insufficient paranoia	lack of vigilance	2	inattention
R_1IXK61gu891fM53	serious	NA	1	missing	missing	183	missing
R_1jTgRy9bu3qIAQT	recurring	Inaccurate data inputting	1	Inaccurate data inputting	data entry error	3	"NA"
R_1jTgRy9bu3qIAQT	serious	Researcher error	1	Researcher error	researcher error	3	"NA"
R_1jvKqTl2Ij19jke	recurring	lack of attention	1	lack of attention	inattention	31	inattention
R_1jvKqTl2Ij19jke	serious	NA	1	missing	missing	183	missing
R_1K26DA5M0mERwZH	recurring	Programming error	1	Programming error	error in programming	1	"NA"
R_1K26DA5M0mERwZH	serious	Programming error	1	Programming error	programming error	16	"NA"
R_1K7lVatqDC1d3dz	recurring	hick-up with equipment/device-user interface	1	hick-up with equipment/device-user interface	technical failure	14	technical issue
R_1K7lVatqDC1d3dz	serious	Excessively large organization with different people at different sites performing part of the experiment.	1	Excessively large organization with different people at different sites performing part of the experiment.	miscommunication	33	miscommunication
R_1K8Ralb7H385hcB	recurring	Not following a pipeline of actions to take from data acquisition to data sharing.	1	Not following a pipeline of actions to take from data acquisition to data sharing.	not following protocol	4	carelessness
R_1K8Ralb7H385hcB	serious	See above.	1	See above.	see above	37	see above
R_1kMINu0tVdNVrjQ	recurring	The most common cause is spreading files across multiple computers and/or institutions.	1	The most common cause is spreading files across multiple computers and/or institutions.	insufficient file storing	1	"NA"
R_1kMINu0tVdNVrjQ	serious	Same as above.	1	Same as above.	see above	37	see above
R_1KoS03TB4Dmwx8K	recurring	Looking between documents made it easy to see that the right number was there, but not that it was in the wrong cell.	1	Looking between documents made it easy to see that the right number was there, but not that it was in the wrong cell.	error in checking	1	"NA"
R_1KoS03TB4Dmwx8K	serious	NA	1	missing	missing	183	missing
R_1Kp6yZnGSG4gEcP	recurring	unknown	1	unknown	unknown	10	"NA"
R_1Kp6yZnGSG4gEcP	serious	unknown	1	unknown	unknown	10	"NA"
R_1kTbPJmOD0m8h6r	recurring	Time	1	Time	time	1	"NA"
R_1kTbPJmOD0m8h6r	serious	Coding of data Name	1	Coding of data Name	insufficient information	59	insufficient information
R_1kTSdgoR3ATiihw	recurring	One case of RNG error was when we thought code was setting a seed in a particular way, but it was not. This function was poorly documented.	1	One case of RNG error was when we thought code was setting a seed in a particular way, but it was not. This function was poorly documented.	error in program code	4	"NA"
R_1kTSdgoR3ATiihw	serious	See above.	1	See above.	see above	37	see above
R_1Kx6uWGscVutS3f	recurring	Unclear labeling and before osf	1	Unclear labeling and before osf	unclear labelling	1	"NA"
R_1Kx6uWGscVutS3f	serious	NA	1	missing	missing	183	missing
R_1kY9lz7ULI6kPb3	recurring	Failure to appreciate the importance of backing up your data.	1	Failure to appreciate the importance of backing up your data.	being unaware of the potentials of the negative outcomes	1	lack of knowledge/experience
R_1kY9lz7ULI6kPb3	serious	Samething	1	Samething	see above	37	see above
R_1lAjGmRwoW52vY9	recurring	*poor supervision/management *poor collaboration *no dedicated software, databases *no guidelines	1	*poor supervision/management	insufficient supervision	5	project management issue
R_1lAjGmRwoW52vY9	serious	no tools provided by the institutions, no interest in this topic in the management	1	no tools provided by the institutions,	lack of proper tools	1	technical issue
R_1lAjGmRwoW52vY9	recurring	*poor supervision/management *poor collaboration *no dedicated software, databases *no guidelines	2	*poor collaboration	poor collaboration	1	miscommunication
R_1lAjGmRwoW52vY9	serious	no tools provided by the institutions, no interest in this topic in the management	2	no interest in this topic in the management	lack of motivation	2	carelessness
R_1lAjGmRwoW52vY9	recurring	*poor supervision/management *poor collaboration *no dedicated software, databases *no guidelines	3	*no dedicated software, databases	technical problem	6	technical issue
R_1lAjGmRwoW52vY9	recurring	*poor supervision/management *poor collaboration *no dedicated software, databases *no guidelines	4	*no guidelines	lack of standard procedure	6	bad or lack of standards
R_1lB26n6FmxVjcjF	recurring	NA	1	missing	missing	183	missing
R_1lB26n6FmxVjcjF	serious	NA	1	missing	missing	183	missing
R_1LbdeE1TkgHwlf0	recurring	Hard to say. I guess RAs sometimes forget to cross the subject ID off the list. I'm trying to automate this through the computer in the future.	1	Hard to say. I guess RAs sometimes forget to cross the subject ID off the list. I'm trying to automate this through the computer in the future.	forgetfulness	7	physical and mental constraints
R_1LbdeE1TkgHwlf0	serious	Bad communication between IT and users; IT assumed it had everything accounted for, but didn't back up other directories.	1	Bad communication between IT and users;	miscommunication	33	miscommunication
R_1LbdeE1TkgHwlf0	serious	Bad communication between IT and users; IT assumed it had everything accounted for, but didn't back up other directories.	2	IT assumed it had everything accounted for, but didn't back up other directories.	no backing up	1	"NA"
R_1LBzXSxZUeQ0CZr	recurring	Different users having different knowledge and understanding of the variables	1	Different users having different knowledge and understanding of the variables	miscommunication	33	miscommunication
R_1LBzXSxZUeQ0CZr	serious	Poor communication about data storage. Poor labelling of files	1	Poor communication about data storage.	miscommunication	33	miscommunication
R_1LBzXSxZUeQ0CZr	serious	Poor communication about data storage. Poor labelling of files	2	Poor labelling of files	poor labelling of files	1	"NA"
R_1Lez5WNMDX1hRUJ	recurring	Different people working in a dataset	1	Different people working in a dataset	too many team members working on one task	7	project management issue
R_1Lez5WNMDX1hRUJ	serious	NA	1	missing	missing	183	missing
R_1lhqYV1QwEPPpZy	recurring	NA	1	missing	missing	183	missing
R_1lhqYV1QwEPPpZy	serious	time pressure and workload (e.g., too many different projects)	1	time pressure (e.g., too many different projects)	time pressure	20	time management issue
R_1lhqYV1QwEPPpZy	serious	time pressure and workload (e.g., too many different projects)	2	workload (e.g., too many different projects)	too much workload	1	time management issue
R_1LifDMLl5WpopDp	recurring	NA	1	missing	missing	183	missing
R_1LifDMLl5WpopDp	serious	NA	1	missing	missing	183	missing
R_1LNc6THhR7JwDJ5	recurring	System crash (for losing code) and Lack of sufficient forethought on variable names	1	System crash (for losing code)	technical failure	14	technical issue
R_1LNc6THhR7JwDJ5	serious	Lack of attention to detail.	1	Lack of attention to detail.	lack of attention	3	inattention
R_1LNc6THhR7JwDJ5	recurring	System crash (for losing code) and Lack of sufficient forethought on variable names	2	Lack of sufficient forethought on variable names	lack of planning	4	"NA"
R_1LXOUF7PqQkhz6o	recurring	Lack of training and oversight of students on need for consistent coding criteria.	1	Lack of training of students on need for consistent coding criteria.	lack of training	7	bad skill management
R_1LXOUF7PqQkhz6o	recurring	Lack of training and oversight of students on need for consistent coding criteria.	2	Lack of oversight of students on need for consistent coding criteria.	lack of oversight	4	project management issue
R_1LXOUF7PqQkhz6o	serious	Research assistant did not follow protocol (used participant initials instead of participant number).	1	Research assistant did not follow protocol (used participant initials instead of participant number).	not following protocol	4	carelessness
R_1lz69PsdTmTnVVj	recurring	Lack of an organization system and clear job responsibilities	1	Lack of an organization system	lack of organization system	1	project management issue
R_1lz69PsdTmTnVVj	serious	Poor planning and not consulting with a statistician/psychometrician/data analyst specialist beforehand	1	Poor planning and	poor planning	1	bad or lack of planning
R_1lz69PsdTmTnVVj	recurring	Lack of an organization system and clear job responsibilities	2	Lack of clear job responsibilities	Lack of clear job responsibilities	1	project management issue
R_1lz69PsdTmTnVVj	serious	Poor planning and not consulting with a statistician/psychometrician/data analyst specialist beforehand	2	"not consulting with a statistician/psychometrician/data analyst specialist beforehand
"	lack of consultation	1	miscommunication
R_1M4JynyqFgfbEGn	recurring	NA	1	missing	missing	183	missing
R_1M4JynyqFgfbEGn	serious	NA	1	missing	missing	183	missing
R_1mKI2PUxRHLULTJ	recurring	laziness and lack of systematicity. or more systemic: lack of good infrastructure that would prevent such errors - they chiefly occur when working on large-scale longitudinal datasets.	1	laziness	laziness	14	carelessness
R_1mKI2PUxRHLULTJ	serious	the project took 1.5 years to collect data and was passed on from one student and lab manager to another. institutional knowledge was not always provided to the replacement.	1	the project took 1.5 years to collect data and was passed on from one student and lab manager to another. institutional knowledge was not always provided to the replacement.	miscommunication	33	miscommunication
R_1mKI2PUxRHLULTJ	recurring	laziness and lack of systematicity. or more systemic: lack of good infrastructure that would prevent such errors - they chiefly occur when working on large-scale longitudinal datasets.	2	and lack of systematicity	lack of systematicity	1	bad or lack of planning
R_1mKI2PUxRHLULTJ	recurring	laziness and lack of systematicity. or more systemic: lack of good infrastructure that would prevent such errors - they chiefly occur when working on large-scale longitudinal datasets.	3	lack of good infrastructure that would prevent such errors - they chiefly occur when working on large-scale longitudinal datasets.	lack of standard procedure	6	bad or lack of standards
R_1MQWERjeI1GSADq	recurring	Poor communication between team members and bad naming of files (ie data.xlsx, datafinal.xlsx, datafinal(1).xlsx)	1	Poor communication between team members	miscommunication	33	miscommunication
R_1MQWERjeI1GSADq	serious	Not enough power and trying to use a plan B for analysis... make it worth collecting the initial data.	1	Not enough power and trying to use a plan B for analysis... make it worth collecting the initial data.	lack of planning	4	"NA"
R_1MQWERjeI1GSADq	recurring	Poor communication between team members and bad naming of files (ie data.xlsx, datafinal.xlsx, datafinal(1).xlsx)	2	bad naming of files (ie data.xlsx, datafinal.xlsx, datafinal(1).xlsx)	poor file naming	1	"NA"
R_1mVqGcXzn9RTmbh	recurring	Original data file mistakenly overwritten after some explorative data transformation	1	Original data file mistakenly overwritten after some explorative data transformation	overwriting data	1	"NA"
R_1mVqGcXzn9RTmbh	serious	NA	1	missing	missing	183	missing
R_1mW0ThB9AoMJITt	recurring	My own sloppy record keeping and file organization.	1	My own sloppy record keeping and file organization.	lack of documentation	5	"NA"
R_1mW0ThB9AoMJITt	serious	See above.	1	See above.	see above	37	see above
R_1myhPq5ghONho9x	recurring	being inattentive because of the complexity of data analyses	1	being inattentive because of the complexity of data analyses	inattention	31	inattention
R_1myhPq5ghONho9x	serious	inattentiveness and misinformation in a publication of colleagues	1	inattentiveness and	inattention	31	inattention
R_1myhPq5ghONho9x	serious	inattentiveness and misinformation in a publication of colleagues	2	misinformation in a publication of colleagues	misinformation	1	miscommunication
R_1NCbBfTdX4Jcm6q	recurring	Software or databases which require copy and paste.	1	Software or databases which require copy and paste.	copy and paste error	3	inattention
R_1NCbBfTdX4Jcm6q	serious	Complex: ambitious student, time pressure in project, high expectations.	1	Complex: ambitious student,	overconfidence	1	overconfidence
R_1NCbBfTdX4Jcm6q	serious	Complex: ambitious student, time pressure in project, high expectations.	2	time pressure in project,	time pressure	20	time management issue
R_1NCbBfTdX4Jcm6q	serious	Complex: ambitious student, time pressure in project, high expectations.	3	high expectations.	too high expectations	1	overconfidence
R_1NDGa4iJhjM1zX9	recurring	Multiple people working on the project.	1	Multiple people working on the project.	too many team members working on one task	7	project management issue
R_1NDGa4iJhjM1zX9	serious	Multiple revisions of the instrument; use of libraries to store electronic versions	1	Multiple revisions of the instrument; use of libraries to store electronic versions	multiple versions	1	"NA"
R_1NwBZ6uZyWVD4r1	recurring	human errors	1	human errors	human error	54	"NA"
R_1NwBZ6uZyWVD4r1	serious	already asked this question	1	already asked this question	irrelevant content	38	irrelevant content
R_1nZmLTBp6dPXqgm	recurring	unsupervised PhD student's data	1	unsupervised PhD student's data	lack of supervision	11	project management issue
R_1nZmLTBp6dPXqgm	serious	Especially when the topic of research is new more background research is needed. Reading more literature would have been useful.	1	Especially when the topic of research is new more background research is needed. Reading more literature would have been useful.	inexperience	68	lack of knowledge/experience
R_1o0l1vb0QVWOutj	recurring	Simple mental error in coding.	1	Simple mental error in coding.	mental error	1	physical and mental constraints
R_1o0l1vb0QVWOutj	serious	See above.	1	See above.	see above	37	see above
R_1o7utbGjr0CiW5p	recurring	Not paying careful attention.	1	Not paying careful attention.	inattention	31	inattention
