response_id	mistake_type	mistake	mistake_no	mistake_sep	code	n	group
R_1dMSnCIjM6WCRyg	recurring	NA	1	missing	missing	125	missing
R_1dMSnCIjM6WCRyg	serious	NA	1	missing	missing	125	missing
R_1DTQz85ICC3MW9k	recurring	NA	1	missing	missing	125	missing
R_1DTQz85ICC3MW9k	serious	NA	1	missing	missing	125	missing
R_1dyHBENaRUWZjBd	recurring	Recently, despite pre-testing and piloting an online study, when some participants took the survey, errors occurred and thus we lost some fraction of the data	1	Recently, despite pre-testing and piloting an online study, when some participants took the survey, errors occurred and thus we lost some fraction of the data	software failure	8	technical/infrastructural problem
R_1dyHBENaRUWZjBd	serious	In a developmental study, the randomization was set up incorrectly, such that some participants were saw conditions multiple times erroneously. We lost ~10 participants worth of data as a result.	1	In a developmental study, the randomization was set up incorrectly, such that some participants were saw conditions multiple times erroneously. We lost ~10 participants worth of data as a result.	wrong randomization of the study	2	participant allocation error
R_1DzEEG1QzkdWLdl	recurring	Data was coded wrong and we needed to manually recode the dataset.	1	Data was coded wrong and we needed to manually recode the dataset.	value coding error	35	data coding error
R_1DzEEG1QzkdWLdl	serious	the above mentioned	1	the above mentioned	see above	40	see above
R_1dzgIml0qeTOy3z	recurring	NA	1	missing	missing	125	missing
R_1dzgIml0qeTOy3z	serious	NA	1	missing	missing	125	missing
R_1EibulGREp2Awdg	recurring	The Qualtrics Survey Software often codes variable values incorrectly and it is difficult to spot this issue in the exported SPSS dataset.	1	The Qualtrics Survey Software often codes variable values incorrectly and it is difficult to spot this issue in the exported SPSS dataset.	wrong software settings	12	wrong software or hardware settings
R_1EibulGREp2Awdg	serious	Had copied an existing Qualtrics survey and didn't realise that the panel provider had included quotas in the previous version, so half-way through data collection, the survey unexpectedly began to exclude everyone from participating (as it had exceeded the quotas that had been unintentionally included).	1	Had copied an existing Qualtrics survey and didn't realise that the panel provider had included quotas in the previous version, so half-way through data collection, the survey unexpectedly began to exclude everyone from participating (as it had exceeded the quotas that had been unintentionally included).	wrong software settings	12	wrong software or hardware settings
R_1EKvVZl7B5pr465	recurring	'=	1	'=	irrelevant content	84	irrelevant content
R_1EKvVZl7B5pr465	serious	Absence of a numerical data in a case of population sample	1	Absence of a numerical data in a case of population sample	wrong value class	2	data or file organisation error
R_1eru08S1SGWl5sm	recurring	reversed the coding of a scale	1	reversed the coding of a scale	reversed coding of scale	1	data coding error
R_1eru08S1SGWl5sm	serious	data was not stored and the computer which had the data crashed so we lossed the data	1	data was not stored and the computer which had the data crashed so we lossed the data	technical failure	21	technical/infrastructural problem
R_1eV2on20y9CkUQr	recurring	NA	1	missing	missing	125	missing
R_1eV2on20y9CkUQr	serious	NA	1	missing	missing	125	missing
R_1EZ15sr0mldmdJS	recurring	"Coding in online survey system that was created by a market research firm was unclear.  For example, 0 zero times was coded as ""1"" and 1 time was coded as ""2"".  Who does that???"	1	"Coding in online survey system that was created by a market research firm was unclear.  For example, 0 zero times was coded as ""1"" and 1 time was coded as ""2"".  Who does that???"	value coding error	35	data coding error
R_1EZ15sr0mldmdJS	serious	Lost data from a participant in a longitudinal study	1	Lost data from a participant in a longitudinal study	data loss	27	loss of materials/documentation/data
R_1f1ptLmJabcd2gt	recurring	incorrect input data, mismatch between subjects and his data because of wrong copy and paste. numbers added as text	1	incorrect input data, mismatch between subjects and his data because of wrong copy and paste.	mixing up subjects, failure to connect data to participant	2	bad connection of data points
R_1f1ptLmJabcd2gt	serious	error in merging two dataset	1	error in merging two dataset	wrong data merging	13	data selection/merging error
R_1f1ptLmJabcd2gt	recurring	incorrect input data, mismatch between subjects and his data because of wrong copy and paste. numbers added as text	2	numbers added as text	wrong value class	2	data or file organisation error
R_1f7yeRvfde3epEo	recurring	NA	1	missing	missing	125	missing
R_1f7yeRvfde3epEo	serious	NA	1	missing	missing	125	missing
R_1f8IXSbHxMdw6pC	recurring	no, too much work. this questin is too vague	1	no, too much work. this questin is too vague	irrelevant content	84	irrelevant content
R_1f8IXSbHxMdw6pC	serious	NA	1	missing	missing	125	missing
R_1fd7fjBC84Nf1XI	recurring	Computers crashing without a data base backup (twice). software programs with bugs.	1	Computers crashing without a data base backup (twice).	technical failure	21	technical/infrastructural problem
R_1fd7fjBC84Nf1XI	serious	computer crashing without a dataset backup	1	computer crashing without a dataset backup	technical failure	21	technical/infrastructural problem
R_1fd7fjBC84Nf1XI	recurring	Computers crashing without a data base backup (twice). software programs with bugs.	2	software programs with bugs.	program coding error	41	programming error
R_1FgF6lRVQZUd4dW	recurring	Coding and scoring errors on for self-report or standardized assessment instruments.	1	Coding and scoring errors on for self-report or standardized assessment instruments.	value coding error	35	data coding error
R_1FgF6lRVQZUd4dW	serious	A colleague supplied a data set containing the wrong population of participants. I had to start from scratch on a completed manuscript.	1	A colleague supplied a data set containing the wrong population of participants. I had to start from scratch on a completed manuscript.	analyzing the wrong variable	2	data selection/merging error
R_1fkEC9uIzUqHPXF	recurring	Incorrect randomization of participants to conditions.	1	Incorrect randomization of participants to conditions.	wrong randomization of the study	2	participant allocation error
R_1fkEC9uIzUqHPXF	serious	PhD student leaves the field, deletes dropbox account with all data and code. Some of it was backed up, some wasn't.	1	PhD student leaves the field, deletes dropbox account with all data and code. Some of it was backed up, some wasn't.	failure to backup	7	loss of materials/documentation/data
R_1FnQHiAFu95KLEA	recurring	questions were dropped by a standard questionnaire	1	questions were dropped by a standard questionnaire	not including items in a questionnaire	1	oversight in study design or measurement
R_1FnQHiAFu95KLEA	serious	Data were not coded properly for a study variable, which led to 3 minor retractions	1	Data were not coded properly for a study variable, which led to 3 minor retractions	value coding error	35	data coding error
R_1FqSTPQf3FjsXjM	recurring	Data not re-coded	1	Data not re-coded	value coding error	35	data coding error
R_1FqSTPQf3FjsXjM	serious	NA	1	missing	missing	125	missing
R_1Fsku9bfzuOnHlW	recurring	Over riding current files by old ones	1	Over riding current files by old ones	overwriting files	2	version control error
R_1Fsku9bfzuOnHlW	serious	Losing a full project	1	Losing a full project	losing a full project	1	loss of materials/documentation/data
R_1FwvnH84InncNXX	recurring	We mostly run into problems with Qualtrics. For example, we will program a questionnaire to be on a 7-point scale and the program will put it on a 15-point scale. Or, questions will be programmed in a set order and Qualtrics will change the order that the questions are presented.	1	We mostly run into problems with Qualtrics. For example, we will program a questionnaire to be on a 7-point scale and the program will put it on a 15-point scale.	wrong software settings	12	wrong software or hardware settings
R_1FwvnH84InncNXX	serious	I have a certain way of dummy coding in that the experimental condition is coded as a zero while the control condition is coded as a one. A graduate student who I work with prefers the opposite. This has caused some problems.	1	I have a certain way of dummy coding in that the experimental condition is coded as a zero while the control condition is coded as a one. A graduate student who I work with prefers the opposite. This has caused some problems.	value coding error	35	data coding error
R_1FwvnH84InncNXX	recurring	We mostly run into problems with Qualtrics. For example, we will program a questionnaire to be on a 7-point scale and the program will put it on a 15-point scale. Or, questions will be programmed in a set order and Qualtrics will change the order that the questions are presented.	2	We mostly run into problems with Qualtrics. Questions will be programmed in a set order and Qualtrics will change the order that the questions are presented.	software failure	8	technical/infrastructural problem
R_1FzFMxxfXX2SLGw	recurring	Confusion about which files - e.g., naming files in correctly, confusion about which files correspond to which condition	1	Confusion about which files - e.g., naming files in correctly	non-transparent file naming	2	ambiguous naming/defining of data
R_1FzFMxxfXX2SLGw	serious	Failed to have stimulus presentation software record one of the dependent variables of interest	1	Failed to have stimulus presentation software record one of the dependent variables of interest	wrong software settings	12	wrong software or hardware settings
R_1FzFMxxfXX2SLGw	recurring	Confusion about which files - e.g., naming files in correctly, confusion about which files correspond to which condition	2	confusion about which files correspond to which condition	non-transparent file naming	2	ambiguous naming/defining of data
R_1g0dAm4HvOZLwXc	recurring	The only identified one is collecting survey data on an online platform where some responses overwrote earlier responses in the same survey. This was with qualtrics, the platform you used, by including several times the same block in the survey flow...	1	The only identified one is collecting survey data on an online platform where some responses overwrote earlier responses in the same survey. This was with qualtrics, the platform you used, by including several times the same block in the survey flow...	wrong software settings	12	wrong software or hardware settings
R_1g0dAm4HvOZLwXc	serious	NA	1	missing	missing	125	missing
R_1g6hYU8eXreCTSC	recurring	Confusion on details of measurement when different experimenters conducted the experiment	1	Confusion on details of measurement when different experimenters conducted the experiment	ambiguous data collection protocol; not following protocol	1	deviation from the protocol
R_1g6hYU8eXreCTSC	serious	Inappropriate labelling of participants leading to confusion when aggregating data from different sources	1	Inappropriate labelling of participants leading to confusion when aggregating data from different sources	mixing up participants; connecting data to participant	1	bad connection of data points
R_1g86ziif9LCszbc	recurring	Lack of variable validation allowing intended numeric variable fields to contain text, resulting in the variable to be formatted as character instead of numeric.	1	Lack of variable validation allowing intended numeric variable fields to contain text, resulting in the variable to be formatted as character instead of numeric.	no variable validation, wrong value class	1	oversight in study design or measurement
R_1g86ziif9LCszbc	serious	Code written to classify disease location, behavior, and extent was incorrect.	1	Code written to classify disease location, behavior, and extent was incorrect.	program coding error	41	programming error
R_1GEpvVXQjiA6JFC	recurring	"Unclear labels and ""wrong"" or unclear reference category in econometric analysis"	1	Unclear labels in econometric analysis	non-transparent variable naming	6	ambiguous naming/defining of data
R_1GEpvVXQjiA6JFC	serious	Cannot recall any serious thing	1	Cannot recall any serious thing	irrelevant content	84	irrelevant content
R_1GEpvVXQjiA6JFC	recurring	"Unclear labels and ""wrong"" or unclear reference category in econometric analysis"	2	"""wrong"" or unclear reference category in econometric analysis"	wrong category name	1	ambiguous naming/defining of data
R_1gi7in2zvTaVHpj	recurring	can't recall any examples	1	can't recall any examples	irrelevant content	84	irrelevant content
R_1gi7in2zvTaVHpj	serious	NA	1	missing	missing	125	missing
R_1gpx3ioVAlVTipo	recurring	I see the biggest risk in the first phase when you (often alone, would be better to be two so that one or the other might notice mistakes more easily) prepare the data for analysis; e.g. preparations/calculations of variables with large data sets. I find this a difficult and time consuming task, with potential for human errors. We try to document the steps and use syntaxes, but still, I find it difficult to document in such a way that it would be easy enough to retrace all steps in complex cases. Also, the work load and stress increase the risk for mistakes.	1	I see the biggest risk in the first phase when you (often alone, would be better to be two so that one or the other might notice mistakes more easily) prepare the data for analysis; e.g. preparations/calculations of variables with large data sets. I find this a difficult and time consuming task, with potential for human errors. We try to document the steps and use syntaxes, but still, I find it difficult to document in such a way that it would be easy enough to retrace all steps in complex cases. Also, the work load and stress increase the risk for mistakes.	data processing error	2	wrong data processing/analysis
R_1gpx3ioVAlVTipo	serious	A research assistant collecting the data used by mistake cut-copy instead of copy-paste from the data file to her USB stick, which she then succeeded to put in the washing machine together with her jeans, resulting in significant loss of data. As a result, we haven't published data from that project.	1	A research assistant collecting the data used by mistake cut-copy instead of copy-paste from the data file to her USB stick, which she then succeeded to put in the washing machine together with her jeans, resulting in significant loss of data. As a result, we haven't published data from that project.	failure to backup	7	loss of materials/documentation/data
R_1GWgjyjQjIpBIew	recurring	often the data collection is handled by students, as part of their curriculum. In my experience many data mistakes are made here, for example wrong numbering of subjects (e.g., duplicate); parts of data that are missing for unknown reasons, etc.  I only discover this once the data set is handled over to me (as supervisor) when I want to use the data for publication.	1	often the data collection is handled by students, as part of their curriculum. In my experience many data mistakes are made here, for example wrong numbering of subjects (e.g., duplicate);	ambiguous participant identifier	8	ambiguous naming/defining of data
R_1GWgjyjQjIpBIew	serious	maybe unrelated, but a PhD of mine student collected way too much data on elderly participants. We could have known that we would be unable to analyze it all, so a big data set got collected but nobody had time to analyze and report it.  the impact was unnecessary use of resources (expensive recording equipment) and time / burden for the participants.	1	maybe unrelated, but a PhD of mine student collected way too much data on elderly participants. We could have known that we would be unable to analyze it all, so a big data set got collected but nobody had time to analyze and report it.  the impact was unnecessary use of resources (expensive recording equipment) and time / burden for the participants.	irrelevant content	84	irrelevant content
R_1GWgjyjQjIpBIew	recurring	often the data collection is handled by students, as part of their curriculum. In my experience many data mistakes are made here, for example wrong numbering of subjects (e.g., duplicate); parts of data that are missing for unknown reasons, etc.  I only discover this once the data set is handled over to me (as supervisor) when I want to use the data for publication.	2	parts of data that are missing for unknown reasons, etc. I only discover this once the data set is handled over to me (as supervisor) when I want to use the data for publication.	missing data	2	loss of materials/documentation/data
R_1gwrKmk8l9dBdpR	recurring	Uninformative labels which prevented using old datasets, Reverse scoring items more than one times and difficult to find out the original data	1	Uninformative labels which prevented using old datasets.	non transparent file naming	1	ambiguous naming/defining of data
R_1gwrKmk8l9dBdpR	serious	improper reverse of negatively worded items	1	improper reverse of negatively worded items	value coding error	35	data coding error
R_1gwrKmk8l9dBdpR	recurring	Uninformative labels which prevented using old datasets, Reverse scoring items more than one times and difficult to find out the original data	2	Reverse scoring items more than one times and difficult to find out the original data	mistake in reverse coding items	1	data coding error
R_1HemYlCts4kwav2	recurring	Wrong data input, wrong identifier for data file	1	Wrong data input,	data entry error	26	data input error
R_1HemYlCts4kwav2	serious	a file was updated with an old version of a paradigm and we had to exclude the complete run from the analysis, because we just realized after recording	1	a file was updated with an old version of a paradigm and we had to exclude the complete run from the analysis, because we just realized after recording	using the wrong version	6	version control error
R_1HemYlCts4kwav2	recurring	Wrong data input, wrong identifier for data file	2	wrong identifier for data file	using wrong data identifier	1	ambiguous naming/defining of data
R_1hLr7MYgQpK05AT	recurring	decimal point goes to the wrong way.	1	decimal point goes to the wrong way.	writing the decimal point at the wrong place	1	data input error
R_1hLr7MYgQpK05AT	serious	NA	1	missing	missing	125	missing
R_1i2NaZKfSEk0NAo	recurring	No data mistakes at this time	1	No data mistakes at this time	irrelevant content	84	irrelevant content
R_1i2NaZKfSEk0NAo	serious	NA	1	missing	missing	125	missing
R_1IH7qhVEGwzF6pZ	recurring	Mistakes when we calculate factors.	1	Mistakes when we calculate factors.	wrong analysis	13	wrong data processing/analysis
R_1IH7qhVEGwzF6pZ	serious	The code assigned to participants was a bit confusing.	1	The code assigned to participants was a bit confusing.	ambiguous participant identifier	8	ambiguous naming/defining of data
R_1IhH5uWbd7fWbq1	recurring	None that I can remember	1	None that I can remember	irrelevant content	84	irrelevant content
R_1IhH5uWbd7fWbq1	serious	NA	1	missing	missing	125	missing
R_1IlTZYBSAO0Dcuy	recurring	Uninformative variable names combined with a low quality codebook.	1	Uninformative variable names combined with a low quality codebook.	non-transparent variable naming	6	ambiguous naming/defining of data
R_1IlTZYBSAO0Dcuy	serious	Physically deleting data from from participants not eligible for our study (rather than typing code to remove them), and not saving original raw data.	1	Physically deleting data from from participants not eligible for our study (rather than typing code to remove them), and not saving original raw data.	deleting data	3	loss of materials/documentation/data
R_1ImjMmhDv5BB0tL	recurring	Programming errors in code (we use MATLAB) for analyzing data.	1	Programming errors in code (we use MATLAB) for analyzing data.	program coding error	41	programming error
R_1ImjMmhDv5BB0tL	serious	NA	1	missing	missing	125	missing
R_1IWT6B2ocVRIEy7	recurring	Plotting	1	Plotting	plotting mistake	1	wrong reporting
R_1IWT6B2ocVRIEy7	serious	Nothing	1	Nothing	irrelevant content	84	irrelevant content
R_1IXK61gu891fM53	recurring	can't remember one, other than temporarily losing a dataset or results set	1	can't remember one, other than temporarily losing a dataset or results set	data loss	27	loss of materials/documentation/data
R_1IXK61gu891fM53	serious	? can't understand question	1	? can't understand question	irrelevant content	84	irrelevant content
R_1jTgRy9bu3qIAQT	recurring	There was a data error inputting the wrong information for one of the variables	1	There was a data error inputting the wrong information for one of the variables	value input error	3	data input error
R_1jTgRy9bu3qIAQT	serious	Incorrect use of syntax to make new variables	1	Incorrect use of syntax to make new variables	program coding error	41	programming error
R_1jvKqTl2Ij19jke	recurring	inversion of condition labels during processing	1	inversion of condition labels during processing	mixing up variable labels	1	ambiguous naming/defining of data
R_1jvKqTl2Ij19jke	serious	NA	1	missing	missing	125	missing
R_1K26DA5M0mERwZH	recurring	Transformation of a variable	1	Transformation of a variable	insufficient information	30	insufficient information
R_1K26DA5M0mERwZH	serious	Transformation of a variable	1	Transformation of a variable	insufficient information	30	insufficient information
R_1K7lVatqDC1d3dz	recurring	data loss due to storage error	1	data loss due to storage error	technical failure	21	technical/infrastructural problem
R_1K7lVatqDC1d3dz	serious	A contracted external CRO messed up two experimental groups.	1	A contracted external CRO messed up two experimental groups.	mixing up conditions	5	participant allocation error
R_1K8Ralb7H385hcB	recurring	Security issues (e.g., sharing confidential information via email, instead of anonymizing participants)	1	Security issues (e.g., sharing confidential information via email, instead of anonymizing participants)	sharing confidential information	1	violation in ethics
R_1K8Ralb7H385hcB	serious	The one mentioned above.	1	The one mentioned above.	see above	40	see above
R_1kMINu0tVdNVrjQ	recurring	The most common error is tracking down versions data files, ensuring that the most up-to-date file is being analyzed or shared.	1	The most common error is tracking down versions data files, ensuring that the most up-to-date file is being analyzed or shared.	using the wrong version of data	48	version control error
R_1kMINu0tVdNVrjQ	serious	Same as above.	1	Same as above.	see above	40	see above
R_1KoS03TB4Dmwx8K	recurring	Journal transposed numbers in a manuscript table.  We didn't catch it during proofing.	1	Journal transposed numbers in a manuscript table.  We didn't catch it during proofing.	not catching mistake during proofing	1	wrong reporting
R_1KoS03TB4Dmwx8K	serious	same as above	1	same as above	see above	40	see above
R_1Kp6yZnGSG4gEcP	recurring	corruption of data files	1	corruption of data files	corruption of data files	2	wrong data processing/analysis
R_1Kp6yZnGSG4gEcP	serious	corruption of data files	1	corruption of data files	corruption of data files	2	wrong data processing/analysis
R_1kTbPJmOD0m8h6r	recurring	Copy from worksheets to eCRF	1	Copy from worksheets to eCRF	copy paste error	26	data transfer error
R_1kTbPJmOD0m8h6r	serious	Old version of database	1	Old version of database	using the wrong version of data	48	version control error
R_1kTSdgoR3ATiihw	recurring	I would guess the most frequent cases are never detected.  I have noticed common mistakes in either (a) joining data or (b) random number generation (RNG).	1	I would guess the most frequent cases are never detected.  I have noticed common mistakes in either (a) joining data	wrong data merging	13	data selection/merging error
R_1kTSdgoR3ATiihw	serious	That same error I described above (error with seeding of random number generator, RNG).	1	That same error I described above (error with seeding of random number generator, RNG).	see above	40	see above
R_1kTSdgoR3ATiihw	recurring	I would guess the most frequent cases are never detected.  I have noticed common mistakes in either (a) joining data or (b) random number generation (RNG).	2	I would guess the most frequent cases are never detected. I have noticed common mistakes in (b) random number generation (RNG).	mistake in random number generation	1	programming error
R_1Kx6uWGscVutS3f	recurring	Multiple versions of a data file were kept and it took hours to later identify the final copy with all information.	1	Multiple versions of a data file were kept and it took hours to later identify the final copy with all information.	non-transparent datafile naming	1	ambiguous naming/defining of data
R_1Kx6uWGscVutS3f	serious	NA	1	missing	missing	125	missing
R_1kY9lz7ULI6kPb3	recurring	Nope!  I am a data ninja! This is probably no help to your study. I obsess about my data.  I took this survey because I have data catastrophes.  Before using qaulltrics, I used my own servers to collect data and I was hacked destroying months of data.  I also had a hard drive crash and nooooooo backup of my data so then I eneded up losing years of data.	1	Nope!  I am a data ninja! This is probably no help to your study. I obsess about my data.  I took this survey because I have data catastrophes.  Before using qaulltrics, I used my own servers to collect data and I was hacked destroying months of data.	loosing data, hacked storage	1	loss of materials/documentation/data
R_1kY9lz7ULI6kPb3	serious	I thought I did?	1	I thought I did?	irrelevant content	84	irrelevant content
R_1kY9lz7ULI6kPb3	recurring	Nope!  I am a data ninja! This is probably no help to your study. I obsess about my data.  I took this survey because I have data catastrophes.  Before using qaulltrics, I used my own servers to collect data and I was hacked destroying months of data.  I also had a hard drive crash and nooooooo backup of my data so then I eneded up losing years of data.	2	I also had a hard drive crash and nooooooo backup of my data so then I eneded up losing years of data.	technical failure	21	technical/infrastructural problem
