StartDate	EndDate	Status	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	DistributionChannel	UserLanguage	inform	general_frequency	recurring_story	recurring_cause	recurring_frequency	recurring_serious	recurring_outcome	recurring_outcome_6_TEXT	serious_story	serious_cause	serious_serious	serious_outcome	serious_outcome_6_TEXT	field	years	comment
2018-11-26 17:28:01	2018-11-26 17:32:07	IP Address	100	245	True	2018-11-26 17:32:07	R_DuXE6py2mbqw7qV	email	EN	Yes	"Low
Occurs in some of the projects"	Wrong analysis	User error or inexperience	"Low
Occurs in some of the projects"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	Wrong data used in part of a figure	Haste	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	frustration	NA	other	20	NA
2018-11-27 02:09:46	2018-11-27 02:15:41	IP Address	100	355	True	2018-11-27 02:15:42	R_1cZWGJtCZKD1ew4	email	EN	Yes	"Very Low
Occurs never or rarely"	Mismatching due to incorrect SQL queries	incorrect SQL queries	"Very Low
Occurs never or rarely"	"Major
Great project delay and/or money loss. Affecting some conclusions of the article. A considerable level of frustration.
Example: Have to redo the whole data collection."	other	duplication of effort - potential for erroneous conclusions	Mismatch of longitudinal data - attribution of later values to the wrong people.	Incorrect SQL queries, failure of care by relevant staff	"Major
Great project delay and/or money loss. Affecting some conclusions of the article. A considerable level of frustration.
Example: Have to redo the whole data collection."	other	duplication of effort	methodology and statistics	30	There is an inherent bias in this study as we can speak only of error that we have identified.  I have been worked on other data with error but unless I identify them I don't see them as being in error.
2018-11-26 15:24:46	2018-11-28 04:49:18	IP Address	100	134672	True	2018-11-28 04:49:18	R_2Qy5UUJfVHXoWZV	email	EN	Yes	"Low
Occurs in some of the projects"	We have used the old dataset or have deleted important data from the database	lack of proper attention and difficulties in management of numerous SPSS data files	"Low
Occurs in some of the projects"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	We have combined a large dataset but erroneously deleted a number of  important variables	The lack of proper consideration, reluctance to manage large datasets, some difficulty with combining SPSS files	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	personality psychology	28	NA
2018-11-30 11:17:48	2018-11-30 11:25:17	IP Address	100	448	True	2018-11-30 11:25:17	R_3dMrKvR94hccB6c	email	EN	Yes	"Low
Occurs in some of the projects"	Not well documented data recording, recording not according to protocol.	Problems with training the experimenter.	"Low
Occurs in some of the projects"	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	other	financial and time loss	One experimenter performed data collection not according to the protocol, which was detected after several weeks and which led to uninterpretable data in almost half of the hitherto recorded subjects.	Experimenter was too confident...	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	other	financial and time loss	neurophysiology and physiological psychology	15	Good luck with the survey! :-)
2018-11-30 11:23:41	2018-11-30 11:33:00	IP Address	100	558	True	2018-11-30 11:33:00	R_25AfsUG4wphIkYO	email	EN	Yes	"Low
Occurs in some of the projects"	Non-transparent labelling of datafiles	Failure to use sufficient foresight to anticipate the difficulty of interpreting the datafiles after the fact (or the likely need to do this).	"Moderate
Occurs in half of the projects"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	Not actually my team, but in a collaboration I have been involved in a coding error led to an experiment having to be re-run.	The code for the experiment had been edited from the code used in a previous study, and an oversight in how this should be adapted for the new experiment meant that some participant responses that should not have been possible were occurring frequently.	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	time loss	NA	experimental and cognitive psychology	20	NA
2018-11-30 11:27:48	2018-11-30 11:34:11	IP Address	100	383	True	2018-11-30 11:34:11	R_3HOJBmqA8Qj5Vik	email	EN	Yes	"Low
Occurs in some of the projects"	Some subject did not respond to all queries and we had no checks in place to prevent this	Less than optimal procedure	"Low
Occurs in some of the projects"	"Insignificant
Minutes of time loss. Insignificant financial loss. No effect on conclusions.
Example: Occasional typos in the variable names"	other	Unnecessary data loss	NA	NA	NA	NA	NA	other	15	I am a bit surprised that 'Frustration' is a response option. That may occur but I do not see the relevance, really?  Also, I was expecting questions about mistakes in the analyses but these appear to be lacking. I have had two occasions were analyses mistakes were discovered during the review process and could luckily be corrected.
2018-11-30 11:58:32	2018-11-30 12:11:51	IP Address	100	798	True	2018-11-30 12:11:51	R_RLJj4PkFNDEdYit	email	EN	Yes	"Very Low
Occurs never or rarely"	Wrong coding of missing data	Being in a hurry	"Very Low
Occurs never or rarely"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	Same as above	Same as above	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	neurophysiology and physiological psychology	20	NA
2018-11-30 13:15:47	2018-11-30 13:22:24	IP Address	100	397	True	2018-11-30 13:22:25	R_xa49SUkv3DKQme5	email	EN	Yes	"Low
Occurs in some of the projects"	Coding errors in experimental paradigms preventing parts of the data from being sampled.	Coding errors and usually lack of pilot testing.	"Low
Occurs in some of the projects"	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	time loss	NA	Coding error prevented data collection from an important variable for a whole experiment with 50 participants. The data had to be discarded.	A coding error.	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	time loss	NA	experimental and cognitive psychology	16	NA
2018-11-30 13:57:52	2018-11-30 14:05:13	IP Address	100	440	True	2018-11-30 14:05:13	R_1Fsku9bfzuOnHlW	email	EN	Yes	"Low
Occurs in some of the projects"	Over riding current files by old ones	File naming mistakes	"Moderate
Occurs in half of the projects"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	other	Both time lost and Lord of frustration	Losing a full project	We still don't know. Maybe lack of backups	"Extreme
Project failure. Serious time and/or money loss. Strongly affecting the central conclusion of the article. Damaged professional reputation.
Example: Article withdrawal."	other	The project was scrapped	other	27	Would like to read your results
2018-11-30 14:11:26	2018-11-30 14:14:50	IP Address	100	203	True	2018-11-30 14:14:51	R_31cTpd46NEwANvI	email	EN	Yes	"Very Low
Occurs never or rarely"	typos	human error. But our normal process of cross checking detects such errors.	"Very Low
Occurs never or rarely"	"Insignificant
Minutes of time loss. Insignificant financial loss. No effect on conclusions.
Example: Occasional typos in the variable names"	time loss	NA	same as above	same	"Insignificant
Minutes of time loss. Insignificant financial loss. No effect on conclusions.
Example: Occasional typos in the variable names"	time loss	NA	clinical psychology	47	NA
2018-11-30 14:08:37	2018-11-30 14:38:10	IP Address	100	1772	True	2018-11-30 14:38:10	R_2AF6qvxadkDoTSW	email	EN	Yes	"High
Occurs in most of the projects"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	methodology and statistics	1	NA
2018-11-30 14:41:35	2018-11-30 14:47:11	IP Address	100	336	True	2018-11-30 14:47:11	R_XQWU5837JcirPJD	email	EN	Yes	"High
Occurs in most of the projects"	We realized that we had been working on the wrong version of a dataset.	confusion over e-mails	"Low
Occurs in some of the projects"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	the one mentioned before	the reason mentioned before	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	developmental and educational psychology	14	NA
2018-11-30 15:20:32	2018-11-30 15:26:22	IP Address	100	349	True	2018-11-30 15:26:22	R_beZArZ7io7gtZKh	email	EN	Yes	"Low
Occurs in some of the projects"	I do a lot of data reduction and summary in Excel. On occasion, Excel formulas are applied incorrectly or get copied incorrectly.	Researcher fatigue or unwillingness to double-check the accuracy of formulas.	"Low
Occurs in some of the projects"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	I've learned to double- and triple-check the data. For instance, before every dataset I'm writing up for publication I re-analyze the data from scratch.	N/A	NA	NA	NA	experimental and cognitive psychology	18	There is a difference between mistakes that are caught and mistakes that aren't caught. Your survey appears to address the former only, which I assume will be corrected in most cases, but it is the latter kind that I'd be most interested in learning more about. Thank you!
2018-11-30 16:42:17	2018-11-30 16:47:32	IP Address	100	315	True	2018-11-30 16:47:32	R_T4VDquP5brp47AZ	email	EN	Yes	"Very Low
Occurs never or rarely"	Data coding variables were mixed up, and to be sure of no mistakes, we had to have RAs recode all of the data.	RA accidentally changed the variable name in excel spreadsheet	"Very Low
Occurs never or rarely"	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	time loss	NA	My fellow grad-student forget to collect gender data and had to throw out an entire term's worth of data.	Lack of attention to detail in Qualtrics survey design	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	time loss	NA	social psychology	5	NA
2018-11-30 16:49:56	2018-11-30 17:22:17	IP Address	100	1940	True	2018-11-30 17:22:17	R_1ODLj4FHdxhK3G1	email	EN	Yes	"Low
Occurs in some of the projects"	Uninformative variable names, unidentifiable whether already recoded, calculating sums instead of means, doing this based on column numbers instead of variable names... etc.	New PhD students did not know the established work group standards	"Low
Occurs in some of the projects"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	other	All except of second	One Data-Prep Step falsely deleted a third of the cases of interest	Stupid dummy variable	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	other	All except of second	personality psychology	5	NA
2018-11-30 17:22:30	2018-11-30 17:27:07	IP Address	100	276	True	2018-11-30 17:27:07	R_31oXJfKSNMz4pNg	email	EN	Yes	"Low
Occurs in some of the projects"	Turning on the “select data” function in SPSS and forgetting to turn it off when analysing the full data set	Carelessness and forgetfulness	"Low
Occurs in some of the projects"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	erroneous conclusion	NA	Reported descriptive results in a published table that were for a subset of data instead of full sample	Forgetting to turn off the “select data” filter in SPSS	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	erroneous conclusion	NA	social psychology	20	NA
2018-11-30 18:15:25	2018-11-30 18:26:17	IP Address	100	652	True	2018-11-30 18:26:18	R_1o7utbGjr0CiW5p	email	EN	Yes	"Very Low
Occurs never or rarely"	Coded a subject's data with an incorrect code number.	Not paying careful attention.	"Very Low
Occurs never or rarely"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	The axes on a graph were incorrectly labeled in a publication.	We did not carefully proof the manuscript before submission. We were able to correct the error in a subsequent errata note in the next issue.	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	frustration	NA	experimental and cognitive psychology	32	"The errors in which you seem to be interested here can be considered honest mistakes, rather than intentional ones designed to commit fraud. Do you make any distinction? Also, what about ""one-shot"" studies with low power that are difficult to replicate?"
2018-11-30 19:52:43	2018-11-30 19:55:33	IP Address	100	169	True	2018-11-30 19:55:34	R_2YSaYiPeTrGttp8	email	EN	Yes	"Moderate
Occurs in half of the projects"	Error in the analysis code.	Programming bugs	"Moderate
Occurs in half of the projects"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	RA had been inputting data by hand incorrectly and this all had to be redone.	Improperly training RA	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	time loss	NA	other	10	Seems very focused on experimental mistakes. Only about a third of my projects are experiments, and that's high for my field.
2018-11-30 22:55:33	2018-11-30 22:59:15	IP Address	100	221	True	2018-11-30 22:59:15	R_0Jku2nGizREQbhn	email	EN	Yes	"Very Low
Occurs never or rarely"	Confusing variable labels	Te	"Moderate
Occurs in half of the projects"	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	time loss	NA	Computer not recording data diluting data collection	Programing error	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	frustration	NA	social psychology	30	NA
2018-12-01 02:31:18	2018-12-01 02:39:50	IP Address	100	512	True	2018-12-01 02:39:51	R_2TzanZPigM2xVuV	email	EN	Yes	"Very Low
Occurs never or rarely"	I have only had one mistake -- 25 years ago. Long story (of course), once I learned about the mistake, I threw away the data and collected it properly.	New to PhD students, I gave too much discretion to a student. Once I figured out what happened, I threw away the data away and started over. Lesson learned.	"Very Low
Occurs never or rarely"	"Major
Great project delay and/or money loss. Affecting some conclusions of the article. A considerable level of frustration.
Example: Have to redo the whole data collection."	time loss	NA	None	NA	NA	NA	NA	other	35	My experience had nothing to do with fraud or any such thing. It was simply a mistake. It really was no big deal. We are human....
2018-12-01 09:13:48	2018-12-01 09:21:07	IP Address	100	438	True	2018-12-01 09:21:07	R_2at1V67diUQvkc1	email	EN	Yes	"Low
Occurs in some of the projects"	Poor variable naming. Mistakes in converting wide to long data formats due to using copy and paste.	Poor understanding of data collection and management processes.	"Low
Occurs in some of the projects"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	Longitudinal data collected with no way of linking repeated measures to individual participants.	Inexperienced researchers at a not-for-profit organisation.	"Extreme
Project failure. Serious time and/or money loss. Strongly affecting the central conclusion of the article. Damaged professional reputation.
Example: Article withdrawal."	other	Unable to use the data	clinical psychology	10	A much needed study!
2018-12-02 17:42:05	2018-12-02 17:48:21	IP Address	100	375	True	2018-12-02 17:48:21	R_1QJxQZXirFtXONG	email	EN	Yes	"Moderate
Occurs in half of the projects"	lost data	due to technical/software problems	"Low
Occurs in some of the projects"	"Major
Great project delay and/or money loss. Affecting some conclusions of the article. A considerable level of frustration.
Example: Have to redo the whole data collection."	time loss	NA	we also lost complete data sets after responsible researcher left univ	we forgot to safe the data before the PC was killed by a technician	"Major
Great project delay and/or money loss. Affecting some conclusions of the article. A considerable level of frustration.
Example: Have to redo the whole data collection."	frustration	NA	experimental and cognitive psychology	25	NA
2018-11-30 11:06:13	2018-12-02 20:33:11	IP Address	100	206818	True	2018-12-02 20:33:13	R_b7t6V0jFlrRqXzr	email	EN	Yes	"Low
Occurs in some of the projects"	I cannot remember any that had consequences	NA	"Very Low
Occurs never or rarely"	"Insignificant
Minutes of time loss. Insignificant financial loss. No effect on conclusions.
Example: Occasional typos in the variable names"	frustration	NA	NA	NA	NA	NA	NA	social psychology	10	NA
2018-12-03 08:13:41	2018-12-03 08:18:24	IP Address	100	282	True	2018-12-03 08:18:25	R_3qr2ZreTjyLiVlU	email	EN	Yes	"Low
Occurs in some of the projects"	Incorrect values were entered when transferring data from paper-pencil survey into SPSS files.	Human error.	"Moderate
Occurs in half of the projects"	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	frustration	NA	N/A	N/A	NA	NA	NA	developmental and educational psychology	8	NA
2018-12-03 13:48:49	2018-12-03 14:13:06	IP Address	100	1457	True	2018-12-03 14:13:07	R_3ej0du4jNp47nCF	email	EN	Yes	"Low
Occurs in some of the projects"	The data-related mistakes are often very different: from missing to code a relevant variable to errors in a script. In the vast majority of cases the errors are detected during the piloting period and are corrected for the final experiment.	In almost all cases this happens when projects are handled by Master students or first year PhD students. A much more specified protocol, and in written form, of how to prepare an experimental paradigm, the different aspect to double check before running and while running the subjects would avoid these errors.	"Low
Occurs in some of the projects"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	A post-doc researcher in the team did errors at several stages of a complex project combining different imaging techniques (order of the protocol, analysis that were used for the second stage of the protocol, etc.).	The post-doc was expert in the main technique used but not on the topic and on the other imaging technique used. He was trained on the new technique for a few subjects but more supervision would have been necessary through the whole process due to these reasons.	"Major
Great project delay and/or money loss. Affecting some conclusions of the article. A considerable level of frustration.
Example: Have to redo the whole data collection."	frustration	NA	experimental and cognitive psychology	15	NA
2018-12-03 15:24:09	2018-12-03 15:27:09	IP Address	100	180	True	2018-12-03 15:27:09	R_cI8mWxOvlaSvaSZ	email	EN	Yes	"Very Low
Occurs never or rarely"	Coding manual being hard to decipher, or getting lost	little time taken to document variables properly	"Very Low
Occurs never or rarely"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	same as above	NA	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	other	12	NA
2018-12-03 16:48:06	2018-12-03 16:51:14	IP Address	100	188	True	2018-12-03 16:51:15	R_2wBKpgElsyjBV0b	email	EN	Yes	"Low
Occurs in some of the projects"	incomplete copying from spreadsheet into another application	carelessness	"Low
Occurs in some of the projects"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	frustration	NA	did not write correct code for a project	careless data manager	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	time loss	NA	social psychology	12	NA
2018-12-03 17:06:55	2018-12-03 17:08:54	IP Address	100	118	True	2018-12-03 17:08:54	R_zdpFVud5GMDjVUl	email	EN	Yes	"Very Low
Occurs never or rarely"	None	N/A	"Very Low
Occurs never or rarely"	"Insignificant
Minutes of time loss. Insignificant financial loss. No effect on conclusions.
Example: Occasional typos in the variable names"	other	N/A	N/A	N/A	"Insignificant
Minutes of time loss. Insignificant financial loss. No effect on conclusions.
Example: Occasional typos in the variable names"	other	N/A	other	20	NA
2018-12-03 16:53:40	2018-12-03 17:15:10	IP Address	100	1289	True	2018-12-03 17:15:11	R_RxBYZwBUfiAACBP	email	EN	Yes	"Low
Occurs in some of the projects"	Duplicated a formula from one to another calculation file to keep reporting format constant with an error in the formula!	lack of knowledge of the application, no training or inappropriate on-the-job training	"Low
Occurs in some of the projects"	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	time loss	NA	level of expression of RNAm erroneous	NA	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	time loss	NA	neurophysiology and physiological psychology	8	NA
2018-12-03 17:08:03	2018-12-03 17:15:21	IP Address	100	437	True	2018-12-03 17:15:21	R_sKV54jfDQ68Jx05	email	EN	Yes	"Very Low
Occurs never or rarely"	Conflated correlation	Unintentional neglect	"Very Low
Occurs never or rarely"	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	erroneous conclusion	NA	Conflated correlation	Unintentional neglect	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	erroneous conclusion	NA	experimental and cognitive psychology	29	NA
2018-12-03 17:17:05	2018-12-03 17:37:30	IP Address	100	1224	True	2018-12-03 17:37:30	R_1g0dAm4HvOZLwXc	email	EN	Yes	"Very Low
Occurs never or rarely"	The only identified one is collecting survey data on an online platform where some responses overwrote earlier responses in the same survey. This was with qualtrics, the platform you used, by including several times the same block in the survey flow...	NA	"Very Low
Occurs never or rarely"	"Insignificant
Minutes of time loss. Insignificant financial loss. No effect on conclusions.
Example: Occasional typos in the variable names"	financial loss	NA	NA	NA	NA	NA	NA	experimental and cognitive psychology	14	Earlier questions refer to data management. Then later to data-related mistakes. Not sure if the later ones are also about data management. For me a data-related mistake could be produced by a typo in a data manipulation script. This can lead to mistaken results. And this can happen on a fairly frequent basis. As for data management, I instruct all my students to write script that takes the raw file, does all data manipulation and produces the results reported in the paper. There is no copy pasting of any kind involved in the workflow.
2018-12-03 19:46:38	2018-12-03 19:51:31	IP Address	100	293	True	2018-12-03 19:51:31	R_RgJqa1XTk8Aexax	email	EN	Yes	"Low
Occurs in some of the projects"	a missing item in a scale	unattentive copying of the questions	"Low
Occurs in some of the projects"	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	other	difficulty in publishing the results	forgot to include a scale in the questionnaire	lack of attention when copying the scales	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	time loss	NA	social psychology	9	NA
2018-12-03 21:03:33	2018-12-03 21:10:23	IP Address	100	409	True	2018-12-03 21:10:23	R_3sb7E8EQLjHDtj6	email	EN	Yes	"Very Low
Occurs never or rarely"	data processing error - a dependent variable was incorrectly calculated from raw data	computer programming error	"Very Low
Occurs never or rarely"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	frustration	NA	data processing error - a dependent variable was incorrectly calculated from raw data	computer programming error	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	frustration	NA	other	42	I am a biomechanist in a Department of Kinesiology; I am not a psychologist of any kind.
